party;ep_party;colour;l_r_score;abbreviation
Nalerag;NI;#4A4A4A;2;N
Inuit Ataqatigiit;LEFT;#8B0000;-4;A
Red-Green Alliance;LEFT;#C00000;-5;Ø
The Alternative;G/EFA;#3CB44B;-2;Å
Green Left;G/EFA;#006400;-3;F
Social Democrats;S&D;#E41A1C;-2;A
Social Democratic Party;S&D;#B22222;-2;C
Social Liberal Party;RE;#FFD700;0;B
The Moderates;RE;#F2C94C;1;M
Independents;NI;#999999;0;I
Union Party;RE;#E0B000;1;SB
Venstre;RE;#C49A00;2;V
Conservative People's Party;EPP;#1E90FF;3;C
Liberal Alliance;EPP;#0033CC;3;I
Denmark Democrats;ECR;#00008B;4;Æ
Danish People's Party;PfE;#8B7500;5;O
the citizens' party;NI;#222222;4;H
