index,cell_id,age_group,gender,municipality,education_level,party,prob,expected_N,expected_N_raked,prob_raked,vote_2026
0,7328,55-59,Women,Furesø,H30 Vocational Education and Training (VET),M: Moderaterne,0.1026412737016286,41.39065669926944,51.88340078647989,0.1286613638287688,Moderaterne (M)
1,27541,35-39,Men,Vejle,H30 Vocational Education and Training (VET),I: Liberal Alliance,0.255261336472968,296.72063788349345,209.5374716285196,0.1802598411441268,Liberal Alliance (I)
2,19770,65-69,Women,Odense,H30 Vocational Education and Training (VET),M: Moderaterne,0.0531344054904745,81.73374563432586,80.04941545922217,0.0520394369213818,Moderaterne (M)
3,14999,70-74,Men,Kolding,H30 Vocational Education and Training (VET),A: Socialdemokratiet,0.3950526955232419,432.081082963608,370.02662760286063,0.3383161689172976,Socialdemokratiet (A)
4,3040,50-54,Men,Brønderslev,H30 Vocational Education and Training (VET),V: Venstre,0.1260373483070509,79.06772058155133,82.66919296838286,0.1317782502364183,Venstre (V)
5,3040,50-54,Men,Brønderslev,H30 Vocational Education and Training (VET),A: Socialdemokratiet,0.3166378207206258,198.6381899538044,185.13381327734749,0.2951112633047624,Socialdemokratiet (A)
6,627,25-29,Men,Aarhus,H70 Masters programs,A: Socialdemokratiet,0.0763966235019167,320.69477607822915,324.4009763258976,0.0772795227758193,Socialdemokratiet (A)
7,23930,75-79,Women,Solrød,H30 Vocational Education and Training (VET),A: Socialdemokratiet,0.4369886145866274,157.7106713923432,132.6352697461097,0.3675090737993652,Socialdemokratiet (A)
8,15072,30-34,Women,Kolding,H30 Vocational Education and Training (VET),A: Socialdemokratiet,0.2214646859934222,132.56175064272463,111.70299219609718,0.1866169386817166,Socialdemokratiet (A)
9,19568,40-44,Men,Odense,H50 Vocational bachelors educations,Did not vote,0.0222260930898786,19.59925018738295,81.63191847054676,0.0925728587412876,Did not vote
10,365,50-54,Men,Aalborg,H1030 Primary school 10th grade,F: SF - Socialistisk Folkeparti,0.1,54.3906764808973,36.46522985940654,0.0670431629439534,Socialistisk Folkeparti (F)
11,27895,60-64,Men,Vesthimmerlands,H30 Vocational Education and Training (VET),A: Socialdemokratiet,0.3875240580592918,253.6311863999317,210.6624276663289,0.3218719275363519,Socialdemokratiet (A)
12,22857,55-59,Men,Skanderborg,H1030 Primary school 10th grade,Did not vote,0.0764093165806356,9.785719133332991,30.4873310023616,0.2380526249034747,Did not vote
13,3430,20-24,Women,Copenhagen,"H2010 Upper secondary education, General (stx, hf, student courses)",A: Socialdemokratiet,0.1626849817858703,2756.1075968404666,2194.0800950323323,0.1295101398458707,Socialdemokratiet (A)
14,3307,35-39,Men,Copenhagen,"H2010 Upper secondary education, General (stx, hf, student courses)",I: Liberal Alliance,0.1,113.71688849264471,118.65577214251836,0.1043431399815279,Liberal Alliance (I)
15,3311,35-39,Men,Copenhagen,H50 Vocational bachelors educations,F: SF - Socialistisk Folkeparti,0.1723022557351141,569.2390758883275,486.3900594004341,0.1472247917468545,Socialistisk Folkeparti (F)
16,5069,45-49,Men,Favrskov,"H2010 Upper secondary education, General (stx, hf, student courses)",Other - Right,0.1856020756092614,6.11558265932777,6.3043358465368415,0.1913305540348507,Other - Right
17,12146,65-69,Women,Holstebro,H30 Vocational Education and Training (VET),A: Socialdemokratiet,0.459857154582638,288.6557677013322,233.5125609132952,0.3720085785086402,Socialdemokratiet (A)
18,9278,60-64,Men,Haderslev,H1020 Primary school 7th-9th grade,Did not vote,0.0324004961323988,7.809970336391655,28.53968986445112,0.1183999517596424,Did not vote
19,4427,70-74,Women,Esbjerg,H50 Vocational bachelors educations,A: Socialdemokratiet,0.4002714725966652,313.6228630832909,281.8794766240818,0.3597579337611427,Socialdemokratiet (A)
20,15294,65-69,Men,Køge,H30 Vocational Education and Training (VET),A: Socialdemokratiet,0.3722125743964528,267.4499676028035,223.9563686167802,0.3116821335313517,Socialdemokratiet (A)
21,2201,70-74,Men,Billund,H50 Vocational bachelors educations,V: Venstre,0.1397230594597361,7.080314165231411,9.132557231601329,0.1802220646304852,Venstre (V)
22,4441,80-84,Women,Esbjerg,H1020 Primary school 7th-9th grade,A: Socialdemokratiet,0.5473652610644805,609.3437686820606,516.3018422332868,0.4637869576861981,Socialdemokratiet (A)
23,6999,40-44,Women,Frederikssund,H30 Vocational Education and Training (VET),V: Venstre,0.1646681424918933,59.23433322097336,55.98204527567314,0.1556269634040237,Venstre (V)
24,10192,65-69,Men,Helsingør,H30 Vocational Education and Training (VET),Other - Left,0.0406968322225788,27.12371110899071,30.55616968664834,0.0458469457260212,Other - Left
25,21405,60-64,Men,Roskilde,H40 Short cycle higher education,M: Moderaterne,0.1,18.82572408536586,24.947979760319352,0.1325206916195729,Moderaterne (M)
26,3353,55-59,Men,Copenhagen,H70 Masters programs,A: Socialdemokratiet,0.1405152572988713,459.51402138263256,418.6402704281208,0.128016431659423,Socialdemokratiet (A)
27,11849,65-69,Women,Holbæk,H30 Vocational Education and Training (VET),A: Socialdemokratiet,0.5089385397760641,400.9806312145093,326.1596498774935,0.4139731523683566,Socialdemokratiet (A)
28,14897,20-24,Men,Kolding,"H2010 Upper secondary education, General (stx, hf, student courses)",Other - Right,0.1628882592331766,90.13589988660158,86.81796664147551,0.1568922868045394,Other - Right
29,567,75-79,Women,Aalborg,H1020 Primary school 7th-9th grade,A: Socialdemokratiet,0.586344538009278,1016.5158121410428,994.0517538187752,0.5733868665776448,Socialdemokratiet (A)
30,15174,80-84,Women,Kolding,H30 Vocational Education and Training (VET),M: Moderaterne,0.0560019066121524,34.21996503535578,36.20494178363701,0.0592503752289289,Moderaterne (M)
31,3290,25-29,Men,Copenhagen,H50 Vocational bachelors educations,V: Venstre,0.0626547916730208,245.0805480144149,278.1499022779002,0.0711089652862532,Venstre (V)
32,654,40-44,Men,Aarhus,H30 Vocational Education and Training (VET),A: Socialdemokratiet,0.2452767365676483,442.4234114186963,413.06431129956223,0.2290002374495464,Socialdemokratiet (A)
33,27517,25-29,Men,Vejle,H1020 Primary school 7th-9th grade,F: SF - Socialistisk Folkeparti,0.0454202397625237,12.14554612279974,9.863207898538583,0.0368850657722398,Socialistisk Folkeparti (F)
34,27754,65-69,Women,Vejle,H50 Vocational bachelors educations,I: Liberal Alliance,0.0356326721904794,30.31340059948715,21.809800396092573,0.0256368949931306,Liberal Alliance (I)
35,22095,25-29,Women,Rødovre,H50 Vocational bachelors educations,A: Socialdemokratiet,0.1627708543197258,37.728041582488096,35.74711537947592,0.1542245042606153,Socialdemokratiet (A)
36,5078,50-54,Men,Favrskov,H1030 Primary school 10th grade,Other - Left,0.1,12.509774436090227,9.866979547651797,0.0788741603460565,Other - Left
