municipality,party,pct
Aabenraa,Danmarksdemokraterne (Æ),0.14016021087181235
Aabenraa,Liberal Alliance (I),0.06742162165777929
Aabenraa,Moderaterne (M),0.08183908462440237
Aabenraa,Other,0.00536459767996075
Aabenraa,Other - Left,0.05232040478679114
Aabenraa,Other - Right,0.16458879127128428
Aabenraa,Socialdemokratiet (A),0.28683053043628237
Aabenraa,Socialistisk Folkeparti (F),0.044831846768651644
Aabenraa,Venstre (V),0.15664291190303584
Aalborg,Danmarksdemokraterne (Æ),0.0930524104194282
Aalborg,Liberal Alliance (I),0.09105703968257627
Aalborg,Moderaterne (M),0.07311913267427839
Aalborg,Other,0.0057520242967724605
Aalborg,Other - Left,0.1172282700869684
Aalborg,Other - Right,0.0873843684529725
Aalborg,Socialdemokratiet (A),0.3320821900183775
Aalborg,Socialistisk Folkeparti (F),0.07069543583027442
Aalborg,Venstre (V),0.12962912853835193
Århus,Danmarksdemokraterne (Æ),0.034658656904179845
Århus,Liberal Alliance (I),0.10409028319718829
Århus,Moderaterne (M),0.09233983868524483
Århus,Other,0.005870655212222773
Århus,Other - Left,0.22104432741631386
Århus,Other - Right,0.08539129844675915
Århus,Socialdemokratiet (A),0.2278504482432566
Århus,Socialistisk Folkeparti (F),0.11363089056156761
Århus,Venstre (V),0.11512360133326707
Albertslund,Danmarksdemokraterne (Æ),0.0416741456572568
Albertslund,Liberal Alliance (I),0.047926600822689576
Albertslund,Moderaterne (M),0.07006870990593943
Albertslund,Other,0.005568686743811158
Albertslund,Other - Left,0.20302476360452096
Albertslund,Other - Right,0.11069224691329899
Albertslund,Socialdemokratiet (A),0.3327584693521348
Albertslund,Socialistisk Folkeparti (F),0.1356196320843216
Albertslund,Venstre (V),0.05266674491602665
Allerød,Danmarksdemokraterne (Æ),0.037275915116298575
Allerød,Liberal Alliance (I),0.09472979195565644
Allerød,Moderaterne (M),0.12046409607730468
Allerød,Other,0.006614195606343051
Allerød,Other - Left,0.13678577124708408
Allerød,Other - Right,0.13655850832539995
Allerød,Socialdemokratiet (A),0.20520341487844704
Allerød,Socialistisk Folkeparti (F),0.08797161093182783
Allerød,Venstre (V),0.17439669586163842
Assens,Danmarksdemokraterne (Æ),0.10570277516660874
Assens,Liberal Alliance (I),0.053770398652317516
Assens,Moderaterne (M),0.08215937118033517
Assens,Other,0.00488063952693523
Assens,Other - Left,0.06821527438533354
Assens,Other - Right,0.12512086469702893
Assens,Socialdemokratiet (A),0.3414896674478772
Assens,Socialistisk Folkeparti (F),0.06608952352832916
Assens,Venstre (V),0.1525714854152346
Ballerup,Danmarksdemokraterne (Æ),0.04544492322486523
Ballerup,Liberal Alliance (I),0.06454021352256907
Ballerup,Moderaterne (M),0.09471662432484436
Ballerup,Other,0.005291839880126115
Ballerup,Other - Left,0.1288493840310235
Ballerup,Other - Right,0.12310404498680344
Ballerup,Socialdemokratiet (A),0.35170660007501225
