municipality,party,pct
Ale,Centre Party (C),0.05284168880777354
Ale,Christian Democrats (KD),0.05638619703607847
Ale,Green Party (MP),0.03951697624044757
Ale,Left Party (V),0.06642005129782128
Ale,Moderate Party (M),0.18016845461854505
Ale,Other party,0.017535798492488187
Ale,Social Democrats (S),0.29989768726871435
Ale,Sweden Democrats (SD),0.2535708171712775
Ale,The Liberals (L),0.03366232906685406
Alingsås,Centre Party (C),0.0690779605215282
Alingsås,Christian Democrats (KD),0.07267882244155192
Alingsås,Green Party (MP),0.061272590437820136
Alingsås,Left Party (V),0.06357451862316936
Alingsås,Moderate Party (M),0.1779301614246109
Alingsås,Other party,0.014930844389410869
Alingsås,Social Democrats (S),0.29910073861034536
Alingsås,Sweden Democrats (SD),0.1903034303294882
Alingsås,The Liberals (L),0.05113093322207505
Alvesta,Centre Party (C),0.06152685314462686
Alvesta,Christian Democrats (KD),0.07359795154576473
Alvesta,Green Party (MP),0.029640178918977102
Alvesta,Left Party (V),0.04007896974304398
Alvesta,Moderate Party (M),0.17776316851922497
Alvesta,Other party,0.020835440630689008
Alvesta,Social Democrats (S),0.2901250461422456
Alvesta,Sweden Democrats (SD),0.2821209777288194
Alvesta,The Liberals (L),0.02431141362660836
Aneby,Centre Party (C),0.09573687884429184
Aneby,Christian Democrats (KD),0.11406978367224774
Aneby,Green Party (MP),0.031443867652534783
Aneby,Left Party (V),0.025886076209759617
Aneby,Moderate Party (M),0.16803021584434572
Aneby,Other party,0.01797647842726557
Aneby,Social Democrats (S),0.2540635232800473
Aneby,Sweden Democrats (SD),0.2589389175099665
Aneby,The Liberals (L),0.03385425855954083
Arboga,Centre Party (C),0.05236881562855348
Arboga,Christian Democrats (KD),0.047713042774337126
Arboga,Green Party (MP),0.038276492012267176
Arboga,Left Party (V),0.04758262638854925
Arboga,Moderate Party (M),0.1754354033224601
Arboga,Other party,0.012087360454807294
Arboga,Social Democrats (S),0.3396801892385562
Arboga,Sweden Democrats (SD),0.25160647321863616
Arboga,The Liberals (L),0.0352495969618332
Arvidsjaur,Centre Party (C),0.055461380312914525
Arvidsjaur,Christian Democrats (KD),0.05118681321827567
Arvidsjaur,Green Party (MP),0.015963182042591395
Arvidsjaur,Left Party (V),0.07120868857797984
Arvidsjaur,Moderate Party (M),0.1033251508399437
Arvidsjaur,Other party,0.009810139197017053
Arvidsjaur,Social Democrats (S),0.4242266429980817
Arvidsjaur,Sweden Democrats (SD),0.23744492421606422
Arvidsjaur,The Liberals (L),0.03137307859713193
Arvika,Centre Party (C),0.05920424384770869
Arvika,Christian Democrats (KD),0.05605472964385058
Arvika,Green Party (MP),0.04477828509313307
Arvika,Left Party (V),0.053343622815519465
Arvika,Moderate Party (M),0.1678292624452729
Arvika,Other party,0.009154900612039584
Arvika,Social Democrats (S),0.3518648683911692
Arvika,Sweden Democrats (SD),0.2284442783851258
Arvika,The Liberals (L),0.02932580876618069
Askersund,Centre Party (C),0.06401524262420735
Askersund,Christian Democrats (KD),0.05660557718012933
Askersund,Green Party (MP),0.03195356664570084
Askersund,Left Party (V),0.033266523652661285
Askersund,Moderate Party (M),0.15297189111271223
Askersund,Other party,0.015694681684161816
Askersund,Social Democrats (S),0.32276795295257776
Askersund,Sweden Democrats (SD),0.2939714631720427
Askersund,The Liberals (L),0.028753100975806755
Avesta,Centre Party (C),0.048632775783137586
Avesta,Christian Democrats (KD),0.05508123018449085
Avesta,Green Party (MP),0.025917234378091
Avesta,Left Party (V),0.04516602970817316
Avesta,Moderate Party (M),0.15189912342097495
Avesta,Other party,0.015105161309745228
Avesta,Social Democrats (S),0.35458303698937516
Avesta,Sweden Democrats (SD),0.2768158040892745
Avesta,The Liberals (L),0.026799604136737498
Bengtsfors,Centre Party (C),0.0518947882468534
Bengtsfors,Christian Democrats (KD),0.05606215400143183
Bengtsfors,Green Party (MP),0.030665969581007025
Bengtsfors,Left Party (V),0.05080389257616919
Bengtsfors,Moderate Party (M),0.16637546744051612
Bengtsfors,Other party,0.014998755883144265
Bengtsfors,Social Democrats (S),0.31748343663832806
Bengtsfors,Sweden Democrats (SD),0.28667501036885373
Bengtsfors,The Liberals (L),0.02504052526369646
Berg,Centre Party (C),0.09496389748412395
Berg,Christian Democrats (KD),0.05680273974671434
Berg,Green Party (MP),0.03744541147942757
Berg,Left Party (V),0.042919627695533424
Berg,Moderate Party (M),0.17030614991740278
Berg,Other party,0.015210988477053253
Berg,Social Democrats (S),0.3257026730268171
