cell_id,race,gender,age_group,state,state_cd,education_level,old_N,past_vote,prob,expected_N,N,prob_raked,age
109457,Asian,Female,38-42,CA,CA-36,4-year,1930.810235370589,Did not vote,0.2296984532419488,443.50412456834744,958.4026262191888,0.4804487394037553,41
345233,White,Female,78-82,KS,KS-3,HS grad,1818.6557000000016,Did not vote,0.0798609202626107,145.23951784284264,343.345515675375,0.2148851131772005,82
239832,Black,Male,58-62,FL,FL-20,2-year,746.4109833730558,Republican,0.0749741515816659,55.961530209631825,56.05654612883943,0.086115491060096,60
192758,White,Male,48-52,ND,ND-1,HS grad,4456.0,Republican,0.5463931582605415,2434.727913208973,2065.824752509764,0.456050607012933,49
44732,Hispanic,Male,23-27,TX,TX-6,HS grad,3655.3089613773222,Did not vote,0.4717661079246018,1724.450881970898,2433.9953934342548,0.6467043549148853,26
44730,Hispanic,Male,23-27,TX,TX-4,HS grad,1112.900522641032,Did not vote,0.3542882131560295,394.28753758690254,584.7582008642293,0.5109509179456266,24
17659,Hispanic,Male,18-22,CA,CA-25,HS grad,8440.811530792296,Did not vote,0.3206280546419662,2706.3609807174107,7705.3651882178865,0.7895582874997563,21
293586,White,Female,68-72,WI,WI-1,Post-grad,1859.9832999999992,Democratic,0.5520386788407621,1026.7827235978805,944.293080788053,0.5390756341371841,68
192919,White,Male,48-52,VA,VA-5,HS grad,5003.582700000004,Did not vote,0.1304193378322892,652.5639425230984,1720.718659670011,0.3399946479993693,52
235395,White,Female,58-62,NC,NC-8,4-year,4026.7766125954417,Republican,0.5911032571554581,2380.240771542588,2758.298018691881,0.6603973498167307,61
8766,Other/Multi,Female,18-22,KY,KY-6,HS grad,688.3016,Democratic,0.3264250980006435,224.67891723399973,99.76366944345736,0.1367164671258901,19
358384,White,Male,78-82,FL,FL-16,Some college,3032.238892597401,Democratic,0.2836420061404708,860.0703225934864,535.327905709305,0.1766769753468622,79
279247,White,Male,63-67,FL,FL-25,Post-grad,2971.48545875848,Democratic,0.6626976104443711,1969.196312989441,1074.2804279519285,0.3784944104866988,65
64356,White,Female,28-32,CA,CA-21,4-year,1420.130804967367,Democratic,0.4695912055879645,666.8809367972325,687.2164283758206,0.4295838804941411,28
51695,White,Male,23-27,CT,CT-2,Post-grad,1051.8454000000002,Republican,0.2289988545453632,240.87139175880944,248.48986735566132,0.2216525225293155,27
52096,White,Male,23-27,CA,CA-34,Some college,544.0182876689105,Did not vote,0.1860204395755886,101.19852100932978,372.1298771050768,0.5872989933636628,24
92491,White,Female,33-37,NY,NY-23,2-year,2947.191499999998,Did not vote,0.1479743231163234,436.1086673066816,1294.97804558726,0.4158124708829137,35
