MunicipalityCode,MunicipalityName,Age,Sex,Education,N
0114,Upplands Väsby,18-22,Female,Primary 9-10yr,944.2
0114,Upplands Väsby,18-22,Female,Primary <9yr,6.8
0114,Upplands Väsby,18-22,Female,Tertiary 2yr+,80.8
0114,Upplands Väsby,18-22,Female,Tertiary <2yr,263.5
0114,Upplands Väsby,18-22,Female,Upper secondary,927.7
0114,Upplands Väsby,18-22,Male,Primary 9-10yr,1138.3
0114,Upplands Väsby,18-22,Male,Primary <9yr,19.2
0114,Upplands Väsby,18-22,Male,Tertiary 2yr+,50.8
0114,Upplands Väsby,18-22,Male,Tertiary <2yr,227.4
0114,Upplands Väsby,18-22,Male,Upper secondary,965.4
0114,Upplands Väsby,23-30,Female,Postgraduate,2.1
0114,Upplands Väsby,23-30,Female,Primary 9-10yr,60.8
0114,Upplands Väsby,23-30,Female,Primary <9yr,17.5
0114,Upplands Väsby,23-30,Female,Tertiary 2yr+,371.6
0114,Upplands Väsby,23-30,Female,Tertiary <2yr,206.1
0114,Upplands Väsby,23-30,Female,Upper secondary,400.6
0114,Upplands Väsby,23-30,Male,Postgraduate,4.3
0114,Upplands Väsby,23-30,Male,Primary 9-10yr,141.6
0114,Upplands Väsby,23-30,Male,Primary <9yr,32.0
0114,Upplands Väsby,23-30,Male,Tertiary 2yr+,206.0
0114,Upplands Väsby,23-30,Male,Tertiary <2yr,223.1
0114,Upplands Väsby,23-30,Male,Upper secondary,613.6
0114,Upplands Väsby,31-40,Female,Postgraduate,26.1
0114,Upplands Väsby,31-40,Female,Primary 9-10yr,162.7
0114,Upplands Väsby,31-40,Female,Primary <9yr,73.8
0114,Upplands Väsby,31-40,Female,Tertiary 2yr+,1257.4
0114,Upplands Väsby,31-40,Female,Tertiary <2yr,614.8
0114,Upplands Väsby,31-40,Female,Upper secondary,1114.1
0114,Upplands Väsby,31-40,Male,Postgraduate,31.8
0114,Upplands Väsby,31-40,Male,Primary 9-10yr,313.5
0114,Upplands Väsby,31-40,Male,Primary <9yr,92.3
0114,Upplands Väsby,31-40,Male,Tertiary 2yr+,752.4
0114,Upplands Väsby,31-40,Male,Tertiary <2yr,579.8
0114,Upplands Väsby,31-40,Male,Upper secondary,1340.4
0114,Upplands Väsby,41-50,Female,Postgraduate,39.7
0114,Upplands Väsby,41-50,Female,Primary 9-10yr,149.7
0114,Upplands Väsby,41-50,Female,Primary <9yr,91.5
