index,cell_id,age_group,gender,municipality,education_level,past_vote,prob,expected_N,party,expected_N_raked,prob_raked,vote_2026
0,5893,41-50,Women,Alvesta,"Tertiary education, 2 years or longer",Green Party (MP),0.0641925750845918,22.17853469172649,Green Party (MP),22.03657712934767,0.0637816993613536,Green Party (MP)
1,21386,51-60,Women,Norsjö,"Tertiary education, shorter than 2 years",Did not vote,0.1064261419815967,3.160856416853424,Did not vote,1.9580992860137445,0.0659292688893516,Did not vote
2,13907,18-22,Men,Alingsås,Upper secondary school,Centre Party (C),0.0628802328691525,64.72891171550559,Centre Party (C),48.56098624257926,0.0471740686250041,Centre Party (C)
3,10835,51-60,Women,Kungsbacka,Upper secondary school,Moderate Party (M),0.3126500938392422,735.5093457568173,Moderate Party (M),793.0764507455168,0.337120701698413,Moderate Party (M)
4,1378,61-70,Women,Stockholm,"Tertiary education, shorter than 2 years",Moderate Party (M),0.1825685807936141,1614.3261619513737,Moderate Party (M),1545.9677498496842,0.1748377401637226,Moderate Party (M)
5,881,61-70,Men,Tyresö,Upper secondary school,Sweden Democrats (SD),0.2286878071707735,248.51504005247963,Sweden Democrats (SD),364.5511287599172,0.335466208484326,Sweden Democrats (SD)
6,18567,31-40,Women,Falun,"Tertiary education, 2 years or longer",Social Democrats (S),0.2826830941867695,503.9108836973353,Social Democrats (S),631.2698184732074,0.3541286987956958,Social Democrats (S)
7,10857,71-104,Women,Kungsbacka,"Tertiary education, 2 years or longer",Centre Party (C),0.0860498516310926,121.0635362597842,Centre Party (C),116.87880182084632,0.0830754153250737,Centre Party (C)
8,13399,61-70,Women,Mölndal,"Tertiary education, shorter than 2 years",Left Party (V),0.0518073284787124,31.08439708722745,Left Party (V),35.039987307732126,0.0583999788462201,Left Party (V)
9,372,41-50,Women,Järfälla,"Tertiary education, 2 years or longer",Social Democrats (S),0.2983144111907169,608.0244328889191,Social Democrats (S),791.4440578597179,0.3883053958687655,Social Democrats (S)
10,22138,31-40,Men,Skellefteå,"Tertiary education, shorter than 2 years",Moderate Party (M),0.1475002580691099,124.19521729419058,Moderate Party (M),116.62426525947356,0.1385086285741966,Moderate Party (M)
11,17423,18-22,Men,Västerås,"Tertiary education, shorter than 2 years",Christian Democrats (KD),0.0715586314564793,56.32379881939492,Christian Democrats (KD),39.232681634023656,0.0498445961555376,Christian Democrats (KD)
12,1940,61-70,Men,Norrtälje,"Primary school, 9/10 years",Did not vote,0.4152201161589958,315.3181562111414,Did not vote,185.07227617357248,0.2437085543502403,Did not vote
13,1489,23-30,Men,Nacka,Upper secondary school,Did not vote,0.5241756513794673,450.5289723606522,Did not vote,331.16781126787265,0.385302863604273,Did not vote
14,1505,31-40,Women,Nacka,"Tertiary education, 2 years or longer",Centre Party (C),0.1918290511065077,712.3955470942376,Centre Party (C),468.1134383036779,0.1260504182631009,Centre Party (C)
15,4111,41-50,Men,Linköping,Upper secondary school,Christian Democrats (KD),0.0507662475463455,159.77661090261327,Christian Democrats (KD),236.2513111601772,0.0750647574620078,Christian Democrats (KD)
16,9666,31-40,Women,Helsingborg,"Primary school, 9/10 years",Moderate Party (M),0.0542522015296217,29.263637505077952,Moderate Party (M),46.42196558726845,0.0860622276367602,Moderate Party (M)
17,7561,31-40,Men,Karlshamn,Upper secondary school,Social Democrats (S),0.1170558705663013,116.65788060637595,Social Democrats (S),139.85654308701106,0.1403336775908198,Social Democrats (S)
18,3746,71-104,Men,Kinda,Upper secondary school,Other party,0.0096116402690944,3.936927854221071,Other party,6.650126296239097,0.0162356599029274,Other party
19,11150,41-50,Women,Stenungsund,Upper secondary school,Sweden Democrats (SD),0.0840580326080637,47.39191878442632,Sweden Democrats (SD),99.6008051276649,0.1766598175375397,Sweden Democrats (SD)
20,1361,51-60,Men,Stockholm,Upper secondary school,Sweden Democrats (SD),0.1220838557607827,2232.3887612849458,Sweden Democrats (SD),3267.567129543729,0.1786952170025609,Sweden Democrats (SD)
21,3858,31-40,Men,Åtvidaberg,Upper secondary school,Social Democrats (S),0.1056301329391029,46.023048921567145,Social Democrats (S),69.11072587916775,0.1586199813614132,Social Democrats (S)
22,5422,51-60,Women,Vetlanda,Upper secondary school,Did not vote,0.1674336477941068,136.77654688300592,Did not vote,72.51964033933336,0.0887741955433142,Did not vote
23,8480,51-60,Women,Svedala,Upper secondary school,Sweden Democrats (SD),0.2084558139720027,124.86503256922964,Sweden Democrats (SD),187.83026214072177,0.3135730586656457,Sweden Democrats (SD)
24,15626,51-60,Men,Karlstad,Upper secondary school,Sweden Democrats (SD),0.1628862321741295,431.6648038846606,Sweden Democrats (SD),650.6163299422841,0.2455063318147557,Sweden Democrats (SD)
25,1681,41-50,Women,Solna,"Tertiary education, 2 years or longer",Moderate Party (M),0.1258938429591493,300.6722651393363,Moderate Party (M),340.92755701742374,0.1427490503778519,Moderate Party (M)
26,9542,61-70,Women,Lund,Upper secondary school,Green Party (MP),0.0726733377996486,105.65976582690917,Green Party (MP),73.76782046272938,0.0507378915074828,Green Party (MP)
27,10771,71-104,Men,Varberg,Upper secondary school,Sweden Democrats (SD),0.1303641809428714,289.2259718398544,Sweden Democrats (SD),431.507153176709,0.1944952461807937,Sweden Democrats (SD)
28,740,18-22,Men,Haninge,Upper secondary school,Did not vote,0.5053592377522721,1165.3078663329643,Did not vote,707.8697672667307,0.3069819884933131,Did not vote
29,10989,51-60,Men,Partille,"Primary school, 9/10 years",Moderate Party (M),0.1138651752534485,19.436785415763666,Moderate Party (M),25.33857963121609,0.1484392479860345,Moderate Party (M)
30,1391,71-104,Women,Stockholm,Upper secondary school,Moderate Party (M),0.1625733629198943,3299.605231158468,Moderate Party (M),2988.569082173004,0.1472484409405257,Moderate Party (M)
31,1091,31-40,Men,Täby,Upper secondary school,Left Party (V),0.0163968284361249,20.54686571330812,Left Party (V),23.83749180688412,0.0190228168596952,Left Party (V)
32,21088,61-70,Women,,Upper secondary school,Social Democrats (S),0.1,24.27,Social Democrats (S),24.27,0.1,Social Democrats (S)
33,22024,71-104,Men,Umeå,Upper secondary school,Social Democrats (S),0.4556786542724897,1420.076958174787,Social Democrats (S),1590.920230499024,0.51049936802048,Social Democrats (S)
34,16563,31-40,Women,Örebro,Upper secondary school,Did not vote,0.408465601863589,1195.2928907334208,Did not vote,792.6253501882529,0.2708626423088039,Did not vote
35,4115,41-50,Women,Linköping,"Tertiary education, 2 years or longer",Social Democrats (S),0.3902282661870251,1661.8260943840653,Social Democrats (S),1677.224742676,0.3938441606809749,Social Democrats (S)
36,1329,23-30,Women,Stockholm,"Tertiary education, 2 years or longer",The Liberals (L),0.0551944311666866,1111.2074049064358,The Liberals (L),890.9678539194292,0.0442549821642226,The Liberals (L)
37,13300,51-60,Men,Göteborg,Upper secondary school,The Liberals (L),0.0479740690757065,576.7106765797907,The Liberals (L),404.400657257367,0.0336403431623341,The Liberals (L)
38,7864,18-22,Women,Burlöv,"Primary school, 9/10 years",Sweden Democrats (SD),0.0448294372733484,18.120058545887463,Sweden Democrats (SD),39.55717710319099,0.0978653565145744,Sweden Democrats (SD)
39,1347,41-50,Men,Stockholm,"Tertiary education, 2 years or longer",Green Party (MP),0.1352696169607325,3355.836292370333,Green Party (MP),2784.8524824755787,0.1122539646683829,Green Party (MP)
40,9447,51-60,Women,Malmö,"Tertiary education, shorter than 2 years",Social Democrats (S),0.2046474308083334,540.3306115632428,Social Democrats (S),656.5910392920044,0.248680467860472,Social Democrats (S)
41,552,61-70,Men,Huddinge,"Tertiary education, 2 years or longer",Sweden Democrats (SD),0.0793654595867428,67.94476995221056,Sweden Democrats (SD),118.6576928739108,0.1386026081928639,Sweden Democrats (SD)
42,19795,51-60,Women,Hudiksvall,"Tertiary education, 2 years or longer",Sweden Democrats (SD),0.0701987141140693,48.54241080987895,Sweden Democrats (SD),67.23904030581528,0.097236500803782,Sweden Democrats (SD)
43,2725,31-40,Men,Östhammar,Upper secondary school,Social Democrats (S),0.0841709345393725,74.23876426372658,Social Democrats (S),117.24527331742492,0.1329311488859693,Social Democrats (S)
44,13274,31-40,Men,Göteborg,"Tertiary education, 2 years or longer",Moderate Party (M),0.1367177901304998,2427.7524864633388,Moderate Party (M),3039.8800021836914,0.1711894760597661,Moderate Party (M)
