index,state_cat,cd_cat,age_cat,gender_cat,race_cat,hispanic_cat,educ_cat,cell_pop,state_abbrv,state_cd,vote_choice
0,42,13,68-72,Female,White,Not Hispanic,HS grad,11225.76049999999,PA,PA-13,Other
1,25,4,58-62,Male,White,Not Hispanic,2-year,1523.6599000000012,MA,MA-4,Republican
2,48,14,33-37,Female,Black,Not Hispanic,4-year,758.1354911777433,TX,TX-14,Did not vote
3,39,7,68-72,Male,White,Not Hispanic,Some college,4222.448104846158,OH,OH-7,Republican
4,6,22,18-22,Male,Black,Not Hispanic,HS grad,742.9412925516592,CA,CA-22,Democrat
5,54,1,63-67,Female,White,Not Hispanic,Some college,5212.009499999999,WV,WV-1,Other
6,42,8,58-62,Female,White,Not Hispanic,HS grad,8883.587599999988,PA,PA-8,Republican
7,44,1,73-77,Male,White,Not Hispanic,4-year,1889.7891000000009,RI,RI-1,Democrat
8,6,38,48-52,Male,Other/Multi,Hispanic,4-year,819.8225334565645,CA,CA-38,Democrat
9,25,9,58-62,Female,Asian,Not Hispanic,HS grad,82.90160000000002,MA,MA-9,Republican
10,20,1,43-47,Male,White,Not Hispanic,Some college,2975.199299999999,KS,KS-1,Democrat
11,51,2,28-32,Female,Black,Not Hispanic,Some college,1576.5895000000005,VA,VA-2,Democrat
12,36,26,48-52,Male,White,Not Hispanic,HS grad,3576.9909999999986,NY,NY-26,Democrat
13,47,7,28-32,Female,White,Not Hispanic,HS grad,4078.448,TN,TN-7,Republican
14,25,6,58-62,Male,White,Not Hispanic,HS grad,6749.152700000003,MA,MA-6,Republican
15,12,15,53-57,Male,Asian,Not Hispanic,Post-grad,314.86760587688724,FL,FL-15,Democrat
16,34,1,53-57,Male,Other/Multi,Hispanic,No HS,286.22029999999995,NJ,NJ-1,Democrat
17,6,7,28-32,Female,Asian,Not Hispanic,Some college,765.1775024403747,CA,CA-7,Democrat
18,47,9,28-32,Female,Black,Not Hispanic,2-year,1528.7201999999995,TN,TN-9,Democrat
19,36,21,58-62,Female,White,Not Hispanic,Post-grad,3062.9811000000013,NY,NY-21,Democrat
20,42,7,38-42,Male,White,Not Hispanic,HS grad,4062.5415,PA,PA-7,Republican
21,18,7,63-67,Female,White,Not Hispanic,4-year,2783.2072000000003,IN,IN-7,Democrat
22,53,9,58-62,Male,Asian,Not Hispanic,HS grad,868.2769000000001,WA,WA-9,Democrat
23,48,30,28-32,Female,Other/Multi,Hispanic,HS grad,1393.159447965416,TX,TX-30,Democrat
24,42,15,53-57,Female,White,Not Hispanic,HS grad,9435.149700000007,PA,PA-15,Republican
25,12,2,48-52,Female,White,Not Hispanic,Some college,3238.346618278395,FL,FL-2,Democrat
26,26,7,23-27,Male,White,Not Hispanic,2-year,1489.4882,MI,MI-7,Republican
27,5,2,43-47,Female,White,Not Hispanic,4-year,3524.517700000004,AR,AR-2,Democrat
28,6,51,23-27,Female,Other/Multi,Not Hispanic,4-year,659.8828827952593,CA,CA-51,Republican
29,39,2,23-27,Female,Other/Multi,Not Hispanic,Some college,315.1718846777761,OH,OH-2,Republican
30,42,1,58-62,Male,White,Not Hispanic,4-year,5979.984499999997,PA,PA-1,Democrat
31,53,8,33-37,Male,White,Not Hispanic,HS grad,3972.9824999999983,WA,WA-8,Republican
32,17,12,43-47,Male,White,Not Hispanic,HS grad,6628.757800000005,IL,IL-12,Republican
33,20,1,33-37,Male,White,Not Hispanic,HS grad,3930.159500000004,KS,KS-1,Republican
34,26,8,33-37,Male,Black,Not Hispanic,2-year,372.6677,MI,MI-8,Democrat
35,10,1,53-57,Male,White,Not Hispanic,4-year,3779.0,DE,DE-1,Republican
36,6,39,38-42,Male,White,Hispanic,No HS,283.2057041182631,CA,CA-39,Did not vote
37,26,10,63-67,Male,White,Not Hispanic,2-year,1811.4342,MI,MI-10,Democrat
38,12,15,48-52,Female,White,Not Hispanic,Some college,3357.019044632141,FL,FL-15,Republican
39,37,11,53-57,Female,White,Not Hispanic,Post-grad,3284.468379173334,NC,NC-11,Republican
40,25,3,83+,Male,White,Not Hispanic,2-year,237.9866,MA,MA-3,Democrat
41,48,2,38-42,Male,Other/Multi,Hispanic,Some college,1597.9477857465577,TX,TX-2,Republican
42,39,9,18-22,Male,White,Not Hispanic,No HS,2378.7427146715245,OH,OH-9,Republican
43,17,6,33-37,Male,Black,Not Hispanic,2-year,216.7399,IL,IL-6,Did not vote
44,48,2,28-32,Male,Other/Multi,Hispanic,Some college,1301.6038621800783,TX,TX-2,Did not vote
45,46,1,18-22,Male,White,Not Hispanic,No HS,3154.0,SD,SD-1,Democrat
46,21,4,63-67,Male,White,Not Hispanic,No HS,1796.067000000001,KY,KY-4,Republican
47,13,13,78-82,Male,White,Not Hispanic,4-year,613.8425999999998,GA,GA-13,Republican
48,39,1,73-77,Female,White,Not Hispanic,HS grad,4305.643656173444,OH,OH-1,Democrat
49,6,44,28-32,Female,Other/Multi,Hispanic,4-year,1938.4918086145788,CA,CA-44,Democrat
50,12,4,53-57,Female,White,Not Hispanic,Post-grad,1323.0499078805217,FL,FL-4,Did not vote
51,1,4,28-32,Male,White,Not Hispanic,HS grad,7019.8515000000025,AL,AL-4,Democrat
52,44,2,43-47,Female,White,Not Hispanic,HS grad,2025.226,RI,RI-2,Republican
53,37,9,43-47,Male,White,Not Hispanic,HS grad,3475.5962300272786,NC,NC-9,Other
54,39,11,18-22,Female,White,Not Hispanic,4-year,889.9800747271742,OH,OH-11,Democrat
