municipality,predicted_vote_party,expected_N,total_N,point_estimate
Aabenraa,Danmarksdemokraterne (Æ),3744.584510708174,39250,0.09540342702441208
Aabenraa,Did not vote,1845.179988405649,39250,0.047010955118615264
Aabenraa,Liberal Alliance (I),3729.20391646885,39250,0.09501156475079872
Aabenraa,Moderaterne (M),3235.336127728206,39250,0.08242894592938105
Aabenraa,Other,219.33903088538025,39250,0.0055882555639587324
Aabenraa,Other - Left,2727.9728439820333,39250,0.06950249284030659
Aabenraa,Other - Right,5795.619166375597,39250,0.14765908704141648
Aabenraa,Socialdemokratiet (A),11319.529707177871,39250,0.2883956613293725
Aabenraa,Socialistisk Folkeparti (F),2578.3523979323004,39250,0.06569050695368918
Aabenraa,Venstre (V),4054.8823103359396,39250,0.10330910344804942
Aalborg,Danmarksdemokraterne (Æ),10093.754243206971,165538,0.06097545121486892
Aalborg,Did not vote,7478.749944316823,165538,0.045178448116546185
Aalborg,Liberal Alliance (I),19380.504714394043,165538,0.11707586605126341
Aalborg,Moderaterne (M),14362.01806253037,165538,0.08675964468901623
Aalborg,Other,998.0246200988365,165538,0.006028975945697281
Aalborg,Other - Left,18634.964805816562,165538,0.11257212728084526
Aalborg,Other - Right,18650.66332321336,165538,0.11266696059643926
Aalborg,Socialdemokratiet (A),43530.793027929205,165538,0.2629655609463036
Aalborg,Socialistisk Folkeparti (F),13171.51764783659,165538,0.07956793997654067
Aalborg,Venstre (V),19237.00961065725,165538,0.11620902518247925
Aarhus,Danmarksdemokraterne (Æ),7671.756139858099,268931,0.028526856851229868
Aarhus,Did not vote,11195.64120632482,268931,0.04163016240717813
Aarhus,Liberal Alliance (I),22997.048828891187,268931,0.08551282235551567
Aarhus,Moderaterne (M),20440.44970303532,268931,0.07600629790926045
Aarhus,Other,1333.458041404955,268931,0.0049583649389804635
Aarhus,Other - Left,59960.196605822755,268931,0.22295754898402473
Aarhus,Other - Right,23682.684501960026,268931,0.08806230781114868
Aarhus,Socialdemokratiet (A),53967.34572995486,268931,0.20067357697682625
Aarhus,Socialistisk Folkeparti (F),45496.12917084544,268931,0.16917398578388299
Aarhus,Venstre (V),22186.290071902546,268931,0.08249807598195279
Albertslund,Danmarksdemokraterne (Æ),1010.1051927626978,17763,0.056865686694966944
Albertslund,Did not vote,946.907052668365,17763,0.05330783384948292
Albertslund,Liberal Alliance (I),1742.3597021274675,17763,0.09808926995031625
Albertslund,Moderaterne (M),1134.6528723897165,17763,0.06387732209591379
Albertslund,Other,109.52508485345206,17763,0.006165911436888592
Albertslund,Other - Left,2299.551175740543,17763,0.12945736507012007
Albertslund,Other - Right,1439.8105016200523,17763,0.08105671911389137
Albertslund,Socialdemokratiet (A),5035.504365338589,17763,0.2834827655992
Albertslund,Socialistisk Folkeparti (F),2749.987287570964,17763,0.15481547528970127
Albertslund,Venstre (V),1294.5967649281533,17763,0.07288165089951885
Allerød,Danmarksdemokraterne (Æ),622.6313577943015,17905,0.03477416128423912
Allerød,Did not vote,532.6429154737536,17905,0.02974827788180696
Allerød,Liberal Alliance (I),1300.5973302029254,17905,0.07263877856481013
Allerød,Moderaterne (M),1938.7182280894478,17905,0.10827803563750057
Allerød,Other,101.55585798524324,17905,0.005671927282057706
Allerød,Other - Left,2318.289078878604,17905,0.12947718954920995
Allerød,Other - Right,2219.5837593262104,17905,0.12396446575404693
Allerød,Socialdemokratiet (A),4229.41769356619,17905,0.2362143364181061
Allerød,Socialistisk Folkeparti (F),1942.4922583112887,17905,0.10848881643737998
Allerød,Venstre (V),2699.071520372036,17905,0.15074401119084255
Assens,Danmarksdemokraterne (Æ),2221.239039326369,29327,0.07574041120218124
Assens,Did not vote,1316.7696918835106,29327,0.044899570085024404
Assens,Liberal Alliance (I),2732.027404039726,29327,0.09315741139699683
Assens,Moderaterne (M),2786.392900680786,29327,0.0950111808463459
Assens,Other,162.09272660084633,29327,0.00552708175404393
Assens,Other - Left,2044.7267445414925,29327,0.06972164710135685
Assens,Other - Right,3051.5046872212406,29327,0.10405103444679785
Assens,Socialdemokratiet (A),9777.252421297986,29327,0.3333874048248367
Assens,Socialistisk Folkeparti (F),2027.899913224044,29327,0.06914788124336087
Assens,Venstre (V),3207.0944711839993,29327,0.10935637709905545
Ballerup,Danmarksdemokraterne (Æ),2021.702496880329,34624,0.058390206125240554
Ballerup,Did not vote,1565.16789631198,34624,0.045204710498844156
Ballerup,Liberal Alliance (I),3945.1829928266384,34624,0.11394359383163813
Ballerup,Moderaterne (M),2585.461300028513,34624,0.07467251906274587
Ballerup,Other,213.5597034075376,34624,0.006167967404330453
Ballerup,Other - Left,3820.5560466661123,34624,0.11034415569160444
Ballerup,Other - Right,3783.417637591315,34624,0.10927153528163455
Ballerup,Socialdemokratiet (A),10101.18556055651,34624,0.2917394166057218
Ballerup,Socialistisk Folkeparti (F),3446.070663489196,34624,0.09952838099264082
Ballerup,Venstre (V),3141.69570224187,34624,0.0907375145055993
Billund,Danmarksdemokraterne (Æ),1497.7122033100213,17752,0.08436864597284933
Billund,Did not vote,851.6286923459019,17752,0.04797367577432976
Billund,Liberal Alliance (I),1986.047199035562,17752,0.11187737714260715
