municipality,predicted_vote_party,point_estimate,lower_quartile,median,upper_quartile,sd_draws,n_distinct_draws
Aabenraa,Socialdemokratiet (A),0.2883956613293725,0.28842228617678983,0.28848101687743344,0.28854872443497737,9.91794295424451e-5,250
Aabenraa,Other - Right,0.14765908704141648,0.14753162847522494,0.14759984161069206,0.1476577446774189,9.496543718930793e-5,250
Aabenraa,Venstre (V),0.10330910344804942,0.10328909956087719,0.10330397609169929,0.10333044855466944,3.338187837756064e-5,250
Aabenraa,Danmarksdemokraterne (Æ),0.09540342702441208,0.09540509991525609,0.09540578836243138,0.09540639609757598,2.2763581409432655e-5,250
Aabenraa,Liberal Alliance (I),0.09501156475079872,0.09498287183663857,0.09505162564488057,0.09512640264898059,1.2012632667496222e-4,250
Aabenraa,Moderaterne (M),0.08242894592938105,0.08245089438027688,0.08246603477379037,0.08249675006841724,4.516619340685925e-5,250
Aabenraa,Other - Left,0.06950249284030659,0.06945609153324064,0.06947493650842848,0.06950054140356837,5.283819507492262e-5,250
Aabenraa,Socialistisk Folkeparti (F),0.06569050695368918,0.0656919150839194,0.06569246235891366,0.06569405478319412,4.5113497008763335e-5,250
Aabenraa,Did not vote,0.047010955118615264,0.04682767509914966,0.046902667368234965,0.04694900733453525,9.982682631517395e-5,250
Aabenraa,Other,0.0055882555639587324,0.005587423885287424,0.005589416749294439,0.005591584198688642,3.481922512317716e-6,250
Aalborg,Socialdemokratiet (A),0.2629655609463036,0.26293679510908086,0.26308369191311376,0.2632400678063088,2.4145078651302727e-4,250
Aalborg,Liberal Alliance (I),0.11707586605126341,0.1170869387809246,0.11715039280864376,0.1172242576255165,1.1618142903310027e-4,250
Aalborg,Venstre (V),0.11620902518247925,0.11616726025653967,0.11619559520841186,0.11624942239557648,7.429743248515371e-5,250
Aalborg,Other - Right,0.11266696059643926,0.11252194293139153,0.11257708591372287,0.1126195383363993,7.509732442778401e-5,250
Aalborg,Other - Left,0.11257212728084526,0.11246059490034081,0.11249546466252672,0.11256089734733604,9.17928600008587e-5,250
Aalborg,Moderaterne (M),0.08675964468901623,0.08678753549424387,0.08681775554805168,0.08688027319546537,8.564916490756764e-5,250
Aalborg,Socialistisk Folkeparti (F),0.07956793997654067,0.0795691611241326,0.07956995823353269,0.07957161828790425,5.602004767861865e-5,250
