party,point_estimate,lower_quartile,median,upper_quartile
Socialdemokratiet (A),0.26460720580658703,0.26459244736768833,0.26469474448330554,0.26481088571858014
Other - Left,0.1311717443385435,0.1310778104268758,0.13110801770397446,0.13116116075155926
Venstre (V),0.11028286222482224,0.11024163852935664,0.11026552399738214,0.11031015639378514
Other - Right,0.10780939736589254,0.1076918326321477,0.10773401021542614,0.10777218989966282
Liberal Alliance (I),0.09671743240557648,0.09671965949982048,0.09677998882297068,0.09683458241657268
Socialistisk Folkeparti (F),0.09545839244191943,0.09546017362693174,0.09546093211706914,0.09546227409176583
Moderaterne (M),0.08478264899932302,0.08480996208395797,0.0848350681928893,0.08488779476723221
Danmarksdemokraterne (Æ),0.05953773308873969,0.059538622314695505,0.059539009101760715,0.059539416852362845
Did not vote,0.043727484314978686,0.04349042559597731,0.04361576364225837,0.04370282390544646
Other,0.00590509901361744,0.005905163567073788,0.005906912243107127,0.005908494666110084
