draw,predicted_vote_party,share
1,Did not vote,0.04352434372377405
1,Socialdemokratiet (A),0.26479629812206035
1,Venstre (V),0.11034290374364734
1,Other - Right,0.10749899276558089
1,Other - Left,0.13109529269354794
1,Moderaterne (M),0.08480818354305422
1,Danmarksdemokraterne (Æ),0.05953947372980903
1,Socialistisk Folkeparti (F),0.09546083798683967
1,Liberal Alliance (I),0.097019810107013
1,Other,0.00591386358467357
2,Did not vote,0.04354077319542845
2,Socialdemokratiet (A),0.26475186416438407
2,Venstre (V),0.1103467072454462
2,Other - Right,0.10772241667057261
2,Other - Left,0.13108981253639002
2,Moderaterne (M),0.08481750013507565
2,Danmarksdemokraterne (Æ),0.05953842256308803
2,Socialistisk Folkeparti (F),0.0954594342056717
2,Liberal Alliance (I),0.09682485652765689
2,Other,0.0059082127562864375
3,Did not vote,0.04382160237728011
3,Socialdemokratiet (A),0.26463085619076177
3,Venstre (V),0.11023775547802935
3,Other - Right,0.10766136627386388
3,Other - Left,0.13105120249131152
3,Moderaterne (M),0.0848164397964672
3,Danmarksdemokraterne (Æ),0.0595404198616885
3,Socialistisk Folkeparti (F),0.09546007728259354
3,Liberal Alliance (I),0.09687073760540613
3,Other,0.00590954264259801
4,Did not vote,0.0436278152528596
4,Socialdemokratiet (A),0.2647904157100606
4,Venstre (V),0.1102384978172377
4,Other - Right,0.10768098989740911
4,Other - Left,0.13112818820630937
4,Moderaterne (M),0.08477698359114857
4,Danmarksdemokraterne (Æ),0.05953917063741548
4,Socialistisk Folkeparti (F),0.09546137479170491
4,Liberal Alliance (I),0.09684768951388063
4,Other,0.005908874581974082
5,Did not vote,0.043900788627482756
5,Socialdemokratiet (A),0.26434768319059976
5,Venstre (V),0.11037773666082722
5,Other - Right,0.1078039099217364
5,Other - Left,0.13117304345565323
5,Moderaterne (M),0.08479161723301865
5,Danmarksdemokraterne (Æ),0.059539001756231356
5,Socialistisk Folkeparti (F),0.0954593940744236
5,Liberal Alliance (I),0.09670216849849883
5,Other,0.005904656581528234
