,birthyear,age,municipality,number_of_children,gender,marital_status,living_situation,interest_in_politics,days_per_week_tv_news,days_per_week_newspaper,turnout_in_2022,vote_in_2022,vote_in_2019,party_attachment_strength,class_differences_perception,gross_annual_income,economic_security,social_class_identity,union_membership,employment_sector,school_education
0,1993.0,33.0,Unknown,2.0,Women,Single,Living alone,Not at all interested,1.0,0.0,,Did not vote,Did not vote,,,,,,,,
1,1933.0,93.0,Unknown,1.0,Men,Widow/widower,Living alone,Very interested,7.0,5.0,Voted,Ø: Enhedslisten,A: Socialdemokraterne,Not strongly convinced supporter,,"150,000-199,999 kr.",Secure,,"No, not a member",Publicly employed,Realeksamen
2,1939.0,87.0,Unknown,2.0,Women,Married,Living with spouse,Very interested,7.0,5.0,,A: Socialdemokratiet,A: Socialdemokraterne,Strongly convinced supporter,Yes,"100,000-149,999 kr.",Very secure,,"No, not a member",Self-employed,Realeksamen
3,1942.0,84.0,Unknown,2.0,Women,Married,Living with spouse,Somewhat interested,7.0,7.0,,A: Socialdemokratiet,A: Socialdemokraterne,Strongly convinced supporter,Yes,"300,000-349,999 kr.",Very secure,,"Yes, member of a labor union",Self-employed,HF
4,1942.0,84.0,Unknown,1.0,Men,Single,Living alone,Only slightly interested,7.0,7.0,Voted,M: Moderaterne,A: Socialdemokraterne,Not strongly convinced supporter,Yes,"300,000-349,999 kr.",Neither secure nor insecure,Middle class,"No, not a member",Self-employed,Realeksamen
5,1943.0,83.0,Unknown,2.0,Women,Single,Living alone,Somewhat interested,7.0,7.0,,A: Socialdemokratiet,A: Socialdemokraterne,Strongly convinced supporter,Yes,,Neither secure nor insecure,Middle class,"Yes, member of a labor union",Publicly employed,STX
6,1943.0,83.0,Unknown,2.0,Women,Single,Living alone,Very interested,7.0,7.0,,V: Venstre,Voted blank,Not strongly convinced supporter,Yes,"200,000-249,999 kr.",Secure,Middle class,"No, not a member",Self-employed,HF
7,1943.0,83.0,Unknown,2.0,Men,Married,Living with spouse,Somewhat interested,7.0,7.0,,V: Venstre,O: Dansk Folkeparti,,Yes,"100,000-149,999 kr.",Secure,,"No, not a member",Other/Not in workforce,Realeksamen
8,1943.0,83.0,Unknown,2.0,Women,Single,Living alone,Somewhat interested,5.0,5.0,,,,,,"300,000-349,999 kr.",Secure,Working class,"Yes, member of a labor union",,Realeksamen
9,1943.0,83.0,Unknown,2.0,Men,Widow/widower,Living alone,Somewhat interested,7.0,7.0,,Did not vote,C: Det Konservative Folkeparti,Not strongly convinced supporter,No,"150,000-199,999 kr.",Secure,Middle class,"No, not a member",Privately employed,STX
10,1946.0,80.0,Unknown,2.0,Women,Married,Living with spouse,Very interested,6.0,7.0,Voted,A: Socialdemokratiet,A: Socialdemokraterne,Strongly convinced supporter,Yes,"300,000-349,999 kr.",Secure,Middle class,"No, not a member",Self-employed,8th-9th grade
11,1946.0,80.0,Unknown,2.0,Women,Married,Living with spouse,Somewhat interested,7.0,7.0,,C: Det Konservative Folkeparti,O: Dansk Folkeparti,,Yes,"200,000-249,999 kr.",Insecure,Middle class,"No, not a member",Self-employed,STX
12,1946.0,80.0,Unknown,2.0,Women,Married,Living alone,Very interested,7.0,7.0,,C: Det Konservative Folkeparti,C: Det Konservative Folkeparti,Not strongly convinced supporter,Yes,,Secure,Middle class,"No, not a member",Privately employed,In school education
13,1947.0,79.0,Unknown,2.0,Men,Married,Living with spouse,Only slightly interested,7.0,3.0,Voted,A: Socialdemokratiet,A: Socialdemokraterne,Not strongly convinced supporter,Yes,"100,000-149,999 kr.",Secure,,"No, not a member",Publicly employed,Realeksamen
14,1947.0,79.0,Unknown,2.0,Men,Married,Living with spouse,Very interested,7.0,7.0,Voted,C: Det Konservative Folkeparti,C: Det Konservative Folkeparti,,No,"450,000-499,999 kr.",Secure,,"No, not a member",Publicly employed,STX
15,1947.0,79.0,Unknown,2.0,Women,Divorced,Living alone,Very interested,5.0,6.0,,F: SF - Socialistisk Folkeparti,A: Socialdemokraterne,Strongly convinced supporter,Yes,"300,000-349,999 kr.",Neither secure nor insecure,,"Yes, member of a labor union",Publicly employed,STX
16,1947.0,79.0,Unknown,2.0,Men,Married,Living with spouse,Very interested,7.0,7.0,Voted,K: Kristendemokraterne,V: Venstre,,Yes,"200,000-249,999 kr.",Insecure,,"No, not a member",Privately employed,Realeksamen
17,1947.0,79.0,Unknown,1.0,Women,Single,Living alone,Not at all interested,7.0,,"I usually vote, did not vote",Did not vote,A: Socialdemokraterne,,,"Under 100,000 kr.",Neither secure nor insecure,,"No, not a member",,STX
18,1948.0,78.0,Unknown,2.0,Women,Married,Living with spouse,Only slightly interested,7.0,7.0,Voted,A: Socialdemokratiet,A: Socialdemokraterne,,No,"250,000-299,999 kr.",Secure,,"Yes, member of a labor union",Self-employed,10th grade
19,1948.0,78.0,Unknown,2.0,Men,Married,Living with spouse,Somewhat interested,7.0,7.0,Voted,A: Socialdemokratiet,A: Socialdemokraterne,Strongly convinced supporter,Yes,"400,000-449,999 kr.",Secure,Middle class,"No, not a member",Self-employed,STX
20,1948.0,78.0,Unknown,2.0,Women,Married,Living with spouse,Only slightly interested,3.0,6.0,,V: Venstre,V: Venstre,,Yes,"250,000-299,999 kr.",Secure,Middle class,"No, not a member",Other/Not in workforce,STX
21,1949.0,77.0,Unknown,1.0,Women,In a steady relationship,Living with cohabitant,Very interested,7.0,5.0,Voted,Ø: Enhedslisten,Ø: Enhedslisten,Strongly convinced supporter,Yes,"300,000-349,999 kr.",Very secure,Working class,"Yes, member of a labor union",Self-employed,HF
22,1950.0,76.0,Unknown,2.0,Men,Divorced,Living alone,Very interested,7.0,7.0,,A: Socialdemokratiet,F: SF - Socialistisk Folkeparti,,Yes,"150,000-199,999 kr.",Insecure,,"Yes, member of a labor union",Self-employed,Realeksamen
23,1950.0,76.0,Unknown,2.0,Men,Divorced,Living alone,Very interested,0.0,7.0,,Ø: Enhedslisten,Ø: Enhedslisten,,Yes,"250,000-299,999 kr.",Secure,,"Yes, member of a labor union",Self-employed,STX
24,1951.0,75.0,Unknown,2.0,Men,In a steady relationship,Living with cohabitant,Somewhat interested,7.0,7.0,,A: Socialdemokratiet,A: Socialdemokraterne,,Yes,"150,000-199,999 kr.",Very secure,Working class,"Yes, member of a labor union",Self-employed,10th grade
25,1951.0,75.0,Unknown,2.0,Women,Married,Living with spouse,Somewhat interested,7.0,7.0,Voted,F: SF - Socialistisk Folkeparti,B: Det Radikale Venstre,,Yes,,Very secure,Middle class,"Yes, member of a labor union",Other/Not in workforce,STX
26,1951.0,75.0,Unknown,1.0,Women,Widow/widower,Living alone,Very interested,7.0,7.0,Voted,F: SF - Socialistisk Folkeparti,F: SF - Socialistisk Folkeparti,Strongly convinced supporter,Yes,"300,000-349,999 kr.",Very secure,Middle class,"Yes, member of a labor union",Publicly employed,STX
27,1951.0,75.0,Unknown,2.0,Men,Married,Living with spouse,Very interested,7.0,7.0,,V: Venstre,V: Venstre,,No,"150,000-199,999 kr.",Very secure,Middle class,"Yes, member of a labor union",Publicly employed,STX
28,1951.0,75.0,Unknown,2.0,Women,Divorced,Living alone,Very interested,7.0,6.0,Voted,Ø: Enhedslisten,Ø: Enhedslisten,Strongly convinced supporter,Yes,"250,000-299,999 kr.",Insecure,Middle class,"No, not a member",Self-employed,STX
29,1951.0,75.0,Unknown,2.0,Men,Married,Living with spouse,Very interested,7.0,7.0,,Å: Alternativet,Å: Alternativet,Strongly convinced supporter,Yes,"250,000-299,999 kr.",Very secure,Middle class,"Yes, member of a labor union",Self-employed,STX
30,1952.0,74.0,Unknown,2.0,Women,Married,Living with spouse,Very interested,7.0,7.0,Voted,A: Socialdemokratiet,A: Socialdemokraterne,,Yes,"200,000-249,999 kr.",Secure,Middle class,"No, not a member",Self-employed,STX
31,1953.0,73.0,Unknown,2.0,Men,Married,Living with spouse,Somewhat interested,5.0,7.0,Voted,A: Socialdemokratiet,A: Socialdemokraterne,Not strongly convinced supporter,Yes,"400,000-449,999 kr.",Secure,Middle class,"No, not a member",Publicly employed,Realeksamen
32,1953.0,73.0,Unknown,2.0,Women,Divorced,Living alone,Very interested,7.0,0.0,Voted,A: Socialdemokratiet,A: Socialdemokraterne,Strongly convinced supporter,Yes,"300,000-349,999 kr.",Neither secure nor insecure,Working class,"Yes, member of a labor union",Self-employed,Realeksamen
33,1953.0,73.0,Unknown,2.0,Men,Single,Living alone,Only slightly interested,4.0,0.0,,C: Det Konservative Folkeparti,A: Socialdemokraterne,,Yes,"300,000-349,999 kr.",Insecure,,"Yes, member of a labor union",Self-employed,STX
34,1953.0,73.0,Unknown,2.0,Women,Married,Living with spouse,Very interested,7.0,7.0,Voted,Ø: Enhedslisten,Ø: Enhedslisten,Strongly convinced supporter,Yes,"Under 100,000 kr.",Secure,Middle class,,Self-employed,HF
35,1953.0,73.0,Unknown,2.0,Men,Married,Living alone,Very interested,7.0,0.0,,Ø: Enhedslisten,Ø: Enhedslisten,Strongly convinced supporter,Yes,"300,000-349,999 kr.",Neither secure nor insecure,Working class,"Yes, member of a labor union",,10th grade
36,1953.0,73.0,Unknown,2.0,Women,Married,Living with spouse,Somewhat interested,6.0,7.0,,Å: Alternativet,F: SF - Socialistisk Folkeparti,,Yes,"300,000-349,999 kr.",Secure,,"No, not a member",,STX
37,1954.0,72.0,Unknown,2.0,Women,Married,Living with spouse,Only slightly interested,7.0,2.0,,A: Socialdemokratiet,A: Socialdemokraterne,Not strongly convinced supporter,Yes,"150,000-199,999 kr.",Very secure,Middle class,"No, not a member",Self-employed,10th grade
38,1954.0,72.0,Unknown,2.0,Men,Married,Living with spouse,Very interested,7.0,7.0,,A: Socialdemokratiet,A: Socialdemokraterne,Strongly convinced supporter,Yes,"500,000-599,999 kr.",Very secure,,"Yes, member of a labor union",,STX
39,1954.0,72.0,Unknown,2.0,Women,Married,Living with spouse,Very interested,7.0,7.0,,Ø: Enhedslisten,Ø: Enhedslisten,Strongly convinced supporter,Yes,"450,000-499,999 kr.",Very secure,,"Yes, member of a labor union",Self-employed,HF
40,1954.0,72.0,Unknown,1.0,Women,Married,Living with spouse,Somewhat interested,6.0,0.0,Voted,Ø: Enhedslisten,Ø: Enhedslisten,Strongly convinced supporter,Yes,"200,000-249,999 kr.",Very secure,Working class,"No, not a member",Self-employed,STX
41,1956.0,70.0,Unknown,2.0,Women,Divorced,Living alone,Somewhat interested,7.0,5.0,,A: Socialdemokratiet,B: Det Radikale Venstre,,Yes,"200,000-249,999 kr.",Insecure,Working class,"No, not a member",Self-employed,10th grade
42,1956.0,70.0,Unknown,2.0,Women,Married,Living with spouse,Very interested,7.0,7.0,,C: Det Konservative Folkeparti,C: Det Konservative Folkeparti,Not strongly convinced supporter,Yes,"450,000-499,999 kr.",Secure,Middle class,"Yes, member of a labor union",,STX
43,1956.0,70.0,Unknown,2.0,Men,Divorced,Living alone,Very interested,7.0,7.0,,Ø: Enhedslisten,Ø: Enhedslisten,Not strongly convinced supporter,Yes,"200,000-249,999 kr.",Very secure,,"No, not a member",Self-employed,STX
44,1956.0,70.0,Unknown,2.0,Women,Married,Living with spouse,Very interested,7.0,7.0,,Ø: Enhedslisten,Ø: Enhedslisten,Not strongly convinced supporter,Yes,"250,000-299,999 kr.",Neither secure nor insecure,Middle class,"Yes, member of a labor union",Self-employed,STX
45,1956.0,70.0,Unknown,2.0,Women,Married,Living with spouse,Very interested,7.0,7.0,,Å: Alternativet,F: SF - Socialistisk Folkeparti,,Yes,"150,000-199,999 kr.",Neither secure nor insecure,Middle class,"No, not a member",Publicly employed,Realeksamen
46,1957.0,69.0,Unknown,2.0,Women,Divorced,Living alone,Somewhat interested,3.0,0.0,,A: Socialdemokratiet,A: Socialdemokraterne,,Yes,"200,000-249,999 kr.",Insecure,Working class,"Yes, member of a labor union",,STX
47,1957.0,69.0,Unknown,2.0,Women,Divorced,Living alone,Very interested,4.0,7.0,,Q: Frie Grønne,K: Kristendemokraterne,Strongly convinced supporter,Yes,"200,000-249,999 kr.",Insecure,,"No, not a member",Other/Not in workforce,Other
48,1958.0,68.0,Unknown,2.0,Men,Single,Living alone,Very interested,7.0,7.0,Voted,A: Socialdemokratiet,B: Det Radikale Venstre,,,"300,000-349,999 kr.",Insecure,Working class,"Yes, member of a labor union",Privately employed,Other
49,1958.0,68.0,Unknown,1.0,Men,Married,Living with spouse,Somewhat interested,4.0,7.0,Voted,A: Socialdemokratiet,A: Socialdemokraterne,,Yes,"350,000-399,999 kr.",Very secure,,"Yes, member of a labor union",Other/Not in workforce,10th grade
50,1958.0,68.0,Unknown,2.0,Men,Married,Living with spouse,Very interested,7.0,7.0,,A: Socialdemokratiet,B: Det Radikale Venstre,Not strongly convinced supporter,Yes,"600,000-699,999 kr.",Insecure,Middle class,"Yes, member of a labor union",,STX
