,municipality,gender,age_group,N
0,Aabenraa,Men,100+,30
1,Aabenraa,Men,15-19,1602
2,Aabenraa,Men,20-24,1202
3,Aabenraa,Men,25-29,1081
4,Aabenraa,Men,30-34,1239
5,Aabenraa,Men,35-39,1271
6,Aabenraa,Men,40-44,1176
7,Aabenraa,Men,45-49,1426
8,Aabenraa,Men,50-54,1679
9,Aabenraa,Men,55-59,1863
10,Aabenraa,Men,60-64,1955
11,Aabenraa,Men,65-69,1754
12,Aabenraa,Men,70-74,1633
13,Aabenraa,Men,75-79,1505
14,Aabenraa,Men,80-84,1080
15,Aabenraa,Men,85-89,511
16,Aabenraa,Men,90-94,156
17,Aabenraa,Women,100+,79
18,Aabenraa,Women,15-19,1447
19,Aabenraa,Women,20-24,1080
20,Aabenraa,Women,25-29,960
21,Aabenraa,Women,30-34,1197
22,Aabenraa,Women,35-39,1139
23,Aabenraa,Women,40-44,1157
24,Aabenraa,Women,45-49,1357
25,Aabenraa,Women,50-54,1658
26,Aabenraa,Women,55-59,1836
27,Aabenraa,Women,60-64,1876
28,Aabenraa,Women,65-69,1825
29,Aabenraa,Women,70-74,1784
30,Aabenraa,Women,75-79,1619
31,Aabenraa,Women,80-84,1250
32,Aabenraa,Women,85-89,678
33,Aabenraa,Women,90-94,303
34,Aalborg,Men,100+,83
35,Aalborg,Men,15-19,5558
36,Aalborg,Men,20-24,9704
37,Aalborg,Men,25-29,10715
38,Aalborg,Men,30-34,8130
39,Aalborg,Men,35-39,6146
40,Aalborg,Men,40-44,5315
41,Aalborg,Men,45-49,5634
42,Aalborg,Men,50-54,6038
43,Aalborg,Men,55-59,6196
44,Aalborg,Men,60-64,6192
45,Aalborg,Men,65-69,5163
46,Aalborg,Men,70-74,4605
47,Aalborg,Men,75-79,4225
48,Aalborg,Men,80-84,3020
49,Aalborg,Men,85-89,1399
50,Aalborg,Men,90-94,452
51,Aalborg,Women,100+,205
52,Aalborg,Women,15-19,5499
53,Aalborg,Women,20-24,9624
54,Aalborg,Women,25-29,9257
55,Aalborg,Women,30-34,7057
56,Aalborg,Women,35-39,5554
57,Aalborg,Women,40-44,4921
58,Aalborg,Women,45-49,5573
59,Aalborg,Women,50-54,5925
60,Aalborg,Women,55-59,6201
61,Aalborg,Women,60-64,6231
62,Aalborg,Women,65-69,5584
63,Aalborg,Women,70-74,5004
64,Aalborg,Women,75-79,5004
65,Aalborg,Women,80-84,3881
66,Aalborg,Women,85-89,1983
67,Aalborg,Women,90-94,805
68,Aarhus,Men,100+,98
69,Aarhus,Men,15-19,8345
70,Aarhus,Men,20-24,18692
71,Aarhus,Men,25-29,22124
72,Aarhus,Men,30-34,14097
73,Aarhus,Men,35-39,9440
74,Aarhus,Men,40-44,7713
75,Aarhus,Men,45-49,7955
76,Aarhus,Men,50-54,8505
77,Aarhus,Men,55-59,8463
78,Aarhus,Men,60-64,8256
79,Aarhus,Men,65-69,7257
80,Aarhus,Men,70-74,6556
81,Aarhus,Men,75-79,5473
82,Aarhus,Men,80-84,3725
83,Aarhus,Men,85-89,1734
84,Aarhus,Men,90-94,554
85,Aarhus,Women,100+,316
86,Aarhus,Women,15-19,8116
87,Aarhus,Women,20-24,21652
88,Aarhus,Women,25-29,22234
89,Aarhus,Women,30-34,12845
90,Aarhus,Women,35-39,8923
91,Aarhus,Women,40-44,7724
92,Aarhus,Women,45-49,7792
93,Aarhus,Women,50-54,8906
94,Aarhus,Women,55-59,8967
95,Aarhus,Women,60-64,8845
96,Aarhus,Women,65-69,8018
97,Aarhus,Women,70-74,7190
98,Aarhus,Women,75-79,6628
99,Aarhus,Women,80-84,4805
100,Aarhus,Women,85-89,2746
101,Aarhus,Women,90-94,1112
102,Albertslund,Men,100+,4
103,Albertslund,Men,15-19,827
104,Albertslund,Men,20-24,891
105,Albertslund,Men,25-29,711
106,Albertslund,Men,30-34,710
107,Albertslund,Men,35-39,628
108,Albertslund,Men,40-44,583
109,Albertslund,Men,45-49,631
110,Albertslund,Men,50-54,745
111,Albertslund,Men,55-59,779
112,Albertslund,Men,60-64,767
113,Albertslund,Men,65-69,542
114,Albertslund,Men,70-74,494
115,Albertslund,Men,75-79,515
116,Albertslund,Men,80-84,403
117,Albertslund,Men,85-89,187
118,Albertslund,Men,90-94,74
119,Albertslund,Women,100+,14
120,Albertslund,Women,15-19,784
121,Albertslund,Women,20-24,793
122,Albertslund,Women,25-29,647
123,Albertslund,Women,30-34,720
124,Albertslund,Women,35-39,669
125,Albertslund,Women,40-44,600
126,Albertslund,Women,45-49,706
127,Albertslund,Women,50-54,714
128,Albertslund,Women,55-59,777
129,Albertslund,Women,60-64,772
130,Albertslund,Women,65-69,560
131,Albertslund,Women,70-74,560
132,Albertslund,Women,75-79,663
133,Albertslund,Women,80-84,558
134,Albertslund,Women,85-89,282
135,Albertslund,Women,90-94,82
136,Allerød,Men,100+,13
137,Allerød,Men,15-19,908
138,Allerød,Men,20-24,507
139,Allerød,Men,25-29,271
140,Allerød,Men,30-34,530
141,Allerød,Men,35-39,755
142,Allerød,Men,40-44,667
143,Allerød,Men,45-49,688
144,Allerød,Men,50-54,888
145,Allerød,Men,55-59,907
146,Allerød,Men,60-64,864
147,Allerød,Men,65-69,651
148,Allerød,Men,70-74,554
149,Allerød,Men,75-79,554
150,Allerød,Men,80-84,497
151,Allerød,Men,85-89,245
152,Allerød,Men,90-94,81
153,Allerød,Women,100+,36
154,Allerød,Women,15-19,891
155,Allerød,Women,20-24,373
156,Allerød,Women,25-29,271
157,Allerød,Women,30-34,563
158,Allerød,Women,35-39,777
159,Allerød,Women,40-44,704
160,Allerød,Women,45-49,782
161,Allerød,Women,50-54,917
162,Allerød,Women,55-59,907
