,Unnamed: 0,municipality,origin,education,age_group,gender,year,N
22,8827590,Ishøj,Persons of Danish origin,H1010 Primary school through to 6th grade,15-19,Women,2024,1
23,8827595,Ishøj,Persons of Danish origin,H1020 Primary school 7th-9th grade,15-19,Women,2024,271
24,8827596,Ishøj,Persons of Danish origin,H1020 Primary school 7th-9th grade,15-19,Men,2024,322
25,8827598,Ishøj,Persons of Danish origin,H1020 Primary school 7th-9th grade,20-24,Women,2024,32
26,8827599,Ishøj,Persons of Danish origin,H1020 Primary school 7th-9th grade,20-24,Men,2024,70
27,8827601,Ishøj,Persons of Danish origin,H1020 Primary school 7th-9th grade,25-29,Women,2024,37
28,8827602,Ishøj,Persons of Danish origin,H1020 Primary school 7th-9th grade,25-29,Men,2024,53
29,8827604,Ishøj,Persons of Danish origin,H1020 Primary school 7th-9th grade,30-34,Women,2024,25
30,8827605,Ishøj,Persons of Danish origin,H1020 Primary school 7th-9th grade,30-34,Men,2024,49
31,8827607,Ishøj,Persons of Danish origin,H1020 Primary school 7th-9th grade,35-39,Women,2024,26
32,8827608,Ishøj,Persons of Danish origin,H1020 Primary school 7th-9th grade,35-39,Men,2024,37
33,8827610,Ishøj,Persons of Danish origin,H1020 Primary school 7th-9th grade,40-44,Women,2024,13
34,8827611,Ishøj,Persons of Danish origin,H1020 Primary school 7th-9th grade,40-44,Men,2024,32
35,8827613,Ishøj,Persons of Danish origin,H1020 Primary school 7th-9th grade,45-49,Women,2024,16
36,8827614,Ishøj,Persons of Danish origin,H1020 Primary school 7th-9th grade,45-49,Men,2024,29
37,8827616,Ishøj,Persons of Danish origin,H1020 Primary school 7th-9th grade,50-54,Women,2024,18
38,8827617,Ishøj,Persons of Danish origin,H1020 Primary school 7th-9th grade,50-54,Men,2024,46
39,8827619,Ishøj,Persons of Danish origin,H1020 Primary school 7th-9th grade,55-59,Women,2024,32
40,8827620,Ishøj,Persons of Danish origin,H1020 Primary school 7th-9th grade,55-59,Men,2024,51
41,8827622,Ishøj,Persons of Danish origin,H1020 Primary school 7th-9th grade,60-64,Women,2024,49
42,8827623,Ishøj,Persons of Danish origin,H1020 Primary school 7th-9th grade,60-64,Men,2024,58
43,8827625,Ishøj,Persons of Danish origin,H1020 Primary school 7th-9th grade,65-69,Women,2024,47
44,8827626,Ishøj,Persons of Danish origin,H1020 Primary school 7th-9th grade,65-69,Men,2024,51
45,8827631,Ishøj,Persons of Danish origin,H1030 Primary school 10th grade,15-19,Women,2024,79
46,8827632,Ishøj,Persons of Danish origin,H1030 Primary school 10th grade,15-19,Men,2024,96
47,8827634,Ishøj,Persons of Danish origin,H1030 Primary school 10th grade,20-24,Women,2024,44
48,8827635,Ishøj,Persons of Danish origin,H1030 Primary school 10th grade,20-24,Men,2024,62
49,8827637,Ishøj,Persons of Danish origin,H1030 Primary school 10th grade,25-29,Women,2024,32
50,8827638,Ishøj,Persons of Danish origin,H1030 Primary school 10th grade,25-29,Men,2024,37
51,8827640,Ishøj,Persons of Danish origin,H1030 Primary school 10th grade,30-34,Women,2024,23
52,8827641,Ishøj,Persons of Danish origin,H1030 Primary school 10th grade,30-34,Men,2024,26
53,8827643,Ishøj,Persons of Danish origin,H1030 Primary school 10th grade,35-39,Women,2024,17
54,8827644,Ishøj,Persons of Danish origin,H1030 Primary school 10th grade,35-39,Men,2024,31
55,8827646,Ishøj,Persons of Danish origin,H1030 Primary school 10th grade,40-44,Women,2024,21
56,8827647,Ishøj,Persons of Danish origin,H1030 Primary school 10th grade,40-44,Men,2024,39
57,8827649,Ishøj,Persons of Danish origin,H1030 Primary school 10th grade,45-49,Women,2024,33
58,8827650,Ishøj,Persons of Danish origin,H1030 Primary school 10th grade,45-49,Men,2024,51
59,8827652,Ishøj,Persons of Danish origin,H1030 Primary school 10th grade,50-54,Women,2024,42
60,8827653,Ishøj,Persons of Danish origin,H1030 Primary school 10th grade,50-54,Men,2024,54
61,8827655,Ishøj,Persons of Danish origin,H1030 Primary school 10th grade,55-59,Women,2024,51
62,8827656,Ishøj,Persons of Danish origin,H1030 Primary school 10th grade,55-59,Men,2024,50
63,8827658,Ishøj,Persons of Danish origin,H1030 Primary school 10th grade,60-64,Women,2024,68
64,8827659,Ishøj,Persons of Danish origin,H1030 Primary school 10th grade,60-64,Men,2024,53
65,8827661,Ishøj,Persons of Danish origin,H1030 Primary school 10th grade,65-69,Women,2024,62
66,8827662,Ishøj,Persons of Danish origin,H1030 Primary school 10th grade,65-69,Men,2024,54
89,8827703,Ishøj,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",15-19,Women,2024,50
90,8827704,Ishøj,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",15-19,Men,2024,12
91,8827706,Ishøj,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",20-24,Women,2024,145
92,8827707,Ishøj,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",20-24,Men,2024,73
93,8827709,Ishøj,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",25-29,Women,2024,36
94,8827710,Ishøj,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",25-29,Men,2024,39
95,8827712,Ishøj,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",30-34,Women,2024,13
96,8827713,Ishøj,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",30-34,Men,2024,9
97,8827715,Ishøj,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",35-39,Women,2024,5
98,8827716,Ishøj,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",35-39,Men,2024,10
99,8827718,Ishøj,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",40-44,Women,2024,9
100,8827719,Ishøj,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",40-44,Men,2024,11
101,8827721,Ishøj,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",45-49,Women,2024,9
102,8827722,Ishøj,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",45-49,Men,2024,7
103,8827724,Ishøj,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",50-54,Women,2024,5
104,8827725,Ishøj,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",50-54,Men,2024,13
105,8827727,Ishøj,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",55-59,Women,2024,14
106,8827728,Ishøj,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",55-59,Men,2024,20
107,8827730,Ishøj,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",60-64,Women,2024,13
108,8827731,Ishøj,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",60-64,Men,2024,17
109,8827733,Ishøj,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",65-69,Women,2024,9
110,8827734,Ishøj,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",65-69,Men,2024,7
111,8827739,Ishøj,Persons of Danish origin,"H2020 Upper secondary education, General (hhx, htx)",15-19,Women,2024,10
112,8827740,Ishøj,Persons of Danish origin,"H2020 Upper secondary education, General (hhx, htx)",15-19,Men,2024,12
113,8827742,Ishøj,Persons of Danish origin,"H2020 Upper secondary education, General (hhx, htx)",20-24,Women,2024,29
114,8827743,Ishøj,Persons of Danish origin,"H2020 Upper secondary education, General (hhx, htx)",20-24,Men,2024,90
115,8827745,Ishøj,Persons of Danish origin,"H2020 Upper secondary education, General (hhx, htx)",25-29,Women,2024,4
116,8827746,Ishøj,Persons of Danish origin,"H2020 Upper secondary education, General (hhx, htx)",25-29,Men,2024,25
117,8827748,Ishøj,Persons of Danish origin,"H2020 Upper secondary education, General (hhx, htx)",30-34,Women,2024,1
118,8827749,Ishøj,Persons of Danish origin,"H2020 Upper secondary education, General (hhx, htx)",30-34,Men,2024,6
119,8827751,Ishøj,Persons of Danish origin,"H2020 Upper secondary education, General (hhx, htx)",35-39,Women,2024,5
