party,municipality,year,N,N_pct
Independent candidate,Copenhagen,2019,506,0.0014321700489654976
Independent candidate,Frederiksberg,2019,70,0.0010775696186942935
Independent candidate,Ballerup,2019,82,0.0028387454130028387
Independent candidate,Brøndby,2019,69,0.003751427173381178
Independent candidate,Dragør,2019,5,0.0005516936996579499
Independent candidate,Gentofte,2019,106,0.00236659968743023
Independent candidate,Gladsaxe,2019,93,0.002389455563834434
Independent candidate,Glostrup,2019,39,0.002987361164304864
Independent candidate,Herlev,2019,59,0.003558075021107225
Independent candidate,Albertslund,2019,44,0.002924365279808587
Independent candidate,Hvidovre,2019,107,0.0035402329274748542
Independent candidate,Høje-Taastrup,2019,86,0.0032212150722900593
Independent candidate,Lyngby-Taarbæk,2019,80,0.002347417840375587
Independent candidate,Rødovre,2019,84,0.0036415658733255298
Independent candidate,Ishøj,2019,16,0.0014993908724580639
Independent candidate,Tårnby,2019,26,0.0010370547644689082
Independent candidate,Vallensbæk,2019,20,0.0021872265966754157
Independent candidate,Furesø,2019,19,0.0007662835249042146
Independent candidate,Allerød,2019,19,0.001147620198115487
Independent candidate,Fredensborg,2019,20,0.0008157937673356176
Independent candidate,Helsingør,2019,31,0.0008059693731638197
Independent candidate,Hillerød,2019,48,0.001520912547528517
Independent candidate,Hørsholm,2019,8,0.0004908878934773271
Independent candidate,Rudersdal,2019,31,0.0008799818326331327
Independent candidate,Egedal,2019,16,0.0005816912673598487
Independent candidate,Frederikssund,2019,18,0.0006240682314599729
Independent candidate,Greve,2019,4,0.00013176532595447508
Independent candidate,Køge,2019,6,0.0001597997176871654
Independent candidate,Halsnæs,2019,26,0.0013389638479761046
Independent candidate,Roskilde,2019,10,0.0001797849771673079
Independent candidate,Solrød,2019,2,0.00013740982480247338
Independent candidate,Gribskov,2019,46,0.0017362421680380464
Independent candidate,Odsherred,2019,10,0.00046500813764240875
Independent candidate,Holbæk,2019,49,0.0011145482667637159
Independent candidate,Faxe,2019,4,0.00017692852087756547
Independent candidate,Kalundborg,2019,11,0.0003639130578621762
Independent candidate,Ringsted,2019,9,0.00042981995319738285
Independent candidate,Slagelse,2019,15,0.00031173365476536846
Independent candidate,Stevns,2019,2,0.00013675213675213676
Independent candidate,Sorø,2019,9,0.0004824961132257546
Independent candidate,Lejre,2019,1,5.506607929515419e-05
Independent candidate,Lolland,2019,3,0.00011984659635666346
Independent candidate,Næstved,2019,7,0.00013542271232346682
Independent candidate,Guldborgsund,2019,5,0.00013166556945358788
Independent candidate,Vordingborg,2019,15,0.0005120852109791069
Independent candidate,Haderslev,2019,24,0.000702349945860525
Independent candidate,Billund,2019,8,0.0005121966835264742
Independent candidate,Sønderborg,2019,84,0.0018717411649360489
Independent candidate,Tønder,2019,11,0.0004976249717258539
Independent candidate,Esbjerg,2019,34,0.0004879308860250854
Independent candidate,Varde,2019,16,0.0005255551175929575
Independent candidate,Vejen,2019,12,0.00047154982709839675
Independent candidate,Aabenraa,2019,20,0.0005824620671578763
Independent candidate,Fredericia,2019,17,0.0005521273140630075
Independent candidate,Horsens,2019,62,0.0011806150623631343
Independent candidate,Kolding,2019,30,0.0005359056806002144
Independent candidate,Vejle,2019,33,0.00047716132390578233
Independent candidate,Syddjurs,2019,27,0.0009938894205992785
Independent candidate,Norddjurs,2019,18,0.0007852375343541421
Independent candidate,Favrskov,2019,35,0.0011716657739689342
Independent candidate,Odder,2019,17,0.0011592226389362428
Independent candidate,Randers,2019,46,0.0007715402291139028
Independent candidate,Samsø,2019,1,0.00040966816878328555
Independent candidate,Skanderborg,2019,43,0.0010974146951484062
Independent candidate,Aarhus,2019,280,0.0012804272968807877
Independent candidate,Hedensted,2019,20,0.000689678954446705
Å: Alternativet,Copenhagen,2019,25276,0.0715405734340947
Å: Alternativet,Frederiksberg,2019,3320,0.05110758762950078
Å: Alternativet,Ballerup,2019,695,0.02406009831752406
Å: Alternativet,Brøndby,2019,648,0.03523079432392758
Å: Alternativet,Dragør,2019,198,0.021847070506454815
Å: Alternativet,Gentofte,2019,1286,0.028711766019200714
Å: Alternativet,Gladsaxe,2019,1339,0.03440302150510007
Å: Alternativet,Glostrup,2019,308,0.02359249329758713
Å: Alternativet,Herlev,2019,441,0.026595103123869257
Å: Alternativet,Albertslund,2019,752,0.04998006114581949
Å: Alternativet,Hvidovre,2019,886,0.029314452091053468
Å: Alternativet,Høje-Taastrup,2019,834,0.03123829500337104
Å: Alternativet,Lyngby-Taarbæk,2019,1092,0.03204225352112676
Å: Alternativet,Rødovre,2019,660,0.02861230329041488
Å: Alternativet,Ishøj,2019,350,0.03279917533502015
Å: Alternativet,Tårnby,2019,611,0.024370786965019344
Å: Alternativet,Vallensbæk,2019,244,0.02668416447944007
Å: Alternativet,Furesø,2019,790,0.0318612623512805
Å: Alternativet,Allerød,2019,424,0.02561005073689297
Å: Alternativet,Fredensborg,2019,719,0.02932778593571545
Å: Alternativet,Helsingør,2019,1229,0.03195278579413982
Å: Alternativet,Hillerød,2019,1004,0.03181242078580482
Å: Alternativet,Hørsholm,2019,225,0.013806222004049825
Å: Alternativet,Rudersdal,2019,1049,0.02977744975587601
Å: Alternativet,Egedal,2019,575,0.020904529920744565
Å: Alternativet,Frederikssund,2019,599,0.020767603924695767
Å: Alternativet,Greve,2019,443,0.014593009849458115
Å: Alternativet,Køge,2019,573,0.015260873039124297
Å: Alternativet,Halsnæs,2019,471,0.02425584509218251
Å: Alternativet,Roskilde,2019,1675,0.030113983675524075
Å: Alternativet,Solrød,2019,211,0.014496736516660941
Å: Alternativet,Gribskov,2019,761,0.02872348456254246
Å: Alternativet,Odsherred,2019,504,0.0234364101371774
Å: Alternativet,Holbæk,2019,934,0.021244654717496134
Å: Alternativet,Faxe,2019,423,0.018710191082802547
Å: Alternativet,Kalundborg,2019,476,0.01574751050385417
Å: Alternativet,Ringsted,2019,436,0.020822388843784324
Å: Alternativet,Slagelse,2019,859,0.0178519472962301
Å: Alternativet,Stevns,2019,240,0.01641025641025641
Å: Alternativet,Sorø,2019,422,0.02262370664236316
Å: Alternativet,Lejre,2019,500,0.02753303964757709
Å: Alternativet,Lolland,2019,273,0.010906040268456376
Å: Alternativet,Næstved,2019,900,0.017411491584445733
Å: Alternativet,Guldborgsund,2019,614,0.016168531928900592
Å: Alternativet,Vordingborg,2019,822,0.02806226956165506
Å: Alternativet,Bornholm,2019,822,0.032584136044713996
Å: Alternativet,Middelfart,2019,498,0.02003218020917136
Å: Alternativet,Christiansø,2019,2,0.03571428571428571
Å: Alternativet,Assens,2019,574,0.022110939907550076
Å: Alternativet,Faaborg-Midtfyn,2019,854,0.02617624521072797
Å: Alternativet,Kerteminde,2019,263,0.017226698107028232
Å: Alternativet,Nyborg,2019,443,0.021845258641944868
Å: Alternativet,Odense,2019,4707,0.03759104267825198
Å: Alternativet,Svendborg,2019,1562,0.04164666986615475
Å: Alternativet,Nordfyns,2019,265,0.01424578002365337
Å: Alternativet,Langeland,2019,207,0.025222371146582184
Å: Alternativet,Ærø,2019,132,0.03283582089552239
Å: Alternativet,Haderslev,2019,495,0.014485967633373328
Å: Alternativet,Billund,2019,167,0.010692105768615148
Å: Alternativet,Sønderborg,2019,671,0.014951646686572485
Å: Alternativet,Tønder,2019,245,0.011083465279348564
Å: Alternativet,Esbjerg,2019,1229,0.017637266438965588
Å: Alternativet,Fanø,2019,93,0.040242319342276074
Å: Alternativet,Varde,2019,380,0.012481934042832743
Å: Alternativet,Vejen,2019,306,0.012024520591009117
Å: Alternativet,Aabenraa,2019,401,0.01167836444651542
Å: Alternativet,Fredericia,2019,588,0.019097109451120493
Å: Alternativet,Horsens,2019,1075,0.02047034180710273
Å: Alternativet,Kolding,2019,1202,0.02147195426938192
Å: Alternativet,Vejle,2019,1395,0.020170910510562617
Å: Alternativet,Herning,2019,827,0.015074735690849436
Å: Alternativet,Holstebro,2019,512,0.013949433304272014
Å: Alternativet,Lemvig,2019,147,0.011468247776564206
Å: Alternativet,Struer,2019,181,0.013507462686567164
Å: Alternativet,Syddjurs,2019,878,0.03231981152911728
Å: Alternativet,Norddjurs,2019,410,0.017885966060288794
Å: Alternativet,Favrskov,2019,630,0.021089983931440813
Å: Alternativet,Odder,2019,423,0.02884418683941357
Å: Alternativet,Randers,2019,1073,0.017997014474765604
Å: Alternativet,Silkeborg,2019,1645,0.027983329080547757
Å: Alternativet,Samsø,2019,98,0.04014748054076198
Å: Alternativet,Skanderborg,2019,1291,0.03294796212643238
Å: Alternativet,Aarhus,2019,10664,0.04876598819263114
Å: Alternativet,Ikast-Brande,2019,336,0.013750204616140122
Å: Alternativet,Ringkøbing-Skjern,2019,396,0.011531069827033953
