party,municipality,year,pop_pct
Independent candidate,Copenhagen,2019,0.0012076057852876253
Independent candidate,Frederiksberg,2019,0.0009470759378703324
Independent candidate,Ballerup,2019,0.002408675482932876
Independent candidate,Brøndby,2019,0.002993638884358118
Independent candidate,Dragør,2019,0.0004898488359262494
Independent candidate,Gentofte,2019,0.0021062737218128782
Independent candidate,Gladsaxe,2019,0.0020214794070039024
Independent candidate,Glostrup,2019,0.0024708464189965
Independent candidate,Herlev,2019,0.0029702810276202906
Independent candidate,Albertslund,2019,0.0024228366343213422
Independent candidate,Hvidovre,2019,0.0029468898888300233
Independent candidate,Høje-Taastrup,2019,0.002666843958348891
Independent candidate,Lyngby-Taarbæk,2019,0.002069483568075041
Independent candidate,Rødovre,2019,0.0030155806997008467
Independent candidate,Ishøj,2019,0.0011776215912285132
Independent candidate,Tårnby,2019,0.0008643851461848281
Independent candidate,Vallensbæk,2019,0.0018974190726159096
Independent candidate,Furesø,2019,0.000683984674329489
Independent candidate,Allerød,2019,0.0010491543851170986
Independent candidate,Fredensborg,2019,0.0007110458476097089
Independent candidate,Helsingør,2019,0.0006774172581441739
Independent candidate,Hillerød,2019,0.0013244106463878179
Independent candidate,Hørsholm,2019,0.000440179174081095
Independent candidate,Rudersdal,2019,0.0007903116838877871
Independent candidate,Egedal,2019,0.0005213117138078527
Independent candidate,Frederikssund,2019,0.000530957251326083
Independent candidate,Greve,2019,0.00011354218137490649
Independent candidate,Køge,2019,0.00013720403760614407
Independent candidate,Halsnæs,2019,0.001107858687815425
Independent candidate,Roskilde,2019,0.0001570601560533533
Independent candidate,Solrød,2019,0.00012144280316036111
Independent candidate,Gribskov,2019,0.0014742432248810657
Independent candidate,Odsherred,2019,0.00038330620785863035
Independent candidate,Holbæk,2019,0.0009349945409880679
Independent candidate,Faxe,2019,0.00014734607218678202
Independent candidate,Kalundborg,2019,0.00029720779435597706
Independent candidate,Ringsted,2019,0.00036298295047511986
Independent candidate,Slagelse,2019,0.0002538758884408603
Independent candidate,Stevns,2019,0.00011612991452988334
Independent candidate,Sorø,2019,0.0004045247413284269
Independent candidate,Lejre,2019,4.9025330396475775e-05
Independent candidate,Lolland,2019,9.271332694146575e-05
Independent candidate,Næstved,2019,0.00011256335848321009
Independent candidate,Guldborgsund,2019,0.00010678077682678849
Independent candidate,Vordingborg,2019,0.0004255428103236321
Independent candidate,Haderslev,2019,0.0005856193848584848
Independent candidate,Billund,2019,0.00042886228311665476
Independent candidate,Sønderborg,2019,0.0015550425598288289
Independent candidate,Tønder,2019,0.00040332503958376086
Independent candidate,Esbjerg,2019,0.00040093280904674247
Independent candidate,Varde,2019,0.0004423597424779439
Independent candidate,Vejen,2019,0.00039544168500463435
Independent candidate,Aabenraa,2019,0.00047715292541566977
Independent candidate,Fredericia,2019,0.00045351737577134824
Independent candidate,Horsens,2019,0.0009887651147290962
Independent candidate,Kolding,2019,0.00045257234726686895
Independent candidate,Vejle,2019,0.00040692317702678094
Independent candidate,Syddjurs,2019,0.0008407310608848633
Independent candidate,Norddjurs,2019,0.0006318021201413088
Independent candidate,Favrskov,2019,0.0010266135511515502
Independent candidate,Odder,2019,0.0010218547562222604
Independent candidate,Randers,2019,0.0006333573740796005
Independent candidate,Samsø,2019,0.00034907824662016473
Independent candidate,Skanderborg,2019,0.000981417961871214
Independent candidate,Aarhus,2019,0.001114355876475273
Independent candidate,Hedensted,2019,0.0005932618366150513
Å: Alternativet,Copenhagen,2019,0.06032301151962865
Å: Alternativet,Frederiksberg,2019,0.04491845876756816
Å: Alternativet,Ballerup,2019,0.02041499342241911
Å: Alternativet,Brøndby,2019,0.02811417387049414
Å: Alternativet,Dragør,2019,0.01939801390268122
Å: Alternativet,Gentofte,2019,0.025553471757088622
Å: Alternativet,Gladsaxe,2019,0.0291049561933146
Å: Alternativet,Glostrup,2019,0.019513351206434288
Å: Alternativet,Herlev,2019,0.022201592087806008
Å: Alternativet,Albertslund,2019,0.04140848065931137
Å: Alternativet,Hvidovre,2019,0.024401349920592848
Å: Alternativet,Høje-Taastrup,2019,0.025862184433290854
Å: Alternativet,Lyngby-Taarbæk,2019,0.028248450704225294
Å: Alternativet,Rødovre,2019,0.023693848354792497
Å: Alternativet,Ishøj,2019,0.025760472308124793
Å: Alternativet,Tårnby,2019,0.020313050935343583
Å: Alternativet,Vallensbæk,2019,0.023148512685914203
Å: Alternativet,Furesø,2019,0.028439362774752976
Å: Alternativet,Allerød,2019,0.023412708383667487
Å: Alternativet,Fredensborg,2019,0.02556209822156954
Å: Alternativet,Helsingør,2019,0.0268563164599745
Å: Alternativet,Hillerød,2019,0.02770225602027882
Å: Alternativet,Hørsholm,2019,0.012380039271031457
Å: Alternativet,Rudersdal,2019,0.026743127625752237
Å: Alternativet,Egedal,2019,0.018734639714971222
Å: Alternativet,Frederikssund,2019,0.017669077419131103
Å: Alternativet,Greve,2019,0.012574796587278045
Å: Alternativet,Køge,2019,0.013102985591392039
Å: Alternativet,Halsnæs,2019,0.020069286229271798
Å: Alternativet,Roskilde,2019,0.026307576138937767
Å: Alternativet,Solrød,2019,0.012812215733424902
Å: Alternativet,Gribskov,2019,0.02438911074205475
Å: Alternativet,Odsherred,2019,0.019318632876075333
Å: Alternativet,Holbæk,2019,0.017822140842507477
Å: Alternativet,Faxe,2019,0.01558184713375792
Å: Alternativet,Kalundborg,2019,0.012860991828497642
Å: Alternativet,Ringsted,2019,0.017584507378575844
Å: Alternativet,Slagelse,2019,0.014538625878049794
Å: Alternativet,Stevns,2019,0.013935589743589737
Å: Alternativet,Sorø,2019,0.018967715648957224
Å: Alternativet,Lejre,2019,0.024512665198237804
Å: Alternativet,Lolland,2019,0.008436912751677792
Å: Alternativet,Næstved,2019,0.014472431804991267
Å: Alternativet,Guldborgsund,2019,0.013112679394338305
Å: Alternativet,Vordingborg,2019,0.023319746005735303
Å: Alternativet,Bornholm,2019,0.02666034011178491
Å: Alternativet,Middelfart,2019,0.01720363636363631
Å: Alternativet,Christiansø,2019,0.034524999999999986
Å: Alternativet,Assens,2019,0.018849576271186375
Å: Alternativet,Faaborg-Midtfyn,2019,0.022118927203065075
Å: Alternativet,Kerteminde,2019,0.014744330909805438
Å: Alternativet,Nyborg,2019,0.018422106612752048
Å: Alternativet,Odense,2019,0.03168924897776635
Å: Alternativet,Svendborg,2019,0.03534552871540549
Å: Alternativet,Nordfyns,2019,0.012059052790022519
Å: Alternativet,Langeland,2019,0.020644510783477447
Å: Alternativet,Ærø,2019,0.027234029850746196
Å: Alternativet,Haderslev,2019,0.012078399812706657
Å: Alternativet,Billund,2019,0.008952500160061425
Å: Alternativet,Sønderborg,2019,0.01242182806720435
Å: Alternativet,Tønder,2019,0.008983148608911959
Å: Alternativet,Esbjerg,2019,0.014492541832897953
Å: Alternativet,Fanø,2019,0.03561445261791426
Å: Alternativet,Varde,2019,0.010506043883852283
Å: Alternativet,Vejen,2019,0.010083762967620232
Å: Alternativet,Aabenraa,2019,0.009566916154585416
Å: Alternativet,Fredericia,2019,0.015686365703150296
Å: Alternativet,Horsens,2019,0.01714391126344851
Å: Alternativet,Kolding,2019,0.018133065380493016
Å: Alternativet,Vejle,2019,0.017201752483407783
Å: Alternativet,Herning,2019,0.012970302588406825
Å: Alternativet,Holstebro,2019,0.011988142981691357
Å: Alternativet,Lemvig,2019,0.009727367764081753
Å: Alternativet,Struer,2019,0.01144622388059696
Å: Alternativet,Syddjurs,2019,0.027339328572480236
Å: Alternativet,Norddjurs,2019,0.014391048292108289
Å: Alternativet,Favrskov,2019,0.01847904392072843
Å: Alternativet,Odder,2019,0.025426150698943002
Å: Alternativet,Randers,2019,0.014773749182335082
Å: Alternativet,Silkeborg,2019,0.024289529641915403
Å: Alternativet,Samsø,2019,0.034209668168783215
Å: Alternativet,Skanderborg,2019,0.029465362529668408
Å: Alternativet,Aarhus,2019,0.04244103952404685
Å: Alternativet,Ikast-Brande,2019,0.011609297757407086
Å: Alternativet,Ringkøbing-Skjern,2019,0.009763356822549602
Å: Alternativet,Hedensted,2019,0.011064333252870746
Å: Alternativet,Morsø,2019,0.009748409893992883
Å: Alternativet,Skive,2019,0.009387989804587908
Å: Alternativet,Thisted,2019,0.014459469000514818
Å: Alternativet,Viborg,2019,0.01617759977040987
Å: Alternativet,Brønderslev,2019,0.011535369070505633
Å: Alternativet,Frederikshavn,2019,0.009682571022346178
Å: Alternativet,Vesthimmerlands,2019,0.007880471166090555
Å: Alternativet,Læsø,2019,0.010105651105651035
Å: Alternativet,Rebild,2019,0.017864589935012585
Å: Alternativet,Mariagerfjord,2019,0.011961129978388326
Å: Alternativet,Jammerbugt,2019,0.012366335931963065
Å: Alternativet,Aalborg,2019,0.024668434540389934
Å: Alternativet,Hjørring,2019,0.011797820244849207
D: Nye Borgerlige,Copenhagen,2019,0.011147681073278369
D: Nye Borgerlige,Frederiksberg,2019,0.012257868567294149
D: Nye Borgerlige,Ballerup,2019,0.020238748874887445
D: Nye Borgerlige,Brøndby,2019,0.01761474473984661
D: Nye Borgerlige,Dragør,2019,0.02096553017764532
D: Nye Borgerlige,Gentofte,2019,0.01977115427550787
D: Nye Borgerlige,Gladsaxe,2019,0.016019680892063397
D: Nye Borgerlige,Glostrup,2019,0.022491037916507035
D: Nye Borgerlige,Herlev,2019,0.020137498492341022
D: Nye Borgerlige,Albertslund,2019,0.019713079888342366
D: Nye Borgerlige,Hvidovre,2019,0.019829539438856476
D: Nye Borgerlige,Høje-Taastrup,2019,0.022823222713311796
D: Nye Borgerlige,Lyngby-Taarbæk,2019,0.017901032863849742
D: Nye Borgerlige,Rødovre,2019,0.01859608098148868
D: Nye Borgerlige,Ishøj,2019,0.02399403992128194
D: Nye Borgerlige,Tårnby,2019,0.020811734673527107
D: Nye Borgerlige,Vallensbæk,2019,0.02011264216972878
D: Nye Borgerlige,Furesø,2019,0.01922356926799755
D: Nye Borgerlige,Allerød,2019,0.02584232906499154
D: Nye Borgerlige,Fredensborg,2019,0.026273144069179247
D: Nye Borgerlige,Helsingør,2019,0.03175120245430669
D: Nye Borgerlige,Hillerød,2019,0.02825409378960707
D: Nye Borgerlige,Hørsholm,2019,0.028391556728232195
D: Nye Borgerlige,Rudersdal,2019,0.022587617804019498
D: Nye Borgerlige,Egedal,2019,0.028444070384643305
D: Nye Borgerlige,Frederikssund,2019,0.03212291370523172
D: Nye Borgerlige,Greve,2019,0.024411568995618766
D: Nye Borgerlige,Køge,2019,0.022844472261432304
D: Nye Borgerlige,Halsnæs,2019,0.03251139149242969
D: Nye Borgerlige,Roskilde,2019,0.017527913415554944
D: Nye Borgerlige,Solrød,2019,0.023984953624184045
D: Nye Borgerlige,Gribskov,2019,0.03506134973956365
D: Nye Borgerlige,Odsherred,2019,0.020238567774935996
D: Nye Borgerlige,Holbæk,2019,0.018604483213538327
D: Nye Borgerlige,Faxe,2019,0.025306687898089115
D: Nye Borgerlige,Kalundborg,2019,0.025965153670559418
D: Nye Borgerlige,Ringsted,2019,0.020649696738144104
D: Nye Borgerlige,Slagelse,2019,0.024625961178768824
D: Nye Borgerlige,Stevns,2019,0.022703398290598264
D: Nye Borgerlige,Sorø,2019,0.021439811290408974
D: Nye Borgerlige,Lejre,2019,0.023973386563876563
D: Nye Borgerlige,Lolland,2019,0.01817181208053688
D: Nye Borgerlige,Næstved,2019,0.021789050106403498
D: Nye Borgerlige,Guldborgsund,2019,0.01808866359446997
D: Nye Borgerlige,Vordingborg,2019,0.019404752150757824
D: Nye Borgerlige,Bornholm,2019,0.013881539620248068
D: Nye Borgerlige,Middelfart,2019,0.016512727272727214
D: Nye Borgerlige,Assens,2019,0.018783898305084708
D: Nye Borgerlige,Faaborg-Midtfyn,2019,0.016550344827586185
D: Nye Borgerlige,Kerteminde,2019,0.016650442130084448
D: Nye Borgerlige,Nyborg,2019,0.019420143991321023
D: Nye Borgerlige,Odense,2019,0.01427934928443642
D: Nye Borgerlige,Svendborg,2019,0.01624717645176767
D: Nye Borgerlige,Nordfyns,2019,0.01970403720030101
D: Nye Borgerlige,Langeland,2019,0.014361398805897386
D: Nye Borgerlige,Ærø,2019,0.01176014925373131
D: Nye Borgerlige,Haderslev,2019,0.04357984255655375
D: Nye Borgerlige,Billund,2019,0.026696677124015612
D: Nye Borgerlige,Sønderborg,2019,0.039820196978474894
D: Nye Borgerlige,Tønder,2019,0.036629246776747275
D: Nye Borgerlige,Esbjerg,2019,0.0329826196148216
D: Nye Borgerlige,Fanø,2019,0.013403288619645145
D: Nye Borgerlige,Varde,2019,0.03292815333070549
D: Nye Borgerlige,Vejen,2019,0.043465631876768246
D: Nye Borgerlige,Aabenraa,2019,0.03800523050936304
D: Nye Borgerlige,Fredericia,2019,0.029478629425137962
D: Nye Borgerlige,Horsens,2019,0.01998262401218696
D: Nye Borgerlige,Kolding,2019,0.03445584137191847
D: Nye Borgerlige,Vejle,2019,0.02548818808831816
D: Nye Borgerlige,Herning,2019,0.015730608822457137
D: Nye Borgerlige,Holstebro,2019,0.013182274411508252
D: Nye Borgerlige,Lemvig,2019,0.012969823685442309
D: Nye Borgerlige,Struer,2019,0.014418447761194006
D: Nye Borgerlige,Syddjurs,2019,0.017842181403224553
D: Nye Borgerlige,Norddjurs,2019,0.020393168433451084
D: Nye Borgerlige,Favrskov,2019,0.018156393947509317
D: Nye Borgerlige,Odder,2019,0.01604913058302077
D: Nye Borgerlige,Randers,2019,0.017362253232921232
D: Nye Borgerlige,Silkeborg,2019,0.015533486433614015
D: Nye Borgerlige,Samsø,2019,0.01186866038508807
D: Nye Borgerlige,Skanderborg,2019,0.017870936375468893
D: Nye Borgerlige,Aarhus,2019,0.014848792054033949
D: Nye Borgerlige,Ikast-Brande,2019,0.017344843673268925
D: Nye Borgerlige,Ringkøbing-Skjern,2019,0.013215048628501501
D: Nye Borgerlige,Hedensted,2019,0.020615848822373183
D: Nye Borgerlige,Morsø,2019,0.011287632508833894
D: Nye Borgerlige,Skive,2019,0.01525548343245533
D: Nye Borgerlige,Thisted,2019,0.013156255056262355
D: Nye Borgerlige,Viborg,2019,0.012172535282598403
D: Nye Borgerlige,Brønderslev,2019,0.016142026199311404
D: Nye Borgerlige,Frederikshavn,2019,0.0222786758591088
D: Nye Borgerlige,Vesthimmerlands,2019,0.019590704020374744
D: Nye Borgerlige,Læsø,2019,0.01280049140049135
D: Nye Borgerlige,Rebild,2019,0.015771083302003275
D: Nye Borgerlige,Mariagerfjord,2019,0.01536496217968502
D: Nye Borgerlige,Jammerbugt,2019,0.023762763163380142
D: Nye Borgerlige,Aalborg,2019,0.014613972144846743
D: Nye Borgerlige,Hjørring,2019,0.020130546431770657
Another party,Copenhagen,2019,0.008209810081797844
Another party,Frederiksberg,2019,0.007644255784239764
Another party,Ballerup,2019,0.006550422349927283
Another party,Brøndby,2019,0.0053364867068993295
Another party,Dragør,2019,0.00920915811541427
Another party,Gentofte,2019,0.007511051574011983
Another party,Gladsaxe,2019,0.007303409470465815
Another party,Glostrup,2019,0.006588923783990805
Another party,Herlev,2019,0.005940562055240581
Another party,Albertslund,2019,0.005506446896184951
Another party,Hvidovre,2019,0.007105584965590228
Another party,Høje-Taastrup,2019,0.007039227657502394
Another party,Lyngby-Taarbæk,2019,0.007760563380281645
Another party,Rødovre,2019,0.006677357263623357
Another party,Ishøj,2019,0.0050784931121731795
Another party,Tårnby,2019,0.00940849986039642
Another party,Vallensbæk,2019,0.005597386264216907
Another party,Furesø,2019,0.006515854002823087
Another party,Allerød,2019,0.006350144962551313
Another party,Fredensborg,2019,0.008994729972262958
Another party,Helsingør,2019,0.00885012869510955
Another party,Hillerød,2019,0.006263358681875753
Another party,Hørsholm,2019,0.0067677548014972045
Another party,Rudersdal,2019,0.007546201884864301
Another party,Egedal,2019,0.009057791027412136
Another party,Frederikssund,2019,0.008701799396733967
Another party,Greve,2019,0.006926073063873174
Another party,Køge,2019,0.007774895464351311
Another party,Halsnæs,2019,0.010268997837058366
Another party,Roskilde,2019,0.00816712811477472
Another party,Solrød,2019,0.008622439024390234
Another party,Gribskov,2019,0.010864531592058533
Another party,Odsherred,2019,0.011192541269472186
Another party,Holbæk,2019,0.010304021472113505
Another party,Faxe,2019,0.010719426751592284
Another party,Kalundborg,2019,0.008240761570781057
Another party,Ringsted,2019,0.008267944983045963
Another party,Slagelse,2019,0.007751677127062596
Another party,Stevns,2019,0.010451692307692302
Another party,Sorø,2019,0.00925912185707389
Another party,Lejre,2019,0.009903116740088065
Another party,Lolland,2019,0.00658264621284755
Another party,Næstved,2019,0.008152803250145016
Another party,Guldborgsund,2019,0.008691955233706342
Another party,Vordingborg,2019,0.007858357230643145
Another party,Bornholm,2019,0.007167804336623444
Another party,Middelfart,2019,0.00694363636363636
Another party,Assens,2019,0.007158898305084737
Another party,Faaborg-Midtfyn,2019,0.0072521072796934835
Another party,Kerteminde,2019,0.006895637649832901
Another party,Nyborg,2019,0.006528827851471909
Another party,Odense,2019,0.00689394326603627
Another party,Svendborg,2019,0.007376851703727377
Another party,Nordfyns,2019,0.005824750026878821
Another party,Langeland,2019,0.006083648105275974
Another party,Ærø,2019,0.0068085074626864864
Another party,Haderslev,2019,0.005856193848585016
Another party,Billund,2019,0.005253562968179775
Another party,Sønderborg,2019,0.005201987610856097
Another party,Tønder,2019,0.005059895951142273
Another party,Esbjerg,2019,0.006403132803306397
Another party,Fanø,2019,0.010722630895716097
Another party,Varde,2019,0.006773633556694206
Another party,Vejen,2019,0.005964578748821111
Another party,Aabenraa,2019,0.005391828057197773
Another party,Fredericia,2019,0.008056602793114617
Another party,Horsens,2019,0.007048938398552765
Another party,Kolding,2019,0.0061097266881028145
Another party,Vejle,2019,0.006510770832429604
Another party,Herning,2019,0.005253991979584359
Another party,Holstebro,2019,0.004612625326939812
Another party,Lemvig,2019,0.004168871898892156
Another party,Struer,2019,0.005059104477611903
Another party,Syddjurs,2019,0.007753408672605433
Another party,Norddjurs,2019,0.006774322732626564
Another party,Favrskov,2019,0.005661040439207278
Another party,Odder,2019,0.005830583020797811
Another party,Randers,2019,0.005493686788212136
Another party,Silkeborg,2019,0.006629786510164079
Another party,Samsø,2019,0.006981564932404743
Another party,Skanderborg,2019,0.006801454712502821
Another party,Aarhus,2019,0.00616079605994223
Another party,Ikast-Brande,2019,0.005700994434440921
Another party,Ringkøbing-Skjern,2019,0.004117375225671126
Another party,Hedensted,2019,0.00697082658022683
Another party,Morsø,2019,0.005643816254416905
Another party,Skive,2019,0.004236044180118892
Another party,Thisted,2019,0.005647260425093728
Another party,Viborg,2019,0.004663039367951904
Another party,Brønderslev,2019,0.0075279518934143665
Another party,Frederikshavn,2019,0.006221380475896614
Another party,Vesthimmerlands,2019,0.005744642532290289
Another party,Læsø,2019,0.006063390663390605
Another party,Rebild,2019,0.007024877812986694
Another party,Mariagerfjord,2019,0.006584983791293568
Another party,Jammerbugt,2019,0.0068932796931671135
Another party,Aalborg,2019,0.008041091922005524
Another party,Hjørring,2019,0.005960786802030455
Another party,Copenhagen,2019,0.010460348136197601
Another party,Frederiksberg,2019,0.00836132756577019
Another party,Ballerup,2019,0.017183843384338388
Another party,Brøndby,2019,0.020955472190507224
Another party,Dragør,2019,0.012442160432527837
Another party,Gentofte,2019,0.009955123911587344
Another party,Gladsaxe,2019,0.014193828524446901
Another party,Glostrup,2019,0.020780451934124824
Another party,Herlev,2019,0.018929248582800616
Another party,Albertslund,2019,0.018611790509105393
Another party,Hvidovre,2019,0.01875543938591843
Another party,Høje-Taastrup,2019,0.01876093714885007
Another party,Lyngby-Taarbæk,2019,0.010683708920187733
Another party,Rødovre,2019,0.01913457753500669
Another party,Ishøj,2019,0.020313972448692718
Another party,Tårnby,2019,0.019581648119341065
Another party,Vallensbæk,2019,0.013471675415573009
Another party,Furesø,2019,0.008711804799354647
Another party,Allerød,2019,0.00795148586615123
Another party,Fredensborg,2019,0.011127867515092172
Another party,Helsingør,2019,0.01468465798299664
Another party,Hillerød,2019,0.012775044359949226
Another party,Hørsholm,2019,0.009738964226544706
Another party,Rudersdal,2019,0.007852128988304735
Another party,Egedal,2019,0.013391194648440328
Another party,Frederikssund,2019,0.016282689040668385
Another party,Greve,2019,0.01952925519649503
Another party,Køge,2019,0.01955157535888347
Another party,Halsnæs,2019,0.017427469358327258
Another party,Roskilde,2019,0.014716536622199804
Another party,Solrød,2019,0.018641470285125326
Another party,Gribskov,2019,0.018748527968596607
Another party,Odsherred,2019,0.023994968611950638
Another party,Holbæk,2019,0.021027836411609487
Another party,Faxe,2019,0.029469214437367223
Another party,Kalundborg,2019,0.03244968736560029
Another party,Ringsted,2019,0.020569033860260707
Another party,Slagelse,2019,0.027215495240866205
Another party,Stevns,2019,0.024445347008546937
Another party,Sorø,2019,0.023777065351417995
Another party,Lejre,2019,0.01666861233480174
Another party,Lolland,2019,0.02565068712048573
Another party,Næstved,2019,0.022191062100986602
Another party,Guldborgsund,2019,0.023534483212639838
Another party,Vordingborg,2019,0.023206267922982332
Another party,Bornholm,2019,0.015535648313315036
Another party,Middelfart,2019,0.014543636363636281
Another party,Christiansø,2019,0.034524999999999986
Another party,Assens,2019,0.019506355932203314
Another party,Faaborg-Midtfyn,2019,0.01626544061302676
Another party,Kerteminde,2019,0.020014167812929848
Another party,Nyborg,2019,0.016051767838650744
Another party,Odense,2019,0.014952585931510281
Another party,Svendborg,2019,0.014731075027995519
Another party,Nordfyns,2019,0.02106921298785074
