municipality,vote,year,N
Fanø,Voting percentage,2019,88.50
Fredericia,Voting percentage,2019,82.14
Herning,Voting percentage,2019,86.04
Syddjurs,Voting percentage,2019,84.59
Randers,Voting percentage,2019,82.09
Aarhus,Voting percentage,2019,87.03
Morsø,Voting percentage,2019,83.49
Brønderslev,Voting percentage,2019,83.77
Rebild,Voting percentage,2019,86.62
Hjørring,Voting percentage,2019,82.89
Frederiksberg,Voting percentage,2022,87.46
Gentofte,Voting percentage,2022,89.60
Albertslund,Voting percentage,2022,78.26
Rødovre,Voting percentage,2022,80.84
Furesø,Voting percentage,2022,89.08
Helsingør,Voting percentage,2022,83.61
Egedal,Voting percentage,2022,88.45
Halsnæs,Voting percentage,2022,82.59
Kalundborg,Voting percentage,2022,81.11
Sorø,Voting percentage,2022,83.89
Guldborgsund,Voting percentage,2022,81.75
Middelfart,Voting percentage,2022,86.23
Ballerup,Voting percentage,2019,84.85
Gladsaxe,Voting percentage,2019,84.60
Hvidovre,Voting percentage,2019,83.24
Ishøj,Voting percentage,2019,78.54
Hillerød,Voting percentage,2019,87.08
Frederikssund,Voting percentage,2019,85.08
Roskilde,Voting percentage,2019,87.36
Odsherred,Voting percentage,2019,82.43
Ringsted,Voting percentage,2019,84.45
Lejre,Voting percentage,2019,89.03
Vordingborg,Voting percentage,2019,83.10
Christiansø,Voting percentage,2019,96.67
Nyborg,Voting percentage,2019,84.33
Langeland,Voting percentage,2019,81.85
Billund,Voting percentage,2019,83.73
Kerteminde,Voting percentage,2022,85.53
Nordfyns,Voting percentage,2022,84.28
Haderslev,Voting percentage,2022,83.09
Esbjerg,Voting percentage,2022,81.88
Aabenraa,Voting percentage,2022,82.29
Vejle,Voting percentage,2022,84.70
Struer,Voting percentage,2022,85.51
Odder,Voting percentage,2022,87.68
Skanderborg,Voting percentage,2022,89.59
Hedensted,Voting percentage,2022,86.17
Viborg,Voting percentage,2022,84.92
Læsø,Voting percentage,2022,85.14
Aalborg,Voting percentage,2022,83.59
Sønderborg,Voting percentage,2019,83.08
Varde,Voting percentage,2019,84.17
Horsens,Voting percentage,2019,83.75
Holstebro,Voting percentage,2019,85.94
Norddjurs,Voting percentage,2019,80.46
Silkeborg,Voting percentage,2019,86.80
Ikast-Brande,Voting percentage,2019,84.43
Skive,Voting percentage,2019,84.22
Frederikshavn,Voting percentage,2019,81.66
Mariagerfjord,Voting percentage,2019,82.43
Ballerup,Voting percentage,2022,82.73
Gladsaxe,Voting percentage,2022,83.22
Hvidovre,Voting percentage,2022,81.46
Ishøj,Voting percentage,2022,73.94
Hillerød,Voting percentage,2022,86.38
Frederikssund,Voting percentage,2022,84.46
Roskilde,Voting percentage,2022,86.78
Odsherred,Voting percentage,2022,82.68
Ringsted,Voting percentage,2022,83.07
Lejre,Voting percentage,2022,88.66
Vordingborg,Voting percentage,2022,83.02
Christiansø,Voting percentage,2022,92.54
Brøndby,Voting percentage,2019,79.80
Glostrup,Voting percentage,2019,82.71
Høje-Taastrup,Voting percentage,2019,82.79
Tårnby,Voting percentage,2019,83.35
Allerød,Voting percentage,2019,91.42
Hørsholm,Voting percentage,2019,89.67
Greve,Voting percentage,2019,86.17
Solrød,Voting percentage,2019,88.38
Holbæk,Voting percentage,2019,83.89
Slagelse,Voting percentage,2019,81.44
Lolland,Voting percentage,2019,77.36
Assens,Voting percentage,2019,85.25
Odense,Voting percentage,2019,84.30
Ærø,Voting percentage,2019,82.94
Nyborg,Voting percentage,2022,83.81
Langeland,Voting percentage,2022,81.88
Billund,Voting percentage,2022,83.95
Fanø,Voting percentage,2022,90.35
Fredericia,Voting percentage,2022,81.32
Herning,Voting percentage,2022,85.30
Syddjurs,Voting percentage,2022,85.64
Randers,Voting percentage,2022,82.11
Aarhus,Voting percentage,2022,85.80
Morsø,Voting percentage,2022,83.64
Brønderslev,Voting percentage,2022,84.97
Rebild,Voting percentage,2022,88.21
Hjørring,Voting percentage,2022,83.51
Tønder,Voting percentage,2019,81.05
Vejen,Voting percentage,2019,83.86
Kolding,Voting percentage,2019,84.45
Lemvig,Voting percentage,2019,84.82
Favrskov,Voting percentage,2019,87.62
Samsø,Voting percentage,2019,85.21
Ringkøbing-Skjern,Voting percentage,2019,84.67
Thisted,Voting percentage,2019,84.38
Vesthimmerlands,Voting percentage,2019,80.97
Jammerbugt,Voting percentage,2019,83.09
Brøndby,Voting percentage,2022,75.70
Glostrup,Voting percentage,2022,81.13
Høje-Taastrup,Voting percentage,2022,79.51
Tårnby,Voting percentage,2022,83.19
Allerød,Voting percentage,2022,91.71
Hørsholm,Voting percentage,2022,89.44
Greve,Voting percentage,2022,84.04
Solrød,Voting percentage,2022,87.79
Holbæk,Voting percentage,2022,83.63
Slagelse,Voting percentage,2022,79.67
Lolland,Voting percentage,2022,77.64
Assens,Voting percentage,2022,84.38
Copenhagen,Voting percentage,2019,84.32
Dragør,Voting percentage,2019,88.79
Herlev,Voting percentage,2019,83.48
Lyngby-Taarbæk,Voting percentage,2019,88.16
Vallensbæk,Voting percentage,2019,86.75
Fredensborg,Voting percentage,2019,87.16
Rudersdal,Voting percentage,2019,89.81
Køge,Voting percentage,2019,85.86
Gribskov,Voting percentage,2019,84.91
Faxe,Voting percentage,2019,83.28
Stevns,Voting percentage,2019,84.92
Næstved,Voting percentage,2019,83.12
Bornholm,Voting percentage,2019,81.82
Faaborg-Midtfyn,Voting percentage,2019,84.50
Svendborg,Voting percentage,2019,84.87
Odense,Voting percentage,2022,82.64
Ærø,Voting percentage,2022,84.39
Sønderborg,Voting percentage,2022,82.40
Varde,Voting percentage,2022,85.04
Horsens,Voting percentage,2022,83.43
Holstebro,Voting percentage,2022,85.51
Norddjurs,Voting percentage,2022,81.45
Silkeborg,Voting percentage,2022,87.01
Ikast-Brande,Voting percentage,2022,84.16
Skive,Voting percentage,2022,84.05
Frederikshavn,Voting percentage,2022,82.57
Mariagerfjord,Voting percentage,2022,83.66
Esbjerg,Voting percentage,2019,82.17
Aabenraa,Voting percentage,2019,81.92
Vejle,Voting percentage,2019,85.28
Struer,Voting percentage,2019,84.74
Odder,Voting percentage,2019,88.15
Skanderborg,Voting percentage,2019,89.43
Hedensted,Voting percentage,2019,86.02
Viborg,Voting percentage,2019,84.73
Læsø,Voting percentage,2019,82.26
Aalborg,Voting percentage,2019,83.40
Copenhagen,Voting percentage,2022,83.36
Dragør,Voting percentage,2022,88.83
Herlev,Voting percentage,2022,80.79
Lyngby-Taarbæk,Voting percentage,2022,87.65
Vallensbæk,Voting percentage,2022,82.78
Fredensborg,Voting percentage,2022,85.94
Rudersdal,Voting percentage,2022,90.06
Køge,Voting percentage,2022,84.74
Gribskov,Voting percentage,2022,84.49
Faxe,Voting percentage,2022,82.91
Stevns,Voting percentage,2022,85.11
Næstved,Voting percentage,2022,83.00
Bornholm,Voting percentage,2022,81.63
Frederiksberg,Voting percentage,2019,87.89
Gentofte,Voting percentage,2019,89.00
Albertslund,Voting percentage,2019,82.85
Rødovre,Voting percentage,2019,82.81
Furesø,Voting percentage,2019,89.26
Helsingør,Voting percentage,2019,84.05
Egedal,Voting percentage,2019,89.62
Halsnæs,Voting percentage,2019,82.74
Kalundborg,Voting percentage,2019,81.67
Sorø,Voting percentage,2019,83.84
Guldborgsund,Voting percentage,2019,81.10
Middelfart,Voting percentage,2019,85.88
Kerteminde,Voting percentage,2019,85.59
Nordfyns,Voting percentage,2019,84.65
Haderslev,Voting percentage,2019,83.38
Faaborg-Midtfyn,Voting percentage,2022,84.75
Svendborg,Voting percentage,2022,84.85
Tønder,Voting percentage,2022,82.04
Vejen,Voting percentage,2022,84.40
Kolding,Voting percentage,2022,83.74
Lemvig,Voting percentage,2022,86.66
Favrskov,Voting percentage,2022,88.20
Samsø,Voting percentage,2022,86.87
Ringkøbing-Skjern,Voting percentage,2022,85.75
Thisted,Voting percentage,2022,84.51
Vesthimmerlands,Voting percentage,2022,82.65
Jammerbugt,Voting percentage,2022,84.81
