party,expected_total,expected_share
A: Socialdemokratiet,1071579.1333835658,0.25734740015071594
V: Venstre,525591.5222305949,0.12622456669178664
F: SF - Socialistisk Folkeparti,440869.3067068565,0.1058779201205731
M: Moderaterne,401646.05877920403,0.09645817633760487
I: Liberal Alliance,252597.7166541064,0.060663149962321236
Æ: Danmarksdemokraterne,240046.27731725606,0.057648831951771035
Ø: Enhedslisten,240046.27731725606,0.057648831951771035
C: Det Konservative Folkeparti,236908.41748304505,0.05689525244913386
B: Det Radikale Venstre,199254.09947249416,0.04785229841748328
Å: Alternativet,150617.27204219985,0.036171816126601426
Did not vote,144341.55237377624,0.0346646571213267
D: Nye Borgerlige,90997.93519216278,0.02185380557648845
O: Dansk Folkeparti,65895.05651846292,0.015825169555388242
Voted blank,53343.61718161275,0.012810851544838079
Q: Frie Grønne,21965.018839487788,0.0052750565184627824
K: Kristendemokraterne,18827.15900527499,0.00452147701582518
Another party,4706.789751318749,0.0011303692539562954
Independent candidate,4706.789751318749,0.0011303692539562954
