municipality,party,point_estimate,lower_quartile,median,upper_quartile,sd_draws,n_distinct_draws
Aabenraa,A: Socialdemokratiet,0.25734740015071567,0.17000794117899154,0.1839591073749881,0.20143901508514894,0.024332250146821548,250
Aabenraa,V: Venstre,0.12622456669178586,1.9588280897166944e-4,3.188043776094612e-4,5.323202586216934e-4,3.430520590161711e-4,250
Aabenraa,F: SF - Socialistisk Folkeparti,0.10587792012057273,3.9684298556951664e-5,6.051942200615679e-5,1.0471752467217893e-4,7.462724996396806e-5,250
Aabenraa,M: Moderaterne,0.09645817633760354,2.6307659403268453e-5,4.5357796485291e-5,7.926823995156192e-5,7.777913190894414e-5,250
Aabenraa,I: Liberal Alliance,0.060663149962320966,1.969103949368481e-5,3.6846070890361126e-5,5.80987216476602e-5,4.5127565548039244e-5,250
Aabenraa,Æ: Danmarksdemokraterne,0.05764883195177089,9.80426579500969e-5,1.6034557413877404e-4,2.6616304967793216e-4,1.9485301819175706e-4,250
Aabenraa,Ø: Enhedslisten,0.05764883195177089,4.308074321598878e-6,7.669133958711905e-6,1.2414713512979975e-5,8.500140219531488e-6,250
Aabenraa,C: Det Konservative Folkeparti,0.056895252449133404,1.1714418022892646e-6,2.241819657786207e-6,4.119043978940509e-6,3.5300287528042237e-6,250
Aabenraa,B: Det Radikale Venstre,0.04785229841748305,4.473736979237173e-6,7.745118510733978e-6,1.2608676382444655e-5,9.042115378950586e-6,250
Aabenraa,Å: Alternativet,0.03617181612660137,3.381722440998179e-6,5.854577771893402e-6,9.530967974131387e-6,6.834984853379968e-6,250
Aabenraa,Did not vote,0.03466465712132628,0.7975633055898989,0.8152725190081385,0.829147392239106,0.024417947258387793,250
Aabenraa,D: Nye Borgerlige,0.021853805576488323,2.043123974769734e-6,3.5371407371855983e-6,5.758293151037719e-6,4.129470015583733e-6,250
Aabenraa,O: Dansk Folkeparti,0.01582516955538809,1.4795035679367027e-6,2.5613777752033643e-6,4.169798488682483e-6,2.990305873353737e-6,250
Aabenraa,Voted blank,0.012810851544837978,1.197693364520188e-6,2.073496294212247e-6,3.375551157504869e-6,2.42072380223874e-6,250
Aabenraa,Q: Frie Grønne,0.005275056518462694,4.93167855978901e-7,8.537925917344541e-7,1.3899328295608288e-6,9.967686244512465e-7,250
Aabenraa,K: Kristendemokraterne,0.004521477015825172,4.2271530512477243e-7,7.318222214866753e-7,1.1913709967664238e-6,8.543731066724961e-7,250
Aabenraa,Another party,0.0011303692539562933,1.0567882628119311e-7,1.8295555537166886e-7,2.9784274919160594e-7,2.1359327666812405e-7,250
Aabenraa,Independent candidate,0.0011303692539562933,1.0567882628119311e-7,1.8295555537166886e-7,2.9784274919160594e-7,2.1359327666812405e-7,250
Aalborg,A: Socialdemokratiet,0.25734740015071567,0.13416456510938005,0.14759267493667702,0.16244282561777815,0.02003993642755017,250
Aalborg,V: Venstre,0.12622456669178586,3.3164212315498266e-6,5.0489949244528315e-6,6.457630275064328e-6,3.4310654356804696e-6,250
Aalborg,F: SF - Socialistisk Folkeparti,0.10587792012057269,6.787150739714237e-7,9.686835767421034e-7,1.311908767730869e-6,6.114455310998816e-7,250
Aalborg,M: Moderaterne,0.09645817633760345,7.049650902042713e-7,1.0618614277433234e-6,1.5117110529259795e-6,7.44197084207105e-7,250
Aalborg,I: Liberal Alliance,0.060663149962320945,5.164177033247045e-7,7.104015067247965e-7,1.0998215650055439e-6,6.264231807896535e-7,250
Aalborg,Æ: Danmarksdemokraterne,0.05764883195177086,1.0268392422817108e-6,1.48638538880137e-6,2.1820907240003236e-6,1.0631986771463953e-6,250
Aalborg,Ø: Enhedslisten,0.05764883195177086,1.4202059786685843e-7,1.8692342909735242e-07,2.724612882635431e-7,1.3792337564752203e-7,250
Aalborg,C: Det Konservative Folkeparti,0.05689525244913327,1.8592660194188804e-7,2.846065492515464e-7,4.156761172935083e-7,2.2986155439891156e-7,250
Aalborg,B: Det Radikale Venstre,0.04785229841748302,9.021875251798154e-8,1.2536833616572924e-7,1.8077394452474812e-7,9.637805876521394e-8,250
Aalborg,Å: Alternativet,0.03617181612660133,6.819685229705697e-8,9.47666163142521e-8,1.366480210580773e-7,7.285270583827191e-8,250
Aalborg,Did not vote,0.03466465712132627,0.8375485110716153,0.8523977086547629,0.8658255374029173,0.020041021490464845,250
Aalborg,D: Nye Borgerlige,0.021853805576488302,4.120226492947189e-8,5.725483068986059e-8,8.255817938925511e-8,4.4015176443955945e-8,250
