party,point_estimate,lower_quartile,median,upper_quartile
A: Socialdemokratiet,0.25734740015071594,0.1354978519115682,0.14793425096077037,0.15949837597908512
V: Venstre,0.12622456669178664,0.00720782502153624,0.007831187125448651,0.00859161515927244
F: SF - Socialistisk Folkeparti,0.1058779201205731,0.0014805884796397738,0.001636090369189385,0.0018367831332644692
M: Moderaterne,0.09645817633760487,0.001477105227903395,0.0016589766544401064,0.001979825384741228
I: Liberal Alliance,0.060663149962321236,9.450014282305903e-4,0.001092615866852159,0.0012546291743839016
Æ: Danmarksdemokraterne,0.057648831951771035,2.873057108926132e-4,3.203722187099272e-4,3.6892851852317744e-4
Ø: Enhedslisten,0.057648831951771035,9.436405204341209e-4,0.0010336447623524405,0.001139003689333256
C: Det Konservative Folkeparti,0.05689525244913386,9.269785320148549e-4,0.0010448834041060667,0.0011563215562765455
B: Det Radikale Venstre,0.04785229841748328,7.899502123872229e-4,8.697206517403776e-4,9.783537189510328e-4
Å: Alternativet,0.036171816126601426,6.330200789508178e-4,6.933189937374682e-4,7.754353280069303e-4
Did not vote,0.0346646571213267,0.8215887311566428,0.8336084388395759,0.8464381344601146
D: Nye Borgerlige,0.02185380557648845,4.406541089320145e-4,4.770847032822788e-4,5.266966552367494e-4
O: Dansk Folkeparti,0.015825169555388242,3.5965791102935925e-4,3.860386862485128e-4,4.2196458249141094e-4
Voted blank,0.012810851544838079,3.191598120780299e-4,3.4051567773163514e-4,3.695985461187368e-4
Q: Frie Grønne,0.0052750565184627824,2.1791456469971073e-4,2.2670815643943036e-4,2.3868345518706055e-4
K: Kristendemokraterne,0.00452147701582518,2.0779003996187925e-4,2.1532740431021022e-4,2.2559194609389396e-4
Another party,0.0011303692539562954,1.6222967864163603e-4,1.6411401972871837e-4,1.6668015517463887e-4
Independent candidate,0.0011303692539562954,1.6222967864163603e-4,1.6411401972871837e-4,1.6668015517463887e-4
