party,expected_total,expected_share
A: Socialdemokratiet,1111094.513688312,0.26683730161537317
Other - Left,548922.4691589952,0.1318276606192687
V: Venstre,461574.70881483203,0.11085047066356243
Other - Right,449156.68162832735,0.10786819253599461
F: SF - Socialistisk Folkeparti,397292.47575490957,0.09541263220769546
M: Moderaterne,351847.0638874536,0.08449859121107778
I: Liberal Alliance,326524.6174576426,0.07841722442149601
Æ: Danmarksdemokraterne,245027.72187548503,0.058845161523817864
Did not vote,182657.045462572,0.04386639708126746
Other,89842.70227146945,0.02157636812045079
