municipality,party,expected_N,total_N,point_estimate
Aabenraa,A: Socialdemokratiet,11420.303202577228,39250,0.29096313891916503
Aabenraa,Did not vote,1837.1422327904795,39250,0.046806171536063174
Aabenraa,F: SF - Socialistisk Folkeparti,2562.250412493184,39250,0.06528026528645055
Aabenraa,I: Liberal Alliance,3099.1095397690374,39250,0.07895820483487993
Aabenraa,M: Moderaterne,3225.890944227085,39250,0.08218830431151809
Aabenraa,Other,739.2315371551144,39250,0.0188339245135061
Aabenraa,Other - Left,2722.187214233839,39250,0.06935508826073475
Aabenraa,Other - Right,5827.9652251482,39250,0.14848319044963568
Aabenraa,V: Venstre,4069.576539123357,39250,0.1036834787037798
Aabenraa,Æ: Danmarksdemokraterne,3746.343152482472,39250,0.0954482331842668
Aalborg,A: Socialdemokratiet,43861.453913565216,165538.00000000006,0.2649630532781911
Aalborg,Did not vote,7560.655900703391,165538.00000000006,0.04567323454858334
Aalborg,F: SF - Socialistisk Folkeparti,13113.016214585965,165538.00000000006,0.07921453813979848
Aalborg,I: Liberal Alliance,16583.927970096724,165538.00000000006,0.10018200032679335
Aalborg,M: Moderaterne,14321.103538570836,165538.00000000006,0.08651248377152576
Aalborg,Other,3421.200391213435,165538.00000000006,0.020667160357219695
Aalborg,Other - Left,18665.571071666916,165538.00000000006,0.11275701694877859
Aalborg,Other - Right,18665.375956279135,165538.00000000006,0.11275583827446947
Aalborg,V: Venstre,19324.287874243513,165538.00000000006,0.11673626523362314
Aalborg,Æ: Danmarksdemokraterne,10021.407169074842,165538.00000000006,0.06053840912101656
Aarhus,A: Socialdemokratiet,54178.36264634065,268930.99999999994,0.2014582277474172
Aarhus,Did not vote,11437.328269070214,268930.99999999994,0.04252885784483833
Aarhus,F: SF - Socialistisk Folkeparti,45742.829122450115,268930.99999999994,0.17009132127739132
Aarhus,I: Liberal Alliance,18842.909625673048,268930.99999999994,0.07006596348384178
Aarhus,M: Moderaterne,20313.33880530064,268930.99999999994,0.07553364545292526
Aarhus,Other,4875.235389822281,268930.99999999994,0.018128201619829185
Aarhus,Other - Left,60363.53598977052,268930.99999999994,0.22445733660221592
Aarhus,Other - Right,23620.375075020667,268930.99999999994,0.08783061482320995
Aarhus,V: Venstre,22153.120997341004,268930.99999999994,0.08237473923549539
Aarhus,Æ: Danmarksdemokraterne,7403.9640792108985,268930.99999999994,0.027531091912836005
Albertslund,A: Socialdemokratiet,5099.475751299069,17762.999999999993,0.2870841497100192
Albertslund,Did not vote,955.655652905467,17762.999999999993,0.05380035201854796
Albertslund,F: SF - Socialistisk Folkeparti,2775.405295698613,17762.999999999993,0.15624642772609434
Albertslund,I: Liberal Alliance,1251.001120208781,17762.999999999993,0.07042735575121216
Albertslund,M: Moderaterne,1116.7501861280493,17762.999999999993,0.06286945820683723
Albertslund,Other,543.5663930103085,17762.999999999993,0.03060104672692162
Albertslund,Other - Left,2319.0778781774384,17762.999999999993,0.13055665586767096
