party,point_estimate,lower_quartile,median,upper_quartile
A: Socialdemokratiet,0.26683730161537317,0.23110615694459147,0.23814367424219604,0.24622767399025816
Other - Left,0.1318276606192687,0.1292175932310551,0.13489604864018906,0.14134356563939635
V: Venstre,0.11085047066356243,0.11680867736542325,0.12336026593714777,0.1305437790229911
Other - Right,0.10786819253599461,0.09450045803862,0.09928128012549048,0.10585357400855312
F: SF - Socialistisk Folkeparti,0.09541263220769546,0.09462829502044139,0.09962374854219752,0.10577777390826043
M: Moderaterne,0.08449859121107778,0.08948857000745275,0.09503585030684983,0.10207225677171286
I: Liberal Alliance,0.07841722442149601,0.06528299696426833,0.07125121119899656,0.07584243309272483
Æ: Danmarksdemokraterne,0.058845161523817864,0.061087439840568296,0.0654548487248337,0.06963385922943002
Did not vote,0.04386639708126746,0.04199134033548309,0.04380781839511244,0.046338791693154115
Other,0.02157636812045079,0.022801334895035354,0.02477595790172165,0.027668110789845303
