draw,party,share
1,Did not vote,0.052736553515323734
1,A: Socialdemokratiet,0.2500777236159456
1,Other - Left,0.12170113832528501
1,V: Venstre,0.13857118967124013
1,F: SF - Socialistisk Folkeparti,0.09517934802275949
1,Other - Right,0.0966992383014693
1,M: Moderaterne,0.0987796366443798
1,I: Liberal Alliance,0.0690498686214803
1,Æ: Danmarksdemokraterne,0.05722077047145185
1,Other,0.01998453281066793
2,Did not vote,0.04251239360665382
2,A: Socialdemokratiet,0.2456390634854561
2,Other - Left,0.14648416686552826
2,V: Venstre,0.12371044317833982
2,F: SF - Socialistisk Folkeparti,0.1027398563617893
2,Other - Right,0.09325392011785684
2,M: Moderaterne,0.09093291109947858
2,I: Liberal Alliance,0.05644290640713412
2,Æ: Danmarksdemokraterne,0.07311651073576303
2,Other,0.025167828142005792
3,Did not vote,0.04426291200784835
3,A: Socialdemokratiet,0.2199446026213215
3,Other - Left,0.1510225802924787
3,V: Venstre,0.12932931312158255
3,F: SF - Socialistisk Folkeparti,0.09554865005055857
3,Other - Right,0.10989128819578955
3,M: Moderaterne,0.10683173634368388
3,I: Liberal Alliance,0.05792633382831077
3,Æ: Danmarksdemokraterne,0.06488520992690808
3,Other,0.020357373611522695
4,Did not vote,0.0416811218475241
4,A: Socialdemokratiet,0.2221165133074885
4,Other - Left,0.1362774386716867
4,V: Venstre,0.12851959281950326
4,F: SF - Socialistisk Folkeparti,0.09964636972598799
4,Other - Right,0.09999362197995598
4,M: Moderaterne,0.11224852296960902
4,I: Liberal Alliance,0.06757290596258961
4,Æ: Danmarksdemokraterne,0.07112388020434084
4,Other,0.020820032511317154
5,Did not vote,0.038920890563496305
5,A: Socialdemokratiet,0.22240699839604924
5,Other - Left,0.14736700455411617
5,V: Venstre,0.13048006184757727
5,F: SF - Socialistisk Folkeparti,0.0934667237539221
5,Other - Right,0.08730170166056586
5,M: Moderaterne,0.1131288315931132
5,I: Liberal Alliance,0.07883852563613704
5,Æ: Danmarksdemokraterne,0.06056279540601677
5,Other,0.02752646658900954
6,Did not vote,0.049272794332800386
6,A: Socialdemokratiet,0.27679768331344107
6,Other - Left,0.12482581999442909
6,V: Venstre,0.11669126137730981
6,F: SF - Socialistisk Folkeparti,0.103776338234239
6,Other - Right,0.09490506493786977
6,M: Moderaterne,0.0765046634286607
6,I: Liberal Alliance,0.07351398036259064
6,Æ: Danmarksdemokraterne,0.061818704308284275
6,Other,0.02189368971038094
7,Did not vote,0.04312802433160059
7,A: Socialdemokratiet,0.2504055723355387
7,Other - Left,0.145581142242714
7,V: Venstre,0.11171651918103531
7,F: SF - Socialistisk Folkeparti,0.10309200130194347
7,Other - Right,0.08615151770092072
7,M: Moderaterne,0.08289906812014686
7,I: Liberal Alliance,0.08163277227246749
7,Æ: Danmarksdemokraterne,0.0701136297966206
7,Other,0.0252797527170166
8,Did not vote,0.040631455746648684
8,A: Socialdemokratiet,0.24934985877465768
8,Other - Left,0.14034423592062084
8,V: Venstre,0.1356037164865277
8,F: SF - Socialistisk Folkeparti,0.09840130527074986
8,Other - Right,0.09864594225838058
8,M: Moderaterne,0.08481833268108563
8,I: Liberal Alliance,0.06558251082432234
8,Æ: Danmarksdemokraterne,0.06331732635604508
8,Other,0.023305315680965322
9,Did not vote,0.04322421605092551
9,A: Socialdemokratiet,0.23222424679538517
9,Other - Left,0.14644897833325113
9,V: Venstre,0.11493293785548961
9,F: SF - Socialistisk Folkeparti,0.1001965763336279
9,Other - Right,0.10491129130741896
9,M: Moderaterne,0.10161950761080374
9,I: Liberal Alliance,0.05869160388217664
9,Æ: Danmarksdemokraterne,0.07004035255613938
9,Other,0.027710289274787296
10,Did not vote,0.04039055902344402
10,A: Socialdemokratiet,0.22386497134744224
10,Other - Left,0.14721045318630713
10,V: Venstre,0.13957026954389043
10,F: SF - Socialistisk Folkeparti,0.10407363663378869
10,Other - Right,0.09848360214684729
10,M: Moderaterne,0.1007020204748136
10,I: Liberal Alliance,0.06364313848987209
10,Æ: Danmarksdemokraterne,0.05825306560101379
10,Other,0.023808283552584866
11,Did not vote,0.04120176187864831
11,A: Socialdemokratiet,0.2441343877302993
11,Other - Left,0.12010987939034766
11,V: Venstre,0.12187692940410866
11,F: SF - Socialistisk Folkeparti,0.13509579678580622
11,Other - Right,0.092801642602901
11,M: Moderaterne,0.08865200449798816
11,I: Liberal Alliance,0.0704402721958875
11,Æ: Danmarksdemokraterne,0.06079937079948029
11,Other,0.024887954714539057
12,Did not vote,0.0395692128855523
12,A: Socialdemokratiet,0.2302621527758308
12,Other - Left,0.13451418048809075
12,V: Venstre,0.12181563334364515
12,F: SF - Socialistisk Folkeparti,0.10821682548982692
12,Other - Right,0.09192169999059217
12,M: Moderaterne,0.09556262858471895
12,I: Liberal Alliance,0.0691897646160714
12,Æ: Danmarksdemokraterne,0.0787080063683504
12,Other,0.03023989545732602
13,Did not vote,0.045376403517861416
13,A: Socialdemokratiet,0.2257730328715291
13,Other - Left,0.13350923297908515
13,V: Venstre,0.12135626782006659
13,F: SF - Socialistisk Folkeparti,0.09742878078104439
13,Other - Right,0.0933131804065412
13,M: Moderaterne,0.1057923675069411
13,I: Liberal Alliance,0.07637877266680372
13,Æ: Danmarksdemokraterne,0.07487516917703475
13,Other,0.026196792273095935
14,Did not vote,0.047623777286109004
14,A: Socialdemokratiet,0.22874580118737006
14,Other - Left,0.13616529437713112
14,V: Venstre,0.14354468367482476
14,F: SF - Socialistisk Folkeparti,0.09649155213631998
14,Other - Right,0.11209825897154971
14,M: Moderaterne,0.09264349407581643
14,I: Liberal Alliance,0.062123051239372486
14,Æ: Danmarksdemokraterne,0.05980602774804074
14,Other,0.020758059303469713
15,Did not vote,0.039134289925567826
15,A: Socialdemokratiet,0.21045346385397024
15,Other - Left,0.13942945420786085
15,V: Venstre,0.1366941055019811
15,F: SF - Socialistisk Folkeparti,0.11359691793576357
15,Other - Right,0.09012036171777604
15,M: Moderaterne,0.09300300108837882
15,I: Liberal Alliance,0.07874002124482522
15,Æ: Danmarksdemokraterne,0.06958450940391561
15,Other,0.029243875119963226
16,Did not vote,0.042701731544837133
16,A: Socialdemokratiet,0.2520797597467082
16,Other - Left,0.12654027818343033
16,V: Venstre,0.11832621045371111
16,F: SF - Socialistisk Folkeparti,0.09618923611584332
16,Other - Right,0.0964035421527654
16,M: Moderaterne,0.09850109138441496
16,I: Liberal Alliance,0.08080646363284598
16,Æ: Danmarksdemokraterne,0.06017752590996652
16,Other,0.028274160875481246
17,Did not vote,0.04276612934904996
17,A: Socialdemokratiet,0.23964244159761147
17,Other - Left,0.12703380146386012
17,V: Venstre,0.1200496734849068
17,F: SF - Socialistisk Folkeparti,0.0949268001284297
17,Other - Right,0.10948511650672182
17,M: Moderaterne,0.10114100047500345
17,I: Liberal Alliance,0.07201880970097788
17,Æ: Danmarksdemokraterne,0.06982505165701357
17,Other,0.02311117563643074
18,Did not vote,0.046573783556954816
18,A: Socialdemokratiet,0.22622493196334512
18,Other - Left,0.14227883015710496
18,V: Venstre,0.12131883743361775
18,F: SF - Socialistisk Folkeparti,0.1142515880801907
18,Other - Right,0.08895042410002718
18,M: Moderaterne,0.09969174808973885
18,I: Liberal Alliance,0.067502822041736
18,Æ: Danmarksdemokraterne,0.06797209173524267
18,Other,0.025234942842046738
19,Did not vote,0.048697125462379795
19,A: Socialdemokratiet,0.22474857243961238
19,Other - Left,0.1425417132470242
19,V: Venstre,0.12182773788956257
19,F: SF - Socialistisk Folkeparti,0.09354775038078719
19,Other - Right,0.09888910683801941
19,M: Moderaterne,0.09421933976698504
19,I: Liberal Alliance,0.07854851529043992
19,Æ: Danmarksdemokraterne,0.06429334288343909
19,Other,0.03268679580175324
20,Did not vote,0.042815858269389
20,A: Socialdemokratiet,0.24673681626716
20,Other - Left,0.12119701149626956
20,V: Venstre,0.119699845868302
20,F: SF - Socialistisk Folkeparti,0.10245797984163636
20,Other - Right,0.09369639434066178
20,M: Moderaterne,0.0994390659899682
20,I: Liberal Alliance,0.07833087352584238
20,Æ: Danmarksdemokraterne,0.06924249306645722
20,Other,0.02638366133431608
21,Did not vote,0.04270004706432765
21,A: Socialdemokratiet,0.24739939813587336
21,Other - Left,0.12717289170467289
21,V: Venstre,0.11871601473453652
21,F: SF - Socialistisk Folkeparti,0.09275072768109262
21,Other - Right,0.10979740193576462
21,M: Moderaterne,0.10274405631430714
21,I: Liberal Alliance,0.0758384728451904
21,Æ: Danmarksdemokraterne,0.059698874452373034
21,Other,0.023182115131864262
22,Did not vote,0.058115871924507304
22,A: Socialdemokratiet,0.2278686645505575
22,Other - Left,0.1384592620100586
22,V: Venstre,0.12120260374271855
22,F: SF - Socialistisk Folkeparti,0.10953773820208301
22,Other - Right,0.08825235902825332
22,M: Moderaterne,0.10765149863532303
22,I: Liberal Alliance,0.06171708458084486
22,Æ: Danmarksdemokraterne,0.059867947073522186
22,Other,0.0273269702521362
23,Did not vote,0.03750478980322944
23,A: Socialdemokratiet,0.24312769699570366
23,Other - Left,0.14706114819856314
23,V: Venstre,0.12286852068895956
23,F: SF - Socialistisk Folkeparti,0.09790284625487894
23,Other - Right,0.09740295342066006
23,M: Moderaterne,0.0895763638055839
23,I: Liberal Alliance,0.0720030046383801
23,Æ: Danmarksdemokraterne,0.07343183437414612
23,Other,0.019120841819898295
24,Did not vote,0.0414700705548705
24,A: Socialdemokratiet,0.25112685897316467
24,Other - Left,0.13598084550716197
24,V: Venstre,0.13485297764013102
24,F: SF - Socialistisk Folkeparti,0.09008951913759203
24,Other - Right,0.09309555201753678
24,M: Moderaterne,0.08211418242744238
24,I: Liberal Alliance,0.08056822488763217
24,Æ: Danmarksdemokraterne,0.06277538082506748
24,Other,0.027926388029405756
25,Did not vote,0.042425939113633855
25,A: Socialdemokratiet,0.24743703796274216
25,Other - Left,0.11877995692102995
25,V: Venstre,0.13688605597452977
25,F: SF - Socialistisk Folkeparti,0.10513489753234892
25,Other - Right,0.09692664433647798
25,M: Moderaterne,0.0989671149313489
25,I: Liberal Alliance,0.07034281193039396
25,Æ: Danmarksdemokraterne,0.058331461313936836
25,Other,0.024768079983562494
26,Did not vote,0.048417389668109025
26,A: Socialdemokratiet,0.23373434726447326
26,Other - Left,0.13309969645945932
26,V: Venstre,0.1354932182428402
26,F: SF - Socialistisk Folkeparti,0.09300562322157016
26,Other - Right,0.10660764626192418
26,M: Moderaterne,0.09259574779256602
26,I: Liberal Alliance,0.07813129436953932
26,Æ: Danmarksdemokraterne,0.058904611657171785
26,Other,0.020010425062349048
27,Did not vote,0.039277252708230445
27,A: Socialdemokratiet,0.2476350845855787
27,Other - Left,0.12046243435572328
27,V: Venstre,0.13632908612414874
27,F: SF - Socialistisk Folkeparti,0.11269158171148669
27,Other - Right,0.11493960332623973
27,M: Moderaterne,0.08245578007096141
27,I: Liberal Alliance,0.06639330260699522
27,Æ: Danmarksdemokraterne,0.058812286652590695
27,Other,0.021003587858049785
