party,expected_total,expected_share
A: Socialdemokratiet,1015176.5161599646,0.24380190784688796
Other - Left,563155.3753079744,0.1352457949221117
M: Moderaterne,490166.78902237414,0.11771706341166709
V: Venstre,456800.2885602296,0.10970385946008643
Other - Right,425353.244219929,0.10215162663725498
F: SF - Socialistisk Folkeparti,416981.4814764799,0.10014108788226593
I: Liberal Alliance,277610.1351942248,0.0666700613347518
Æ: Danmarksdemokraterne,234365.290004046,0.05628450217919744
Did not vote,176179.4046682292,0.042310745272081306
Other,108151.47538654566,0.025973351053700654
