municipality,party,expected_N,total_N,point_estimate
Aabenraa,A: Socialdemokratiet,10580.789997776525,39250,0.2695742674592745
Aabenraa,Did not vote,1823.6445907332222,39250,0.046462282566451525
Aabenraa,F: SF - Socialistisk Folkeparti,2779.837321255891,39250,0.07082388079632843
Aabenraa,I: Liberal Alliance,2761.0836156114824,39250,0.07034607937863649
Aabenraa,M: Moderaterne,4236.0964860272725,39250,0.10792602512171395
Aabenraa,Other,855.4698126375919,39250,0.021795409239174314
Aabenraa,Other - Left,2721.325642815313,39250,0.06933313739656849
Aabenraa,Other - Right,5525.399126784577,39250,0.14077450004546693
Aabenraa,V: Venstre,4806.59259500138,39250,0.12246095783443006
Aabenraa,Æ: Danmarksdemokraterne,3159.760811356751,39250,0.08050346016195545
Aalborg,A: Socialdemokratiet,42447.87950489188,165538.0000000001,0.2564237788597896
Aalborg,Did not vote,7931.4378747260025,165538.0000000001,0.04791309472583937
Aalborg,F: SF - Socialistisk Folkeparti,13764.509289521724,165538.0000000001,0.08315014854306393
Aalborg,I: Liberal Alliance,14558.387342528446,165538.0000000001,0.08794589364694776
Aalborg,M: Moderaterne,19485.828364131423,165538.0000000001,0.11771211663866551
Aalborg,Other,4359.6621443271,165538.0000000001,0.02633632244153667
Aalborg,Other - Left,18911.27584147565,165538.0000000001,0.11424129711290242
Aalborg,Other - Right,15809.282134514255,165538.0000000001,0.09550243529892984
Aalborg,V: Venstre,18384.691510819117,165538.0000000001,0.1110602490716277
Aalborg,Æ: Danmarksdemokraterne,9885.045993064361,165538.0000000001,0.059714663660696374
Aarhus,A: Socialdemokratiet,47311.10400227923,268931,0.17592283523386754
Aarhus,Did not vote,9776.369561818188,268931,0.03635270594248409
Aarhus,F: SF - Socialistisk Folkeparti,36625.603864796314,268931,0.13618959459785712
Aarhus,I: Liberal Alliance,17208.742656699,268931,0.06398943467543347
Aarhus,M: Moderaterne,34247.21731021939,268931,0.12734574039519206
Aarhus,Other,6792.201015053082,268931,0.02525629628065594
Aarhus,Other - Left,61465.880681363764,268931,0.22855632367173648
Aarhus,Other - Right,23676.699246296852,268931,0.0880400520813772
Aarhus,V: Venstre,24818.836660627534,268931,0.09228700544239056
Aarhus,Æ: Danmarksdemokraterne,7008.345000846609,268931,0.02606001167900543
Albertslund,A: Socialdemokratiet,4452.913070496855,17762.999999999993,0.2506847419071585
Albertslund,Did not vote,1064.670776871277,17762.999999999993,0.05993755429101376
Albertslund,F: SF - Socialistisk Folkeparti,2584.8253411135784,17762.999999999993,0.14551738676538756
Albertslund,I: Liberal Alliance,1373.4455142182842,17762.999999999993,0.0773205829093219
Albertslund,M: Moderaterne,1595.4175741532629,17762.999999999993,0.08981689884328456
Albertslund,Other,665.3390015491676,17762.999999999993,0.03745645451495625
Albertslund,Other - Left,2606.2179483100786,17762.999999999993,0.14672172202387432
Albertslund,Other - Right,1565.701076634866,17762.999999999993,0.08814395522349078
Albertslund,V: Venstre,964.9863343664272,17762.999999999993,0.05432563949594255
Albertslund,Æ: Danmarksdemokraterne,889.4833622862076,17762.999999999993,0.05007506402557045
Allerød,A: Socialdemokratiet,3770.278849567825,17904.999999999996,0.21057128453324914
Allerød,Did not vote,400.7928112025601,17904.999999999996,0.022384407216004477
Allerød,F: SF - Socialistisk Folkeparti,1699.0478157470877,17904.999999999996,0.09489236614058018
Allerød,I: Liberal Alliance,623.4830531998542,17904.999999999996,0.03482172874615216
Allerød,M: Moderaterne,2529.813557524953,17904.999999999996,0.14129089961044142
Allerød,Other,354.5872073543151,17904.999999999996,0.01980380940264257
Allerød,Other - Left,2752.126123105637,17904.999999999996,0.15370712779143467
Allerød,Other - Right,1499.4448575250024,17904.999999999996,0.08374447682351313
Allerød,V: Venstre,3827.374252203663,17904.999999999996,0.213760081106041
Allerød,Æ: Danmarksdemokraterne,448.0514725691039,17904.999999999996,0.02502381862994158
Assens,A: Socialdemokratiet,9401.133443367153,29326.99999999999,0.3205623979052462
Assens,Did not vote,1235.3036610965917,29326.99999999999,0.04212171927222669
Assens,F: SF - Socialistisk Folkeparti,2169.0633058749586,29326.99999999999,0.07396130889197529
Assens,I: Liberal Alliance,2104.0992004801583,29326.99999999999,0.07174614520681144
Assens,M: Moderaterne,2941.6930609395977,29326.99999999999,0.10030664783099529
Assens,Other,647.1324193813282,29326.99999999999,0.022066096749798085
Assens,Other - Left,1861.79538378362,29326.99999999999,0.0634840039480213
Assens,Other - Right,3038.0901795665923,29326.99999999999,0.10359362292653845
Assens,V: Venstre,3535.1381441732806,29326.99999999999,0.12054209923187785
Assens,Æ: Danmarksdemokraterne,2393.551201336728,29326.99999999999,0.08161595803651
Ballerup,A: Socialdemokratiet,10345.175080088213,34624.00000000003,0.29878624884727945
Ballerup,Did not vote,1631.7818284567927,34624.00000000003,0.047128634139810284
Ballerup,F: SF - Socialistisk Folkeparti,3598.1875697349187,34624.00000000003,0.10392177592811101
Ballerup,I: Liberal Alliance,1824.6837705226735,34624.00000000003,0.052699970266944084
Ballerup,M: Moderaterne,5812.480747064125,34624.00000000003,0.1678743284156689
Ballerup,Other,997.233695445832,34624.00000000003,0.02880180497475252
Ballerup,Other - Left,3849.2582224333723,34624.00000000003,0.1111731233373778
Ballerup,Other - Right,3020.2265606767764,34624.00000000003,0.08722927913230054
Ballerup,V: Venstre,2225.8259130942192,34624.00000000003,0.0642856375084975
Ballerup,Æ: Danmarksdemokraterne,1319.1466124830838,34624.00000000003,0.038099197449257244
Billund,A: Socialdemokratiet,4631.59370719962,17752.00000000001,0.26090545894544936
Billund,Did not vote,836.2971664722804,17752.00000000001,0.04711002515053402
Billund,F: SF - Socialistisk Folkeparti,919.3889782891409,17752.00000000001,0.051790726582308495
Billund,I: Liberal Alliance,1366.682677043261,17752.00000000001,0.07698753250581682
Billund,M: Moderaterne,1630.1969493323973,17752.00000000001,0.09183173441484882
Billund,Other,332.8345237074149,17752.00000000001,0.01874912819442399
Billund,Other - Left,1124.7756540623316,17752.00000000001,0.0633605032707487
Billund,Other - Right,1665.9510413074415,17752.00000000001,0.093845822516192
Billund,V: Venstre,3758.0450963626977,17752.00000000001,0.21169699731651057
Billund,Æ: Danmarksdemokraterne,1486.2342062234172,17752.00000000001,0.08372207110316676
Bornholm,A: Socialdemokratiet,9197.093352840991,29052.000000000007,0.3165735010615789
Bornholm,Did not vote,1516.7835287408855,29052.000000000007,0.05220926369065417
Bornholm,F: SF - Socialistisk Folkeparti,2012.6193672300062,29052.000000000007,0.0692764479977284
Bornholm,I: Liberal Alliance,1991.7520166359384,29052.000000000007,0.06855817212708033
Bornholm,M: Moderaterne,2928.0132475129462,29052.000000000007,0.10078525566270637
Bornholm,Other,879.1958534110997,29052.000000000007,0.03026283400148353
Bornholm,Other - Left,1954.458853866759,29052.000000000007,0.06727450274909674
Bornholm,Other - Right,2818.255788617195,29052.000000000007,0.09700728998406974
Bornholm,V: Venstre,3854.5312329073067,29052.000000000007,0.13267696657398134
Bornholm,Æ: Danmarksdemokraterne,1899.2967582368758,29052.000000000007,0.06537576615162038
Brøndby,A: Socialdemokratiet,6279.000544100371,23485.00000000002,0.2673621692186658
Brøndby,Did not vote,1823.7971631950197,23485.00000000002,0.07765795883308572
Brøndby,F: SF - Socialistisk Folkeparti,2019.072319858257,23485.00000000002,0.0859728473433364
Brøndby,I: Liberal Alliance,2289.846850335807,23485.00000000002,0.09750252715928488
Brøndby,M: Moderaterne,2353.8729001518896,23485.00000000002,0.10022878007885407
Brøndby,Other,988.6289567176642,23485.00000000002,0.04209618721386687
Brøndby,Other - Left,2324.303911259624,23485.00000000002,0.09896972157801244
Brøndby,Other - Right,2436.953540584838,23485.00000000002,0.10376638452564768
Brøndby,V: Venstre,1542.9139214171348,23485.00000000002,0.06569784634520476
Brøndby,Æ: Danmarksdemokraterne,1426.6098923793938,23485.00000000002,0.06074557770404057
Brønderslev,A: Socialdemokratiet,8402.689111161624,26077.999999999985,0.32221370930138926
Brønderslev,Did not vote,1031.3223282676022,26077.999999999985,0.03954760059312842
Brønderslev,F: SF - Socialistisk Folkeparti,1875.7253886064675,26077.999999999985,0.0719275016721554
Brønderslev,I: Liberal Alliance,2348.9051705395477,26077.999999999985,0.090072289690143
Brønderslev,M: Moderaterne,2086.6701009829408,26077.999999999985,0.08001649286689708
Brønderslev,Other,483.60045746287307,26077.999999999985,0.018544384441401694
Brønderslev,Other - Left,1640.7025790032892,26077.999999999985,0.06291519974703927
Brønderslev,Other - Right,2580.068404728576,26077.999999999985,0.09893659041063645
Brønderslev,V: Venstre,2904.240615839015,26077.999999999985,0.11136745976834943
Brønderslev,Æ: Danmarksdemokraterne,2724.075843408071,26077.999999999985,0.10445877150886082
Copenhagen,A: Socialdemokratiet,54180.29181849733,427405.00000000023,0.12676569487604802
Copenhagen,Did not vote,17178.180266715106,427405.00000000023,0.040191809330061876
Copenhagen,F: SF - Socialistisk Folkeparti,50201.750121504134,427405.00000000023,0.11745709601315873
Copenhagen,I: Liberal Alliance,26223.34999195756,427405.00000000023,0.06135480397271334
Copenhagen,M: Moderaterne,41866.68628741337,427405.00000000023,0.09795553699047356
Copenhagen,Other,13580.862905391636,427405.00000000023,0.03177516151049152
Copenhagen,Other - Left,157270.1657063378,427405.00000000023,0.3679651985969694
Copenhagen,Other - Right,29957.599539312458,427405.00000000023,0.07009183219501981
Copenhagen,V: Venstre,25799.302295371723,427405.00000000023,0.06036265905960789
Copenhagen,Æ: Danmarksdemokraterne,11146.811067498995,427405.00000000023,0.026080207455455574
Dragør,A: Socialdemokratiet,2431.2829670894525,9995.999999999995,0.24322558694372287
Dragør,Did not vote,295.9139245283805,9995.999999999995,0.0296032337463366
Dragør,F: SF - Socialistisk Folkeparti,1017.3318260886879,9995.999999999995,0.10177389216573514
Dragør,I: Liberal Alliance,450.8018693679073,9995.999999999995,0.045098226227281664
Dragør,M: Moderaterne,1484.0624126554537,9995.999999999995,0.14846562751655207
Dragør,Other,234.97683418631334,9995.999999999995,0.023507086253132598
Dragør,Other - Left,998.6669407165248,9995.999999999995,0.09990665673434627
Dragør,Other - Right,1415.1166697342805,9995.999999999995,0.1415682942911446
Dragør,V: Venstre,1256.4534392049447,9995.999999999995,0.12569562216936228
Dragør,Æ: Danmarksdemokraterne,411.3931164280579,9995.999999999995,0.041155773952386766
Egedal,A: Socialdemokratiet,8181.838340111733,31325,0.26119196616477997
Egedal,Did not vote,907.885218484072,31325,0.028982768347456406
Egedal,F: SF - Socialistisk Folkeparti,2987.991889424551,31325,0.0953868121125156
Egedal,I: Liberal Alliance,1878.872561891561,31325,0.05997997005240418
Egedal,M: Moderaterne,3939.8921442097253,31325,0.1257746893602466
Egedal,Other,865.3232897502734,31325,0.02762404755786986
Egedal,Other - Left,3016.2262708283465,31325,0.09628814910864633
Egedal,Other - Right,3667.009338254195,31325,0.11706334679183383
Egedal,V: Venstre,4320.268554302525,31325,0.13791759151803754
Egedal,Æ: Danmarksdemokraterne,1559.6923927430037,31325,0.04979065898620921
Esbjerg,A: Socialdemokratiet,22777.616903260976,81833.00000000001,0.2783426845314356
Esbjerg,Did not vote,3951.2786439351185,81833.00000000001,0.0482846607595361
Esbjerg,F: SF - Socialistisk Folkeparti,6788.306200202957,81833.00000000001,0.08295316315182086
Esbjerg,I: Liberal Alliance,6153.128543816716,81833.00000000001,0.07519128644699223
Esbjerg,M: Moderaterne,7918.561817652547,81833.00000000001,0.0967648970177379
Esbjerg,Other,2094.163491387594,81833.00000000001,0.02559069680187203
Esbjerg,Other - Left,6430.929098399664,81833.00000000001,0.07858601173609257
