municipality,party,point_estimate,lower_quartile,median,upper_quartile,sd_draws,n_distinct_draws
Aabenraa,A: Socialdemokratiet,0.2695742674592745,0.24468571612690632,0.2594056139695329,0.2700679820107831,0.018174097837716917,250
Aabenraa,Other - Right,0.14077450004546693,0.11562728218202065,0.13071990676653467,0.144617107348674,0.01995124171379213,250
Aabenraa,V: Venstre,0.12246095783443006,0.13292895271009936,0.14407884097746904,0.15673836841293612,0.016928735394872364,250
Aabenraa,M: Moderaterne,0.10792602512171395,0.07393186118865862,0.08435982863818726,0.09600930715372023,0.016690940943441472,250
Aabenraa,Æ: Danmarksdemokraterne,0.08050346016195545,0.0842954613047853,0.09342200920214372,0.10236281783880316,0.014082010121939484,250
Aabenraa,F: SF - Socialistisk Folkeparti,0.07082388079632843,0.06049896783118126,0.06592951642309977,0.07242956178039298,0.00937433408942671,250
Aabenraa,I: Liberal Alliance,0.07034607937863649,0.06468283104866952,0.07215251429686864,0.08091736822218523,0.012570760819434423,250
Aabenraa,Other - Left,0.06933313739656849,0.06868895065690339,0.07358638521941457,0.0791777462954651,0.008014344257486233,250
Aabenraa,Did not vote,0.046462282566451525,0.04647204738000363,0.05004282499600669,0.052854938141777774,0.004649694698340051,250
Aabenraa,Other,0.021795409239174314,0.01892600359074884,0.020778819058388943,0.0234590837442461,0.003676152069819036,250
Aalborg,A: Socialdemokratiet,0.2564237788597896,0.22954545415529726,0.24155125524714682,0.25122348213116746,0.017743121058675596,250
Aalborg,M: Moderaterne,0.11771211663866551,0.08618914692720134,0.09734888190946034,0.1091505306408436,0.016352907062873644,250
Aalborg,Other - Left,0.11424129711290242,0.11052736997990671,0.1170373265016641,0.12573297265301608,0.012162675392686983,250
Aalborg,V: Venstre,0.1110602490716277,0.11785422138572457,0.1270418639444226,0.1373264654188335,0.01423289536968095,250
Aalborg,Other - Right,0.09550243529892984,0.0775133336583706,0.085563156673969007,0.0923536804233907,0.012113234976196754,250
Aalborg,I: Liberal Alliance,0.08794589364694776,0.08699429642273977,0.09400725452717942,0.10503591945457759,0.01351745683577533,250
Aalborg,F: SF - Socialistisk Folkeparti,0.08315014854306393,0.0848520216929668,0.09147740542497423,0.09854256263500581,0.010959741840059045,250
Aalborg,Æ: Danmarksdemokraterne,0.059714663660696374,0.06427486200196009,0.07041979951683076,0.07869567919109313,0.01060778196434052,250
Aalborg,Did not vote,0.04791309472583937,0.04091139733994859,0.042799014306290045,0.04553726656318169,0.003525305893276568,250
Aalborg,Other,0.02633632244153667,0.022537460666255456,0.026145965160791845,0.029744691221336193,0.005505938150959062,250
Aarhus,Other - Left,0.22855632367173648,0.20475277813542186,0.2198061150961523,0.232414214611242,0.018992625408579905,250
