party,expected_total_raked,share_raked
Centre Party (C),431174.96949504473,0.05455289359930316
Christian Democrats (KD),345283.05959180224,0.04368572237301432
Did not vote,1531530.0714762816,0.19377144533975307
Green Party (MP),327090.8383154593,0.04138401568353377
Left Party (V),428563.4826795318,0.05422248443258019
Moderate Party (M),1212708.2255316058,0.15343363477685765
Other party,104692.83284433406,0.013245891748899919
Social Democrats (S),1922679.7236232008,0.24326027670666886
Sweden Democrats (SD),1300615.9529144238,0.16455585020621719
The Liberals (L),299457.3435283157,0.03788778513317185
