party,point_estimate,lower_quartile,median,upper_quartile
A: Socialdemokratiet,0.24380190784688796,0.2231491254166248,0.2333762580007993,0.24233956136331272
Other - Left,0.1352457949221117,0.12817184504553858,0.13451083907601685,0.14196419377740183
M: Moderaterne,0.11771706341166709,0.09109947361316297,0.09725010535131914,0.10362546575187395
V: Venstre,0.10970385946008643,0.11932317938502031,0.124938915662549,0.1325400779222936
Other - Right,0.10215162663725498,0.09391196281499388,0.0996291412394393,0.10574519822222357
F: SF - Socialistisk Folkeparti,0.10014108788226593,0.0961749821272343,0.1018928043836391,0.10936738842204338
I: Liberal Alliance,0.0666700613347518,0.06691694683274549,0.07140811382946727,0.07619244780864445
Æ: Danmarksdemokraterne,0.05628450217919744,0.060999929796086594,0.06476439162636555,0.0690488980438332
Did not vote,0.042310745272081306,0.04085073001214094,0.042752497417831326,0.04474892364201603
Other,0.025973351053700654,0.024096513410119674,0.026565682008676247,0.02903936160108594
