draw,party,share
1,Did not vote,0.042990512614808615
1,A: Socialdemokratiet,0.24981778262386237
1,Other - Left,0.1489903001627897
1,V: Venstre,0.10280600298599796
1,F: SF - Socialistisk Folkeparti,0.09275907962254402
1,Other - Right,0.09688867818166048
1,M: Moderaterne,0.10036158613447291
1,I: Liberal Alliance,0.07628827284740629
1,Æ: Danmarksdemokraterne,0.05882332233908239
1,Other,0.03027446248738352
2,Did not vote,0.04169935626016259
2,A: Socialdemokratiet,0.23094526567440235
2,Other - Left,0.12863261506418447
2,V: Venstre,0.128438139121024
2,F: SF - Socialistisk Folkeparti,0.10176868267473291
2,Other - Right,0.10578860928337298
2,M: Moderaterne,0.09760444430629109
2,I: Liberal Alliance,0.07145093952966344
2,Æ: Danmarksdemokraterne,0.06365681723993595
2,Other,0.03001513084623894
3,Did not vote,0.039505067762742686
3,A: Socialdemokratiet,0.23308113830735916
3,Other - Left,0.13769007176893183
3,V: Venstre,0.11261808279571284
3,F: SF - Socialistisk Folkeparti,0.1050910264069105
3,Other - Right,0.10986714729746642
3,M: Moderaterne,0.10066589332472266
3,I: Liberal Alliance,0.0682291864960506
3,Æ: Danmarksdemokraterne,0.06263824110413636
3,Other,0.030614144735970097
4,Did not vote,0.045174756166479445
4,A: Socialdemokratiet,0.2317500043021746
4,Other - Left,0.14934066602658808
4,V: Venstre,0.12073628969596764
4,F: SF - Socialistisk Folkeparti,0.12171095338934874
4,Other - Right,0.08561834627977996
4,M: Moderaterne,0.0941287109748332
4,I: Liberal Alliance,0.06849518368246618
4,Æ: Danmarksdemokraterne,0.05828590283276365
4,Other,0.02475918664960441
5,Did not vote,0.04505596195980022
5,A: Socialdemokratiet,0.238785698219669
5,Other - Left,0.1337385163967741
5,V: Venstre,0.12705079574123293
5,F: SF - Socialistisk Folkeparti,0.09443766776573327
5,Other - Right,0.10265987593114122
5,M: Moderaterne,0.09715033274380828
5,I: Liberal Alliance,0.0669889718352045
5,Æ: Danmarksdemokraterne,0.06414982657958933
5,Other,0.029982352827055386
6,Did not vote,0.03986802483406971
6,A: Socialdemokratiet,0.209141973476243
6,Other - Left,0.14129912781979434
6,V: Venstre,0.13872400430538723
6,F: SF - Socialistisk Folkeparti,0.09934124243178911
6,Other - Right,0.10128694097010167
6,M: Moderaterne,0.09818913414037034
6,I: Liberal Alliance,0.08108470619289565
6,Æ: Danmarksdemokraterne,0.06750379328765832
6,Other,0.023561052541696235
7,Did not vote,0.03837999457184025
7,A: Socialdemokratiet,0.23777715996222795
7,Other - Left,0.1160287273254953
7,V: Venstre,0.1243682605839581
7,F: SF - Socialistisk Folkeparti,0.11168012409156385
7,Other - Right,0.1055168652402838
7,M: Moderaterne,0.10857845512004848
7,I: Liberal Alliance,0.06501404946432476
7,Æ: Danmarksdemokraterne,0.06370230753647162
7,Other,0.02895405610379311
8,Did not vote,0.04892438309682433
8,A: Socialdemokratiet,0.2424927066901673
8,Other - Left,0.13702911527132156
8,V: Venstre,0.12706140293190246
8,F: SF - Socialistisk Folkeparti,0.1058345899393012
8,Other - Right,0.1070222918394958
8,M: Moderaterne,0.08674102642862296
8,I: Liberal Alliance,0.06615943631180302
8,Æ: Danmarksdemokraterne,0.05675894741581459
8,Other,0.021976100074752782
9,Did not vote,0.044952458950228764
9,A: Socialdemokratiet,0.22921328628935972
9,Other - Left,0.1307966106462506
9,V: Venstre,0.119027184002567
9,F: SF - Socialistisk Folkeparti,0.11080397590672628
9,Other - Right,0.09596094379458264
9,M: Moderaterne,0.10113719080896584
9,I: Liberal Alliance,0.07457560290266615
9,Æ: Danmarksdemokraterne,0.06277755798481156
9,Other,0.030755188713847484
10,Did not vote,0.04096529851392261
10,A: Socialdemokratiet,0.2175141778778628
10,Other - Left,0.15127335385194973
10,V: Venstre,0.1256182661588047
10,F: SF - Socialistisk Folkeparti,0.10360513712058869
10,Other - Right,0.11323921043017923
10,M: Moderaterne,0.07845238350047234
10,I: Liberal Alliance,0.07622787630117231
10,Æ: Danmarksdemokraterne,0.06855073261919968
10,Other,0.024553563625852766
11,Did not vote,0.03759227807093106
11,A: Socialdemokratiet,0.21624712280783473
11,Other - Left,0.12655252844257428
11,V: Venstre,0.13092134396567215
11,F: SF - Socialistisk Folkeparti,0.10190331809173467
11,Other - Right,0.1099414869515211
11,M: Moderaterne,0.10032750452154528
11,I: Liberal Alliance,0.07638548628724319
11,Æ: Danmarksdemokraterne,0.06127091334575206
11,Other,0.03885801751519561
12,Did not vote,0.03696001378712625
12,A: Socialdemokratiet,0.23288238285104002
12,Other - Left,0.130547065043658
12,V: Venstre,0.12654851484916582
12,F: SF - Socialistisk Folkeparti,0.10259324421802468
12,Other - Right,0.1087694565176554
12,M: Moderaterne,0.08480135135691533
12,I: Liberal Alliance,0.08103783194495184
12,Æ: Danmarksdemokraterne,0.06945999265882154
12,Other,0.026400146772649045
13,Did not vote,0.044953036498063675
13,A: Socialdemokratiet,0.22234353542295146
13,Other - Left,0.1433838657626895
13,V: Venstre,0.12037738667330472
13,F: SF - Socialistisk Folkeparti,0.09303618283514314
13,Other - Right,0.10693009761380812
13,M: Moderaterne,0.09487653730591009
13,I: Liberal Alliance,0.0774401977827243
13,Æ: Danmarksdemokraterne,0.06599114709689156
13,Other,0.030668013008518742
14,Did not vote,0.051155436200639615
14,A: Socialdemokratiet,0.2073485723229355
14,Other - Left,0.14474921690745066
14,V: Venstre,0.12485157585834938
14,F: SF - Socialistisk Folkeparti,0.11152471398014942
14,Other - Right,0.10326503657628666
14,M: Moderaterne,0.09293472849579262
14,I: Liberal Alliance,0.06689293849859249
14,Æ: Danmarksdemokraterne,0.06848901238276403
14,Other,0.028788768777043713
15,Did not vote,0.04249209553490502
15,A: Socialdemokratiet,0.22106623791194632
15,Other - Left,0.1273890293355191
15,V: Venstre,0.14318461323976445
15,F: SF - Socialistisk Folkeparti,0.09365907769273207
15,Other - Right,0.12039163306308574
15,M: Moderaterne,0.09750387094517945
15,I: Liberal Alliance,0.06889369068049989
15,Æ: Danmarksdemokraterne,0.055814484357792626
15,Other,0.029605267238581423
16,Did not vote,0.039161444238305164
16,A: Socialdemokratiet,0.2456435745133252
16,Other - Left,0.12194320293592145
16,V: Venstre,0.14557035499832302
16,F: SF - Socialistisk Folkeparti,0.09001513679657704
16,Other - Right,0.09784559759565693
16,M: Moderaterne,0.10223115601591409
16,I: Liberal Alliance,0.07603721440990678
16,Æ: Danmarksdemokraterne,0.05155977358561906
16,Other,0.029992544910458656
17,Did not vote,0.03912382475697058
17,A: Socialdemokratiet,0.24086070082937072
17,Other - Left,0.13444935018258147
17,V: Venstre,0.12574795082194742
17,F: SF - Socialistisk Folkeparti,0.0970772101046795
17,Other - Right,0.1112029391160231
17,M: Moderaterne,0.1014378025472934
17,I: Liberal Alliance,0.06100990400340333
17,Æ: Danmarksdemokraterne,0.06599624895269066
17,Other,0.023094068685047004
18,Did not vote,0.03745478138099107
18,A: Socialdemokratiet,0.26164626431728366
18,Other - Left,0.12250630480823299
18,V: Venstre,0.10741331662502264
18,F: SF - Socialistisk Folkeparti,0.10645475878071044
18,Other - Right,0.11985299728430288
18,M: Moderaterne,0.09175581669358401
18,I: Liberal Alliance,0.05277975945754486
18,Æ: Danmarksdemokraterne,0.07423458430096481
18,Other,0.025901416351367165
19,Did not vote,0.04141384337451964
19,A: Socialdemokratiet,0.2362502194807401
19,Other - Left,0.14627294081982609
19,V: Venstre,0.12564561778301653
19,F: SF - Socialistisk Folkeparti,0.08677206631289179
19,Other - Right,0.0958928440198642
19,M: Moderaterne,0.09847087456295675
19,I: Liberal Alliance,0.08450818123207766
19,Æ: Danmarksdemokraterne,0.06250030353717904
19,Other,0.02227310887693382
20,Did not vote,0.044424388593626775
20,A: Socialdemokratiet,0.24317273232048386
20,Other - Left,0.13379703156114556
20,V: Venstre,0.112324490520021
20,F: SF - Socialistisk Folkeparti,0.10650299648525358
20,Other - Right,0.10084019568201323
20,M: Moderaterne,0.09566066195013742
20,I: Liberal Alliance,0.06541552660796303
20,Æ: Danmarksdemokraterne,0.07073819686792336
20,Other,0.027123779411436427
21,Did not vote,0.04149836662920161
21,A: Socialdemokratiet,0.2386822524214602
21,Other - Left,0.12486057186209797
21,V: Venstre,0.14690501284930724
21,F: SF - Socialistisk Folkeparti,0.09832128318426456
21,Other - Right,0.09292652340656611
21,M: Moderaterne,0.09952674701376706
21,I: Liberal Alliance,0.07355307184193889
21,Æ: Danmarksdemokraterne,0.060218012157347754
21,Other,0.023508158634055185
22,Did not vote,0.04120037104493234
22,A: Socialdemokratiet,0.21840672638138509
22,Other - Left,0.1260631133095646
22,V: Venstre,0.13199871902107174
22,F: SF - Socialistisk Folkeparti,0.1210143960485383
22,Other - Right,0.08957580487285954
22,M: Moderaterne,0.09105137495555884
22,I: Liberal Alliance,0.09235160623579072
22,Æ: Danmarksdemokraterne,0.06378536536447547
22,Other,0.024552522765829827
23,Did not vote,0.03730258590559369
