municipality,gender,age_group,N
's-Graveland,Mannen,15-19,0.0
's-Graveland,Mannen,20-24,0.0
's-Graveland,Mannen,25-29,0.0
's-Graveland,Mannen,30-34,0.0
's-Graveland,Mannen,35-39,0.0
's-Graveland,Mannen,40-44,0.0
's-Graveland,Mannen,45-49,0.0
's-Graveland,Mannen,50-54,0.0
's-Graveland,Mannen,55-59,0.0
's-Graveland,Mannen,60-64,0.0
's-Graveland,Mannen,65-69,0.0
's-Graveland,Mannen,70-74,0.0
's-Graveland,Mannen,75+,0.0
's-Graveland,Vrouwen,15-19,0.0
's-Graveland,Vrouwen,20-24,0.0
's-Graveland,Vrouwen,25-29,0.0
's-Graveland,Vrouwen,30-34,0.0
's-Graveland,Vrouwen,35-39,0.0
's-Graveland,Vrouwen,40-44,0.0
's-Graveland,Vrouwen,45-49,0.0
's-Graveland,Vrouwen,50-54,0.0
's-Graveland,Vrouwen,55-59,0.0
's-Graveland,Vrouwen,60-64,0.0
's-Graveland,Vrouwen,65-69,0.0
's-Graveland,Vrouwen,70-74,0.0
's-Graveland,Vrouwen,75+,0.0
's-Gravendeel,Mannen,15-19,0.0
's-Gravendeel,Mannen,20-24,0.0
's-Gravendeel,Mannen,25-29,0.0
's-Gravendeel,Mannen,30-34,0.0
's-Gravendeel,Mannen,35-39,0.0
's-Gravendeel,Mannen,40-44,0.0
's-Gravendeel,Mannen,45-49,0.0
's-Gravendeel,Mannen,50-54,0.0
's-Gravendeel,Mannen,55-59,0.0
's-Gravendeel,Mannen,60-64,0.0
's-Gravendeel,Mannen,65-69,0.0
's-Gravendeel,Mannen,70-74,0.0
's-Gravendeel,Mannen,75+,0.0
's-Gravendeel,Vrouwen,15-19,0.0
's-Gravendeel,Vrouwen,20-24,0.0
's-Gravendeel,Vrouwen,25-29,0.0
's-Gravendeel,Vrouwen,30-34,0.0
's-Gravendeel,Vrouwen,35-39,0.0
's-Gravendeel,Vrouwen,40-44,0.0
's-Gravendeel,Vrouwen,45-49,0.0
's-Gravendeel,Vrouwen,50-54,0.0
's-Gravendeel,Vrouwen,55-59,0.0
's-Gravendeel,Vrouwen,60-64,0.0
's-Gravendeel,Vrouwen,65-69,0.0
's-Gravendeel,Vrouwen,70-74,0.0
's-Gravendeel,Vrouwen,75+,0.0
's-Gravenhage (gemeente),Mannen,15-19,16521.0
's-Gravenhage (gemeente),Mannen,20-24,19802.0
's-Gravenhage (gemeente),Mannen,25-29,22209.0
's-Gravenhage (gemeente),Mannen,30-34,22465.0
's-Gravenhage (gemeente),Mannen,35-39,21256.0
's-Gravenhage (gemeente),Mannen,40-44,20560.0
's-Gravenhage (gemeente),Mannen,45-49,19251.0
