municipality,gender,age_group,education,N
's-Gravenhage (gemeente),Mannen,15 tot 25 jaar,Basisonderwijs,5490
's-Gravenhage (gemeente),Mannen,15 tot 25 jaar,"Havo, vwo, mbo2-4",14677
's-Gravenhage (gemeente),Mannen,15 tot 25 jaar,"Hbo-, wo-bachelor",3221
's-Gravenhage (gemeente),Mannen,15 tot 25 jaar,"Hbo-, wo-master, doctor",512
's-Gravenhage (gemeente),Mannen,15 tot 25 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",12700
's-Gravenhage (gemeente),Mannen,25 tot 35 jaar,Basisonderwijs,3174
's-Gravenhage (gemeente),Mannen,25 tot 35 jaar,"Havo, vwo, mbo2-4",15913
's-Gravenhage (gemeente),Mannen,25 tot 35 jaar,"Hbo-, wo-bachelor",9387
's-Gravenhage (gemeente),Mannen,25 tot 35 jaar,"Hbo-, wo-master, doctor",10460
's-Gravenhage (gemeente),Mannen,25 tot 35 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",5722
's-Gravenhage (gemeente),Mannen,35 tot 45 jaar,Basisonderwijs,4891
's-Gravenhage (gemeente),Mannen,35 tot 45 jaar,"Havo, vwo, mbo2-4",12749
's-Gravenhage (gemeente),Mannen,35 tot 45 jaar,"Hbo-, wo-bachelor",8611
's-Gravenhage (gemeente),Mannen,35 tot 45 jaar,"Hbo-, wo-master, doctor",9530
's-Gravenhage (gemeente),Mannen,35 tot 45 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",5977
's-Gravenhage (gemeente),Mannen,45 tot 55 jaar,Basisonderwijs,5451
's-Gravenhage (gemeente),Mannen,45 tot 55 jaar,"Havo, vwo, mbo2-4",11850
's-Gravenhage (gemeente),Mannen,45 tot 55 jaar,"Hbo-, wo-bachelor",7189
's-Gravenhage (gemeente),Mannen,45 tot 55 jaar,"Hbo-, wo-master, doctor",9204
's-Gravenhage (gemeente),Mannen,45 tot 55 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",5806
's-Gravenhage (gemeente),Mannen,55 tot 65 jaar,Basisonderwijs,6213
's-Gravenhage (gemeente),Mannen,55 tot 65 jaar,"Havo, vwo, mbo2-4",11267
's-Gravenhage (gemeente),Mannen,55 tot 65 jaar,"Hbo-, wo-bachelor",6037
's-Gravenhage (gemeente),Mannen,55 tot 65 jaar,"Hbo-, wo-master, doctor",6564
's-Gravenhage (gemeente),Mannen,55 tot 65 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",5054
's-Gravenhage (gemeente),Mannen,65 tot 75 jaar,Basisonderwijs,3782
's-Gravenhage (gemeente),Mannen,65 tot 75 jaar,"Havo, vwo, mbo2-4",7285
's-Gravenhage (gemeente),Mannen,65 tot 75 jaar,"Hbo-, wo-bachelor",4315
's-Gravenhage (gemeente),Mannen,65 tot 75 jaar,"Hbo-, wo-master, doctor",3898
's-Gravenhage (gemeente),Mannen,65 tot 75 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",3921
's-Gravenhage (gemeente),Vrouwen,15 tot 25 jaar,Basisonderwijs,4269
's-Gravenhage (gemeente),Vrouwen,15 tot 25 jaar,"Havo, vwo, mbo2-4",16965
's-Gravenhage (gemeente),Vrouwen,15 tot 25 jaar,"Hbo-, wo-bachelor",4379
's-Gravenhage (gemeente),Vrouwen,15 tot 25 jaar,"Hbo-, wo-master, doctor",699
's-Gravenhage (gemeente),Vrouwen,15 tot 25 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",10488
's-Gravenhage (gemeente),Vrouwen,25 tot 35 jaar,Basisonderwijs,2646
's-Gravenhage (gemeente),Vrouwen,25 tot 35 jaar,"Havo, vwo, mbo2-4",14112
's-Gravenhage (gemeente),Vrouwen,25 tot 35 jaar,"Hbo-, wo-bachelor",12392
's-Gravenhage (gemeente),Vrouwen,25 tot 35 jaar,"Hbo-, wo-master, doctor",11510
's-Gravenhage (gemeente),Vrouwen,25 tot 35 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",3440
's-Gravenhage (gemeente),Vrouwen,35 tot 45 jaar,Basisonderwijs,4968
's-Gravenhage (gemeente),Vrouwen,35 tot 45 jaar,"Havo, vwo, mbo2-4",11178
's-Gravenhage (gemeente),Vrouwen,35 tot 45 jaar,"Hbo-, wo-bachelor",10557
's-Gravenhage (gemeente),Vrouwen,35 tot 45 jaar,"Hbo-, wo-master, doctor",10433
's-Gravenhage (gemeente),Vrouwen,35 tot 45 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",4223
's-Gravenhage (gemeente),Vrouwen,45 tot 55 jaar,Basisonderwijs,6518
's-Gravenhage (gemeente),Vrouwen,45 tot 55 jaar,"Havo, vwo, mbo2-4",10631
's-Gravenhage (gemeente),Vrouwen,45 tot 55 jaar,"Hbo-, wo-bachelor",7915
's-Gravenhage (gemeente),Vrouwen,45 tot 55 jaar,"Hbo-, wo-master, doctor",9312
's-Gravenhage (gemeente),Vrouwen,45 tot 55 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",4423
's-Gravenhage (gemeente),Vrouwen,55 tot 65 jaar,Basisonderwijs,6504
's-Gravenhage (gemeente),Vrouwen,55 tot 65 jaar,"Havo, vwo, mbo2-4",10784
's-Gravenhage (gemeente),Vrouwen,55 tot 65 jaar,"Hbo-, wo-bachelor",5898
's-Gravenhage (gemeente),Vrouwen,55 tot 65 jaar,"Hbo-, wo-master, doctor",5662
's-Gravenhage (gemeente),Vrouwen,55 tot 65 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",4853
's-Gravenhage (gemeente),Vrouwen,65 tot 75 jaar,Basisonderwijs,5080
's-Gravenhage (gemeente),Vrouwen,65 tot 75 jaar,"Havo, vwo, mbo2-4",8217
's-Gravenhage (gemeente),Vrouwen,65 tot 75 jaar,"Hbo-, wo-bachelor",4333
's-Gravenhage (gemeente),Vrouwen,65 tot 75 jaar,"Hbo-, wo-master, doctor",2864
's-Gravenhage (gemeente),Vrouwen,65 tot 75 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",4407
's-Hertogenbosch,Mannen,15 tot 25 jaar,Basisonderwijs,1279
's-Hertogenbosch,Mannen,15 tot 25 jaar,"Havo, vwo, mbo2-4",3846
's-Hertogenbosch,Mannen,15 tot 25 jaar,"Hbo-, wo-bachelor",662
's-Hertogenbosch,Mannen,15 tot 25 jaar,"Hbo-, wo-master, doctor",120
's-Hertogenbosch,Mannen,15 tot 25 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",3294
's-Hertogenbosch,Mannen,25 tot 35 jaar,Basisonderwijs,559
's-Hertogenbosch,Mannen,25 tot 35 jaar,"Havo, vwo, mbo2-4",4547
's-Hertogenbosch,Mannen,25 tot 35 jaar,"Hbo-, wo-bachelor",3734
's-Hertogenbosch,Mannen,25 tot 35 jaar,"Hbo-, wo-master, doctor",2756
's-Hertogenbosch,Mannen,25 tot 35 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",1092
's-Hertogenbosch,Mannen,35 tot 45 jaar,Basisonderwijs,572
's-Hertogenbosch,Mannen,35 tot 45 jaar,"Havo, vwo, mbo2-4",3640
's-Hertogenbosch,Mannen,35 tot 45 jaar,"Hbo-, wo-bachelor",2766
's-Hertogenbosch,Mannen,35 tot 45 jaar,"Hbo-, wo-master, doctor",2246
's-Hertogenbosch,Mannen,35 tot 45 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",1175
's-Hertogenbosch,Mannen,45 tot 55 jaar,Basisonderwijs,747
's-Hertogenbosch,Mannen,45 tot 55 jaar,"Havo, vwo, mbo2-4",3586
's-Hertogenbosch,Mannen,45 tot 55 jaar,"Hbo-, wo-bachelor",2474
's-Hertogenbosch,Mannen,45 tot 55 jaar,"Hbo-, wo-master, doctor",1959
's-Hertogenbosch,Mannen,45 tot 55 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",1343
's-Hertogenbosch,Mannen,55 tot 65 jaar,Basisonderwijs,1057
's-Hertogenbosch,Mannen,55 tot 65 jaar,"Havo, vwo, mbo2-4",4033
's-Hertogenbosch,Mannen,55 tot 65 jaar,"Hbo-, wo-bachelor",2398
's-Hertogenbosch,Mannen,55 tot 65 jaar,"Hbo-, wo-master, doctor",1820
's-Hertogenbosch,Mannen,55 tot 65 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",1591
's-Hertogenbosch,Mannen,65 tot 75 jaar,Basisonderwijs,901
's-Hertogenbosch,Mannen,65 tot 75 jaar,"Havo, vwo, mbo2-4",2975
's-Hertogenbosch,Mannen,65 tot 75 jaar,"Hbo-, wo-bachelor",1955
's-Hertogenbosch,Mannen,65 tot 75 jaar,"Hbo-, wo-master, doctor",1207
's-Hertogenbosch,Mannen,65 tot 75 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",1462
's-Hertogenbosch,Vrouwen,15 tot 25 jaar,Basisonderwijs,992
's-Hertogenbosch,Vrouwen,15 tot 25 jaar,"Havo, vwo, mbo2-4",4004
's-Hertogenbosch,Vrouwen,15 tot 25 jaar,"Hbo-, wo-bachelor",1046
's-Hertogenbosch,Vrouwen,15 tot 25 jaar,"Hbo-, wo-master, doctor",209
's-Hertogenbosch,Vrouwen,15 tot 25 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",2848
's-Hertogenbosch,Vrouwen,25 tot 35 jaar,Basisonderwijs,308
's-Hertogenbosch,Vrouwen,25 tot 35 jaar,"Havo, vwo, mbo2-4",3407
's-Hertogenbosch,Vrouwen,25 tot 35 jaar,"Hbo-, wo-bachelor",4490
's-Hertogenbosch,Vrouwen,25 tot 35 jaar,"Hbo-, wo-master, doctor",3469
's-Hertogenbosch,Vrouwen,25 tot 35 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",627
's-Hertogenbosch,Vrouwen,35 tot 45 jaar,Basisonderwijs,680
's-Hertogenbosch,Vrouwen,35 tot 45 jaar,"Havo, vwo, mbo2-4",2884
's-Hertogenbosch,Vrouwen,35 tot 45 jaar,"Hbo-, wo-bachelor",2832
's-Hertogenbosch,Vrouwen,35 tot 45 jaar,"Hbo-, wo-master, doctor",2997
's-Hertogenbosch,Vrouwen,35 tot 45 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",906
's-Hertogenbosch,Vrouwen,45 tot 55 jaar,Basisonderwijs,898
's-Hertogenbosch,Vrouwen,45 tot 55 jaar,"Havo, vwo, mbo2-4",3233
's-Hertogenbosch,Vrouwen,45 tot 55 jaar,"Hbo-, wo-bachelor",2887
's-Hertogenbosch,Vrouwen,45 tot 55 jaar,"Hbo-, wo-master, doctor",2081
's-Hertogenbosch,Vrouwen,45 tot 55 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",1102
's-Hertogenbosch,Vrouwen,55 tot 65 jaar,Basisonderwijs,1321
's-Hertogenbosch,Vrouwen,55 tot 65 jaar,"Havo, vwo, mbo2-4",4151
's-Hertogenbosch,Vrouwen,55 tot 65 jaar,"Hbo-, wo-bachelor",2231
's-Hertogenbosch,Vrouwen,55 tot 65 jaar,"Hbo-, wo-master, doctor",1254
's-Hertogenbosch,Vrouwen,55 tot 65 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",2142
's-Hertogenbosch,Vrouwen,65 tot 75 jaar,Basisonderwijs,1314
's-Hertogenbosch,Vrouwen,65 tot 75 jaar,"Havo, vwo, mbo2-4",3051
's-Hertogenbosch,Vrouwen,65 tot 75 jaar,"Hbo-, wo-bachelor",1782
's-Hertogenbosch,Vrouwen,65 tot 75 jaar,"Hbo-, wo-master, doctor",738
's-Hertogenbosch,Vrouwen,65 tot 75 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",2124
Aa en Hunze,Mannen,15 tot 25 jaar,Basisonderwijs,480
Aa en Hunze,Mannen,15 tot 25 jaar,"Havo, vwo, mbo2-4",465
Aa en Hunze,Mannen,15 tot 25 jaar,"Hbo-, wo-bachelor",52
Aa en Hunze,Mannen,15 tot 25 jaar,"Hbo-, wo-master, doctor",4
Aa en Hunze,Mannen,15 tot 25 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",399
Aa en Hunze,Mannen,25 tot 35 jaar,Basisonderwijs,69
Aa en Hunze,Mannen,25 tot 35 jaar,"Havo, vwo, mbo2-4",610
Aa en Hunze,Mannen,25 tot 35 jaar,"Hbo-, wo-bachelor",251
Aa en Hunze,Mannen,25 tot 35 jaar,"Hbo-, wo-master, doctor",86
Aa en Hunze,Mannen,25 tot 35 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",84
Aa en Hunze,Mannen,35 tot 45 jaar,Basisonderwijs,29
Aa en Hunze,Mannen,35 tot 45 jaar,"Havo, vwo, mbo2-4",628
