region,gender,age_group,education,N
Achterhoek (CR),Mannen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",11784
Achterhoek (CR),Mannen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",10392
Achterhoek (CR),Mannen,15 tot 25 jaar,"3 Hbo, wo",1824
Achterhoek (CR),Mannen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",3472
Achterhoek (CR),Mannen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",11696
Achterhoek (CR),Mannen,25 tot 35 jaar,"3 Hbo, wo",6532
Achterhoek (CR),Mannen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",3843
Achterhoek (CR),Mannen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",10458
Achterhoek (CR),Mannen,35 tot 45 jaar,"3 Hbo, wo",6699
Achterhoek (CR),Mannen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",5035
Achterhoek (CR),Mannen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",12169
Achterhoek (CR),Mannen,45 tot 55 jaar,"3 Hbo, wo",8096
Achterhoek (CR),Mannen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",7935
Achterhoek (CR),Mannen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",16036
Achterhoek (CR),Mannen,55 tot 65 jaar,"3 Hbo, wo",9196
Achterhoek (CR),Mannen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",7784
Achterhoek (CR),Mannen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",11928
Achterhoek (CR),Mannen,65 tot 75 jaar,"3 Hbo, wo",8316
Achterhoek (CR),Vrouwen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",9780
Achterhoek (CR),Vrouwen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",9352
Achterhoek (CR),Vrouwen,15 tot 25 jaar,"3 Hbo, wo",2268
Achterhoek (CR),Vrouwen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",3457
Achterhoek (CR),Vrouwen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",8623
