municipality,gender,age_group,education,N
Aa en Hunze,Mannen,15 tot 75 jaar,low,2384.0
Aalburg,Mannen,15 tot 75 jaar,low,
Aalsmeer,Mannen,15 tot 75 jaar,low,3518.0
Aalten,Mannen,15 tot 75 jaar,low,2915.0
Achtkarspelen,Mannen,15 tot 75 jaar,low,3672.0
Alblasserdam,Mannen,15 tot 75 jaar,low,2173.0
Albrandswaard,Mannen,15 tot 75 jaar,low,2188.0
Alkmaar,Mannen,15 tot 75 jaar,low,10642.0
Almelo,Mannen,15 tot 75 jaar,low,9123.0
Almere,Mannen,15 tot 75 jaar,low,23544.0
Alphen aan den Rijn,Mannen,15 tot 75 jaar,low,11128.0
Alphen-Chaam,Mannen,15 tot 75 jaar,low,792.0
Altena,Mannen,15 tot 75 jaar,low,6758.0
Ameland,Mannen,15 tot 75 jaar,low,346.0
Amersfoort,Mannen,15 tot 75 jaar,low,14253.0
Amstelveen,Mannen,15 tot 75 jaar,low,7877.0
Amsterdam,Mannen,15 tot 75 jaar,low,84953.0
Apeldoorn,Mannen,15 tot 75 jaar,low,17380.0
Appingedam,Mannen,15 tot 75 jaar,low,
Arnhem,Mannen,15 tot 75 jaar,low,18464.0
Assen,Mannen,15 tot 75 jaar,low,6678.0
Asten,Mannen,15 tot 75 jaar,low,2112.0
Baarle-Nassau,Mannen,15 tot 75 jaar,low,684.0
Baarn,Mannen,15 tot 75 jaar,low,2661.0
Barendrecht,Mannen,15 tot 75 jaar,low,4165.0
Barneveld,Mannen,15 tot 75 jaar,low,6542.0
Bedum,Mannen,15 tot 75 jaar,low,
Beek (L.),Mannen,15 tot 75 jaar,low,1499.0
Beekdaelen,Mannen,15 tot 75 jaar,low,3352.0
Beemster,Mannen,15 tot 75 jaar,low,
Beesel,Mannen,15 tot 75 jaar,low,1826.0
Bellingwedde,Mannen,15 tot 75 jaar,low,
Berg en Dal,Mannen,15 tot 75 jaar,low,3472.0
Bergambacht,Mannen,15 tot 75 jaar,low,
Bergeijk,Mannen,15 tot 75 jaar,low,1785.0
Bergen (L.),Mannen,15 tot 75 jaar,low,1443.0
Bergen (NH.),Mannen,15 tot 75 jaar,low,2244.0
Bergen op Zoom,Mannen,15 tot 75 jaar,low,7856.0
Berkelland,Mannen,15 tot 75 jaar,low,4174.0
Bernheze,Mannen,15 tot 75 jaar,low,3336.0
Bernisse,Mannen,15 tot 75 jaar,low,
Best,Mannen,15 tot 75 jaar,low,2484.0
Beuningen,Mannen,15 tot 75 jaar,low,2404.0
Beverwijk,Mannen,15 tot 75 jaar,low,4554.0
het Bildt,Mannen,15 tot 75 jaar,low,
De Bilt,Mannen,15 tot 75 jaar,low,3105.0
Binnenmaas,Mannen,15 tot 75 jaar,low,
Bladel,Mannen,15 tot 75 jaar,low,2000.0
Blaricum,Mannen,15 tot 75 jaar,low,853.0
Bloemendaal,Mannen,15 tot 75 jaar,low,1373.0
Boarnsterhim,Mannen,15 tot 75 jaar,low,
Bodegraven-Reeuwijk,Mannen,15 tot 75 jaar,low,3496.0
Boekel,Mannen,15 tot 75 jaar,low,1390.0
Ten Boer,Mannen,15 tot 75 jaar,low,
Borger-Odoorn,Mannen,15 tot 75 jaar,low,2764.0
Borne,Mannen,15 tot 75 jaar,low,1753.0
Borsele,Mannen,15 tot 75 jaar,low,2103.0
Boskoop,Mannen,15 tot 75 jaar,low,
Boxmeer,Mannen,15 tot 75 jaar,low,
Boxtel,Mannen,15 tot 75 jaar,low,3664.0
Breda,Mannen,15 tot 75 jaar,low,15779.0
Brielle,Mannen,15 tot 75 jaar,low,
Bronckhorst,Mannen,15 tot 75 jaar,low,3182.0
Brummen,Mannen,15 tot 75 jaar,low,2007.0
Brunssum,Mannen,15 tot 75 jaar,low,3317.0
Bunnik,Mannen,15 tot 75 jaar,low,980.0
Bunschoten,Mannen,15 tot 75 jaar,low,2839.0
Buren,Mannen,15 tot 75 jaar,low,3381.0
Bussum,Mannen,15 tot 75 jaar,low,
Capelle aan den IJssel,Mannen,15 tot 75 jaar,low,6371.0
Castricum,Mannen,15 tot 75 jaar,low,2424.0
Coevorden,Mannen,15 tot 75 jaar,low,3388.0
Cranendonck,Mannen,15 tot 75 jaar,low,2608.0
Cromstrijen,Mannen,15 tot 75 jaar,low,
Cuijk,Mannen,15 tot 75 jaar,low,
Culemborg,Mannen,15 tot 75 jaar,low,2675.0
Dalfsen,Mannen,15 tot 75 jaar,low,2720.0
Dantumadiel,Mannen,15 tot 75 jaar,low,2166.0
Delft,Mannen,15 tot 75 jaar,low,7791.0
Delfzijl,Mannen,15 tot 75 jaar,low,
Deurne,Mannen,15 tot 75 jaar,low,3683.0
Deventer,Mannen,15 tot 75 jaar,low,9900.0
Diemen,Mannen,15 tot 75 jaar,low,2155.0
Dijk en Waard,Mannen,15 tot 75 jaar,low,9173.0
Dinkelland,Mannen,15 tot 75 jaar,low,2184.0
Doesburg,Mannen,15 tot 75 jaar,low,1234.0
Doetinchem,Mannen,15 tot 75 jaar,low,5740.0
Dongen,Mannen,15 tot 75 jaar,low,2678.0
Dongeradeel,Mannen,15 tot 75 jaar,low,
Dordrecht,Mannen,15 tot 75 jaar,low,13299.0
Drechterland,Mannen,15 tot 75 jaar,low,2204.0
Drimmelen,Mannen,15 tot 75 jaar,low,3116.0
Dronten,Mannen,15 tot 75 jaar,low,4386.0
Druten,Mannen,15 tot 75 jaar,low,2394.0
Duiven,Mannen,15 tot 75 jaar,low,2290.0
Echt-Susteren,Mannen,15 tot 75 jaar,low,3346.0
Edam-Volendam,Mannen,15 tot 75 jaar,low,4228.0
Ede,Mannen,15 tot 75 jaar,low,11993.0
Eemnes,Mannen,15 tot 75 jaar,low,770.0
Eemsdelta,Mannen,15 tot 75 jaar,low,4553.0
Eemsmond,Mannen,15 tot 75 jaar,low,
Eersel,Mannen,15 tot 75 jaar,low,1879.0
Eijsden-Margraten,Mannen,15 tot 75 jaar,low,1805.0
Eindhoven,Mannen,15 tot 75 jaar,low,23851.0
Elburg,Mannen,15 tot 75 jaar,low,2366.0
Emmen,Mannen,15 tot 75 jaar,low,13104.0
Enkhuizen,Mannen,15 tot 75 jaar,low,2208.0
Enschede,Mannen,15 tot 75 jaar,low,16870.0
Epe,Mannen,15 tot 75 jaar,low,3461.0
Ermelo,Mannen,15 tot 75 jaar,low,2946.0
Etten-Leur,Mannen,15 tot 75 jaar,low,4416.0
Ferwerderadiel,Mannen,15 tot 75 jaar,low,
Franekeradeel,Mannen,15 tot 75 jaar,low,
De Friese Meren,Mannen,15 tot 75 jaar,low,
De Fryske Marren,Mannen,15 tot 75 jaar,low,5025.0
Gaasterlân-Sleat,Mannen,15 tot 75 jaar,low,
Geertruidenberg,Mannen,15 tot 75 jaar,low,2411.0
Geldermalsen,Mannen,15 tot 75 jaar,low,
Geldrop-Mierlo,Mannen,15 tot 75 jaar,low,3881.0
Gemert-Bakel,Mannen,15 tot 75 jaar,low,3618.0
Gennep,Mannen,15 tot 75 jaar,low,1822.0
Giessenlanden,Mannen,15 tot 75 jaar,low,
Gilze en Rijen,Mannen,15 tot 75 jaar,low,2732.0
Goeree-Overflakkee,Mannen,15 tot 75 jaar,low,5453.0
Goes,Mannen,15 tot 75 jaar,low,4514.0
Goirle,Mannen,15 tot 75 jaar,low,2367.0
Gooise Meren,Mannen,15 tot 75 jaar,low,4389.0
Gorinchem,Mannen,15 tot 75 jaar,low,4016.0
Gouda,Mannen,15 tot 75 jaar,low,7191.0
Graft-De Rijp,Mannen,15 tot 75 jaar,low,
