gm_code,municipality,gender,age_group,education,N
GM0518    ,'s-Gravenhage (gemeente),Mannen,15 tot 25 jaar,Basisonderwijs,5490.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,15 tot 25 jaar,"Havo, vwo, mbo2-4",14677.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,15 tot 25 jaar,"Hbo-, wo-bachelor",3221.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,15 tot 25 jaar,"Hbo-, wo-master, doctor",512.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,15 tot 25 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",12700.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,25 tot 35 jaar,Basisonderwijs,3174.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,25 tot 35 jaar,"Havo, vwo, mbo2-4",15913.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,25 tot 35 jaar,"Hbo-, wo-bachelor",9387.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,25 tot 35 jaar,"Hbo-, wo-master, doctor",10460.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,25 tot 35 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",5722.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,35 tot 45 jaar,Basisonderwijs,4891.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,35 tot 45 jaar,"Havo, vwo, mbo2-4",12749.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,35 tot 45 jaar,"Hbo-, wo-bachelor",8611.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,35 tot 45 jaar,"Hbo-, wo-master, doctor",9530.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,35 tot 45 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",5977.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,45 tot 55 jaar,Basisonderwijs,5451.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,45 tot 55 jaar,"Havo, vwo, mbo2-4",11850.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,45 tot 55 jaar,"Hbo-, wo-bachelor",7189.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,45 tot 55 jaar,"Hbo-, wo-master, doctor",9204.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,45 tot 55 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",5806.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,55 tot 65 jaar,Basisonderwijs,6213.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,55 tot 65 jaar,"Havo, vwo, mbo2-4",11267.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,55 tot 65 jaar,"Hbo-, wo-bachelor",6037.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,55 tot 65 jaar,"Hbo-, wo-master, doctor",6564.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,55 tot 65 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",5054.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,65 tot 75 jaar,Basisonderwijs,3782.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,65 tot 75 jaar,"Havo, vwo, mbo2-4",7285.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,65 tot 75 jaar,"Hbo-, wo-bachelor",4315.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,65 tot 75 jaar,"Hbo-, wo-master, doctor",3898.0
GM0518    ,'s-Gravenhage (gemeente),Mannen,65 tot 75 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",3921.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,15 tot 25 jaar,Basisonderwijs,4269.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,15 tot 25 jaar,"Havo, vwo, mbo2-4",16965.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,15 tot 25 jaar,"Hbo-, wo-bachelor",4379.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,15 tot 25 jaar,"Hbo-, wo-master, doctor",699.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,15 tot 25 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",10488.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,25 tot 35 jaar,Basisonderwijs,2646.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,25 tot 35 jaar,"Havo, vwo, mbo2-4",14112.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,25 tot 35 jaar,"Hbo-, wo-bachelor",12392.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,25 tot 35 jaar,"Hbo-, wo-master, doctor",11510.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,25 tot 35 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",3440.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,35 tot 45 jaar,Basisonderwijs,4968.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,35 tot 45 jaar,"Havo, vwo, mbo2-4",11178.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,35 tot 45 jaar,"Hbo-, wo-bachelor",10557.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,35 tot 45 jaar,"Hbo-, wo-master, doctor",10433.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,35 tot 45 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",4223.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,45 tot 55 jaar,Basisonderwijs,6518.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,45 tot 55 jaar,"Havo, vwo, mbo2-4",10631.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,45 tot 55 jaar,"Hbo-, wo-bachelor",7915.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,45 tot 55 jaar,"Hbo-, wo-master, doctor",9312.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,45 tot 55 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",4423.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,55 tot 65 jaar,Basisonderwijs,6504.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,55 tot 65 jaar,"Havo, vwo, mbo2-4",10784.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,55 tot 65 jaar,"Hbo-, wo-bachelor",5898.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,55 tot 65 jaar,"Hbo-, wo-master, doctor",5662.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,55 tot 65 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",4853.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,65 tot 75 jaar,Basisonderwijs,5080.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,65 tot 75 jaar,"Havo, vwo, mbo2-4",8217.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,65 tot 75 jaar,"Hbo-, wo-bachelor",4333.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,65 tot 75 jaar,"Hbo-, wo-master, doctor",2864.0
GM0518    ,'s-Gravenhage (gemeente),Vrouwen,65 tot 75 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",4407.0
GM0796    ,'s-Hertogenbosch,Mannen,15 tot 25 jaar,Basisonderwijs,1279.0
GM0796    ,'s-Hertogenbosch,Mannen,15 tot 25 jaar,"Havo, vwo, mbo2-4",3846.0
GM0796    ,'s-Hertogenbosch,Mannen,15 tot 25 jaar,"Hbo-, wo-bachelor",662.0
GM0796    ,'s-Hertogenbosch,Mannen,15 tot 25 jaar,"Hbo-, wo-master, doctor",120.0
GM0796    ,'s-Hertogenbosch,Mannen,15 tot 25 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",3294.0
GM0796    ,'s-Hertogenbosch,Mannen,25 tot 35 jaar,Basisonderwijs,559.0
GM0796    ,'s-Hertogenbosch,Mannen,25 tot 35 jaar,"Havo, vwo, mbo2-4",4547.0
GM0796    ,'s-Hertogenbosch,Mannen,25 tot 35 jaar,"Hbo-, wo-bachelor",3734.0
GM0796    ,'s-Hertogenbosch,Mannen,25 tot 35 jaar,"Hbo-, wo-master, doctor",2756.0
GM0796    ,'s-Hertogenbosch,Mannen,25 tot 35 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",1092.0
GM0796    ,'s-Hertogenbosch,Mannen,35 tot 45 jaar,Basisonderwijs,572.0
GM0796    ,'s-Hertogenbosch,Mannen,35 tot 45 jaar,"Havo, vwo, mbo2-4",3640.0
GM0796    ,'s-Hertogenbosch,Mannen,35 tot 45 jaar,"Hbo-, wo-bachelor",2766.0
GM0796    ,'s-Hertogenbosch,Mannen,35 tot 45 jaar,"Hbo-, wo-master, doctor",2246.0
GM0796    ,'s-Hertogenbosch,Mannen,35 tot 45 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",1175.0
GM0796    ,'s-Hertogenbosch,Mannen,45 tot 55 jaar,Basisonderwijs,747.0
GM0796    ,'s-Hertogenbosch,Mannen,45 tot 55 jaar,"Havo, vwo, mbo2-4",3586.0
GM0796    ,'s-Hertogenbosch,Mannen,45 tot 55 jaar,"Hbo-, wo-bachelor",2474.0
GM0796    ,'s-Hertogenbosch,Mannen,45 tot 55 jaar,"Hbo-, wo-master, doctor",1959.0
GM0796    ,'s-Hertogenbosch,Mannen,45 tot 55 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",1343.0
GM0796    ,'s-Hertogenbosch,Mannen,55 tot 65 jaar,Basisonderwijs,1057.0
GM0796    ,'s-Hertogenbosch,Mannen,55 tot 65 jaar,"Havo, vwo, mbo2-4",4033.0
GM0796    ,'s-Hertogenbosch,Mannen,55 tot 65 jaar,"Hbo-, wo-bachelor",2398.0
GM0796    ,'s-Hertogenbosch,Mannen,55 tot 65 jaar,"Hbo-, wo-master, doctor",1820.0
GM0796    ,'s-Hertogenbosch,Mannen,55 tot 65 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",1591.0
GM0796    ,'s-Hertogenbosch,Mannen,65 tot 75 jaar,Basisonderwijs,901.0
GM0796    ,'s-Hertogenbosch,Mannen,65 tot 75 jaar,"Havo, vwo, mbo2-4",2975.0
GM0796    ,'s-Hertogenbosch,Mannen,65 tot 75 jaar,"Hbo-, wo-bachelor",1955.0
GM0796    ,'s-Hertogenbosch,Mannen,65 tot 75 jaar,"Hbo-, wo-master, doctor",1207.0
GM0796    ,'s-Hertogenbosch,Mannen,65 tot 75 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",1462.0
GM0796    ,'s-Hertogenbosch,Vrouwen,15 tot 25 jaar,Basisonderwijs,992.0
GM0796    ,'s-Hertogenbosch,Vrouwen,15 tot 25 jaar,"Havo, vwo, mbo2-4",4004.0
GM0796    ,'s-Hertogenbosch,Vrouwen,15 tot 25 jaar,"Hbo-, wo-bachelor",1046.0
GM0796    ,'s-Hertogenbosch,Vrouwen,15 tot 25 jaar,"Hbo-, wo-master, doctor",209.0
GM0796    ,'s-Hertogenbosch,Vrouwen,15 tot 25 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",2848.0
GM0796    ,'s-Hertogenbosch,Vrouwen,25 tot 35 jaar,Basisonderwijs,308.0
GM0796    ,'s-Hertogenbosch,Vrouwen,25 tot 35 jaar,"Havo, vwo, mbo2-4",3407.0
GM0796    ,'s-Hertogenbosch,Vrouwen,25 tot 35 jaar,"Hbo-, wo-bachelor",4490.0
GM0796    ,'s-Hertogenbosch,Vrouwen,25 tot 35 jaar,"Hbo-, wo-master, doctor",3469.0
GM0796    ,'s-Hertogenbosch,Vrouwen,25 tot 35 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",627.0
GM0796    ,'s-Hertogenbosch,Vrouwen,35 tot 45 jaar,Basisonderwijs,680.0
GM0796    ,'s-Hertogenbosch,Vrouwen,35 tot 45 jaar,"Havo, vwo, mbo2-4",2884.0
GM0796    ,'s-Hertogenbosch,Vrouwen,35 tot 45 jaar,"Hbo-, wo-bachelor",2832.0
