gm_code,municipality,gender,age_group,education,N,vote_2030
GM0297    ,Zaltbommel,male,45-55,"Hbo-, wo-bachelor",327.0,VVD
GM0034    ,Almere,male,15-25,"Havo, vwo, mbo2-4",5933.0,Did not vote
GM1940    ,De Fryske Marren,male,55-65,"Hbo-, wo-bachelor",760.0,CDA
GM0610    ,Sliedrecht,female,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",508.0,50PLUS
GM0988    ,Weert,female,25-35,"Vmbo, havo-/vwo-onderbouw, mbo1",456.0,SP
GM1926    ,Pijnacker-Nootdorp,female,15-25,"Hbo-, wo-bachelor",322.0,D66
GM0193    ,Zwolle,female,45-55,"Hbo-, wo-bachelor",2614.0,D66
GM0983    ,Venlo,female,35-45,"Havo, vwo, mbo2-4",2633.0,GL-PvdA
GM0718    ,Vlissingen,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",942.0,Did not vote
GM0935    ,Maastricht,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",1240.0,PVV
GM0080    ,Leeuwarden,male,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",1346.0,50PLUS
GM1507    ,Horst aan de Maas,female,25-35,"Hbo-, wo-bachelor",941.0,D66
GM0202    ,Arnhem,male,25-35,"Havo, vwo, mbo2-4",5679.0,D66
GM0228    ,Ede,female,25-35,"Hbo-, wo-bachelor",2536.0,GL-PvdA
GM1783    ,Westland,female,45-55,"Vmbo, havo-/vwo-onderbouw, mbo1",1026.0,BBB
GM1969    ,Westerkwartier,female,25-35,"Havo, vwo, mbo2-4",1533.0,D66
GM1982    ,Land van Cuijk,male,15-25,Basisonderwijs,668.0,Did not vote
GM0796    ,'s-Hertogenbosch,female,55-65,"Havo, vwo, mbo2-4",4151.0,CDA
GM0917    ,Heerlen,male,45-55,"Havo, vwo, mbo2-4",2396.0,CDA
GM1924    ,Goeree-Overflakkee,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",941.0,Did not vote
GM0762    ,Deurne,female,25-35,"Hbo-, wo-master, doctor",353.0,D66
GM0794    ,Helmond,female,45-55,"Havo, vwo, mbo2-4",2667.0,CDA
GM0402    ,Hilversum,female,35-45,"Hbo-, wo-bachelor",1787.0,D66
GM0345    ,Veenendaal,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",1773.0,Did not vote
GM0479    ,Zaanstad,male,55-65,"Hbo-, wo-bachelor",1938.0,VVD
GM0824    ,Oisterwijk,male,45-55,"Hbo-, wo-bachelor",533.0,VVD
GM0796    ,'s-Hertogenbosch,female,45-55,"Havo, vwo, mbo2-4",3233.0,CDA
GM0599    ,Rotterdam,male,55-65,"Havo, vwo, mbo2-4",15093.0,VVD
