respondent_id,age_group,constituency_code,turnout_2022,gender,education_level,area_type,swedish_or_foreign_background,marital_status,home_class_identity,language_spoken_at_home,household_income,past_vote,vote_in_2018,interest_in_politics,social_media_news_frequency,understands_political_issues,trust_parliament,government_job_past_4_years,government_covid_handling,satisfied_with_democracy,trust_in_election_administration,party_attachment,party_attachment_strength,eu_attitude,nato_attitude,women_in_parliament_pct_opinion,fairness_of_society,political_system_healthcare,current_economic_situation,economic_situation_change,employment_sector,employment_type,hours_per_week,democracy_preferable,courts_stop_government,strong_leader_bends_rules,women_representation_gone_too_far,business_leaders_better,independent_experts_better,citizens_referendums_better,policy_lower_taxes,policy_reduce_income_differences,policy_private_healthcare,policy_harsher_prison_sentences,policy_fewer_refugees,policy_no_profit_welfare,policy_reduce_defense,policy_nato_membership,policy_euro,policy_raise_fuel_taxes,policy_abolish_rut,policy_abolish_nuclear,policy_school_grades_conduct,policy_redistribute_municipalities,policy_visitation_zones,policy_remove_sick_day,trust_government,trust_judiciary,trust_scientists,trust_political_parties,trust_traditional_media,trust_social_media,trust_election_authority,democracy_scale_sweden,vote_makes_difference,self_leftright_placement,election_fairness,like_centre_party,like_moderate_party,like_left_party,like_liberals,like_social_democrats,like_green_party,like_christian_democrats,like_sweden_democrats,leftright_liberals,leftright_social_democrats,leftright_moderate_party,leftright_left_party,leftright_centre_party,leftright_green_party,leftright_christian_democrats,leftright_sweden_democrats,aim_environmental_society,aim_multicultural_society,aim_hbtq_rights,aim_gender_power_reallocation,aim_civic_organizations,days_news_svt,days_news_tv4,days_news_radio,days_newspapers,days_online_news,days_social_media,better_economic_crisis_leader,better_health_crisis_leader,municipality_code,municipality_name
3176,71-104,2.0,Voted,Women,"Tertiary education, 2 years or longer",Larger town,Swedish background,Widow/widower,White-collar middle-class home,Swedish,100 001 – 200 000,Left Party (V),Left Party (V),Somewhat interested,Jag använder inte sociala medier för att följa partier och kandidater dagligen,Somewhat agree,Trust somewhat,Bra,Bra,Fairly satisfied,Mycket stort förtroende,Yes,Ganska nära,Very positive,Fairly positive,Andelen kvinnor i riksdagen är bra som den är,Not very fairly,Quite well,Neither good nor bad,Somewhat deteriorated,Statlig,Tillsvidare-/fast anställning,Full time,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Very good proposal,Very good proposal,Very bad proposal,Fairly good proposal,Very bad proposal,Very good proposal,Neither good nor bad proposal,Very good proposal,Very bad proposal,Neither good nor bad proposal,Very bad proposal,Fairly good proposal,Fairly good proposal,Fairly good proposal,Very bad proposal,Fairly bad proposal,Trust somewhat,Trust somewhat,Trust somewhat,Inte särskilt stort förtroende,Inte särskilt stort förtroende,Inget förtroende alls,Trust somewhat,8.0,3.0,3.0,,3.0,-1.0,3.0,0.0,3.0,3.0,0.0,,5.0,3.0,9.0,2.0,4.0,3.0,7.0,,8.0,8.0,,,8.0,,,,,,,,,0114,Upplands Väsby
6792,71-104,2.0,Voted,Men,Upper secondary school,Larger town,Foreign background,,,,200 001 – 300 000,,,Very interested,Flera gånger om dagen,Strongly disagree,Inte särskilt stort förtroende,Very bad job,Bra,Not very satisfied,Varken stort eller litet förtroende,No,Ganska nära,Very negative,Very negative,Andelen kvinnor i riksdagen är bra som den är,Not very fairly,Quite well,Very bad,Deteriorated a lot,Privat,Tillsvidare-/fast anställning,Full time,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Very good proposal,Very good proposal,Very bad proposal,Very good proposal,Fairly good proposal,Very good proposal,Very good proposal,Very bad proposal,Very bad proposal,Very bad proposal,Neither good nor bad proposal,Very bad proposal,Very good proposal,Very good proposal,Very good proposal,Neither good nor bad proposal,Inget förtroende alls,Trust somewhat,Trust a lot,Inget förtroende alls,Inte särskilt stort förtroende,Trust a lot,Trust a lot,5.0,,5.0,,,,0.0,,,,,,,5.0,,5.0,5.0,5.0,,,3.0,,,,,,,,,,,,,0114,Upplands Väsby
6365,31-40,2.0,Did not vote,Women,Upper secondary school,Large city: outer area/suburb,Swedish background,Ensamstående/singel,Working-class home,Swedish,200 001 – 300 000,Did not vote,Left Party (V),Not at all interested,Jag använder inte sociala medier för att följa partier och kandidater dagligen,Strongly disagree,Inte särskilt stort förtroende,Dåligt,Dåligt,Not very satisfied,Varken stort eller litet förtroende,No,Inte särskilt nära,Neither positive nor negative,Neither positive nor negative,Andelen kvinnor i riksdagen är bra som den är,Not very fairly,Not very well,Very bad,Deteriorated a lot,Privat,Tillsvidare-/fast anställning,"Deltid, minst 15 timmar",Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Fairly good proposal,Fairly good proposal,Fairly bad proposal,Fairly good proposal,Fairly good proposal,Fairly good proposal,Neither good nor bad proposal,Neither good nor bad proposal,Very bad proposal,Very bad proposal,Fairly bad proposal,Neither good nor bad proposal,Neither good nor bad proposal,Neither good nor bad proposal,Fairly good proposal,Fairly good proposal,Inte särskilt stort förtroende,Inte särskilt stort förtroende,Trust somewhat,Inget förtroende alls,Inte särskilt stort förtroende,Inte särskilt stort förtroende,Trust somewhat,5.0,,3.0,3.0,,,2.0,,1.0,,,,6.0,4.0,7.0,,5.0,7.0,7.0,,1.0,1.0,,7.0,,,,,,,,,,0114,Upplands Väsby
1663,31-40,2.0,Voted,Men,"Tertiary education, 2 years or longer",Storstad: centralt,Foreign background,Gift/i registrerat partnerskap,White-collar middle-class home,Annat språk,"More than 1,100,000",Moderate Party (M),Moderate Party (M),Somewhat interested,Flera gånger om dagen,Somewhat agree,Trust somewhat,Dåligt,Bra,Fairly satisfied,Ganska stort förtroende,Yes,Ganska nära,Neither positive nor negative,Fairly negative,Andelen kvinnor i riksdagen är bra som den är,Quite fairly,Quite well,Fairly bad,Somewhat deteriorated,Privat,Tillsvidare-/fast anställning,Full time,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Very good proposal,Fairly bad proposal,Very good proposal,Very good proposal,Very good proposal,Very bad proposal,Very bad proposal,Fairly bad proposal,Fairly bad proposal,Fairly bad proposal,Fairly bad proposal,Fairly bad proposal,Very good proposal,Fairly good proposal,Neither good nor bad proposal,Very bad proposal,Trust somewhat,Trust somewhat,Trust somewhat,Inte särskilt stort förtroende,Trust somewhat,Inte särskilt stort förtroende,Trust somewhat,6.0,,8.0,,-3.0,,,4.0,,-3.0,3.0,,7.0,1.0,9.0,,5.0,4.0,8.0,,6.0,,2.0,4.0,8.0,,,,,,,,,0114,Upplands Väsby
3907,71-104,2.0,Voted,Men,Upper secondary school,,Swedish background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0114,Upplands Väsby
6669,31-40,2.0,Did not vote,Women,Upper secondary school,,Foreign background,,,,,Did not vote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0114,Upplands Väsby
4355,23-30,2.0,Did not vote,Women,Upper secondary school,,Swedish background,,,,,Did not vote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0114,Upplands Väsby
3585,41-50,2.0,Voted,Women,Upper secondary school,,Swedish background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0114,Upplands Väsby
4661,23-30,2.0,Did not vote,Men,Upper secondary school,,Foreign background,,,,,Did not vote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0114,Upplands Väsby
1131,23-30,2.0,Voted,Women,Upper secondary school,,Swedish background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0114,Upplands Väsby
4072,51-60,2.0,Voted,Men,"Tertiary education, shorter than 2 years",,Foreign background,,,,,,,Not at all interested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0114,Upplands Väsby
3283,71-104,2.0,Voted,Men,"Primary school, shorter than 9 years",Large city: outer area/suburb,Swedish background,Gift/i registrerat partnerskap,Working-class home,Swedish,300 001 – 400 000,Social Democrats (S),Sweden Democrats (SD),Not very interested,Jag använder inte sociala medier för att följa partier och kandidater dagligen,Neither agree nor disagree,Trust somewhat,Bra,Bra,Fairly satisfied,Mycket stort förtroende,No,Ej svar - del av frågan (filter f32),Neither positive nor negative,Very positive,Andelen kvinnor i riksdagen är för låg,Not very fairly,Not very well,Neither good nor bad,Somewhat deteriorated,Privat,Jag är egen företagare,Full time,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Fairly bad proposal,Fairly good proposal,Very bad proposal,Fairly good proposal,Neither good nor bad proposal,Very good proposal,Very bad proposal,Very good proposal,Neither good nor bad proposal,Very bad proposal,Neither good nor bad proposal,Neither good nor bad proposal,Fairly good proposal,Fairly good proposal,Neither good nor bad proposal,Very good proposal,Trust somewhat,Trust somewhat,Trust somewhat,Inte särskilt stort förtroende,Inte särskilt stort förtroende,Inte särskilt stort förtroende,Trust a lot,8.0,,5.0,,,0.0,0.0,-3.0,3.0,0.0,-4.0,0.0,8.0,4.0,,,4.0,4.0,,,,,,,,,,,,,,,,0114,Upplands Väsby
6237,51-60,2.0,Voted,Women,"Primary school, 9/10 years",Large city: outer area/suburb,Foreign background,Gift/i registrerat partnerskap,White-collar middle-class home,Swedish,800 001 – 900 000,Sweden Democrats (SD),Sweden Democrats (SD),Not very interested,En gång om dagen,Somewhat agree,Inte särskilt stort förtroende,Very bad job,Bra,Fairly satisfied,Ganska stort förtroende,Yes,Ganska nära,Fairly positive,Fairly positive,Andelen kvinnor i riksdagen är för låg,Not very fairly,Very well,Fairly good,Neither improved nor deteriorated,Statlig,Tillsvidare-/fast anställning,Full time,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Very good proposal,Neither good nor bad proposal,Very bad proposal,Very good proposal,Very good proposal,Very good proposal,Fairly bad proposal,Very good proposal,Neither good nor bad proposal,Very bad proposal,Neither good nor bad proposal,Very bad proposal,Very good proposal,Neither good nor bad proposal,Very good proposal,Fairly good proposal,Inte särskilt stort förtroende,Trust somewhat,Trust somewhat,Inte särskilt stort förtroende,Inte särskilt stort förtroende,Inte särskilt stort förtroende,Inte särskilt stort förtroende,6.0,4.0,,4.0,,2.0,,1.0,,,3.0,4.0,5.0,5.0,8.0,1.0,1.0,1.0,8.0,8.0,1.0,,,,,,,,,,,,,0114,Upplands Väsby
2589,41-50,2.0,Voted,Women,"Tertiary education, shorter than 2 years",Small town,Foreign background,Gift/i registrerat partnerskap,Working-class home,Annat språk,500 001 – 600 000,Social Democrats (S),Christian Democrats (KD),Not very interested,Jag använder inte sociala medier för att följa partier och kandidater dagligen,Somewhat agree,Trust somewhat,Bra,Bra,Fairly satisfied,Ganska stort förtroende,Yes,Ganska nära,Fairly positive,Fairly positive,Andelen kvinnor i riksdagen är bra som den är,Not at all fairly,Not very well,Fairly bad,Somewhat deteriorated,Statlig,Tidsbegränsad anställning,Full time,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Fairly good proposal,Neither good nor bad proposal,Fairly bad proposal,Very good proposal,Neither good nor bad proposal,Very good proposal,Fairly good proposal,Very good proposal,Fairly bad proposal,Fairly bad proposal,Fairly good proposal,Fairly bad proposal,Fairly good proposal,Very good proposal,Fairly good proposal,Fairly good proposal,Inte särskilt stort förtroende,Inte särskilt stort förtroende,Trust somewhat,Inte särskilt stort förtroende,Trust a lot,Inte särskilt stort förtroende,Trust somewhat,9.0,4.0,2.0,,1.0,1.0,-1.0,-1.0,3.0,0.0,0.0,,6.0,2.0,7.0,4.0,5.0,5.0,5.0,5.0,9.0,6.0,2.0,7.0,6.0,,,,,,,,,0114,Upplands Väsby
2549,23-30,2.0,Voted,Women,"Tertiary education, 2 years or longer",Larger town,Swedish background,I ett förhållande,White-collar middle-class home,Swedish,400 001 – 500 000,The Liberals (L),,Not at all interested,Jag använder inte sociala medier för att följa partier och kandidater dagligen,Somewhat agree,Trust somewhat,Bra,Bra,Fairly satisfied,Ganska stort förtroende,No,Ej svar - del av frågan (filter f32),Neither positive nor negative,Fairly negative,Andelen kvinnor i riksdagen är för låg,Not very fairly,Very well,Fairly bad,Somewhat deteriorated,Privat,Tillsvidare-/fast anställning,Full time,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Fairly good proposal,Fairly good proposal,Neither good nor bad proposal,Fairly good proposal,Neither good nor bad proposal,Neither good nor bad proposal,Neither good nor bad proposal,Fairly bad proposal,Very bad proposal,Very bad proposal,Fairly bad proposal,Neither good nor bad proposal,Fairly bad proposal,Neither good nor bad proposal,Neither good nor bad proposal,Fairly bad proposal,Trust somewhat,Trust somewhat,Trust somewhat,Inte särskilt stort förtroende,Trust somewhat,Inte särskilt stort förtroende,Inte särskilt stort förtroende,7.0,4.0,5.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,-4.0,7.0,4.0,7.0,4.0,5.0,3.0,5.0,,,4.0,6.0,6.0,,,,,,,,,,0114,Upplands Väsby
1840,31-40,2.0,Did not vote,Men,Upper secondary school,,Foreign background,,,,,Did not vote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0114,Upplands Väsby
3159,61-70,2.0,Did not vote,Women,Upper secondary school,Larger town,Swedish background,I ett förhållande,Working-class home,Swedish,,Did not vote,Sweden Democrats (SD),Somewhat interested,Minst tio gånger om dagen,Strongly agree,Inte särskilt stort förtroende,Very bad job,Dåligt,Not very satisfied,Varken stort eller litet förtroende,Yes,Ganska nära,Fairly positive,Fairly positive,Andelen kvinnor i riksdagen är för låg,Not at all fairly,Not very well,Very bad,Deteriorated a lot,Kommunal,Tillsvidare-/fast anställning,Full time,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,,,Somewhat agree,Neither good nor bad proposal,Very good proposal,Fairly bad proposal,Very good proposal,Very good proposal,Very good proposal,Very good proposal,Very good proposal,Fairly bad proposal,Very bad proposal,Neither good nor bad proposal,Fairly good proposal,Very good proposal,Very good proposal,Very good proposal,Neither good nor bad proposal,Inte särskilt stort förtroende,Inget förtroende alls,Trust somewhat,,Inget förtroende alls,Inte särskilt stort förtroende,Inte särskilt stort förtroende,3.0,,,,,,,,,,,,,5.0,6.0,,6.0,5.0,9.0,,9.0,,,,,,,,,,,,,0114,Upplands Väsby
1169,23-30,2.0,Did not vote,Men,Upper secondary school,,Foreign background,,,,,Did not vote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0114,Upplands Väsby
3010,41-50,2.0,Did not vote,Women,Upper secondary school,,Foreign background,,,,,Did not vote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0114,Upplands Väsby
1338,31-40,2.0,Voted,Women,"Primary school, 9/10 years",,Swedish background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0114,Upplands Väsby
2368,31-40,2.0,Voted,Men,Upper secondary school,,Swedish background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0114,Upplands Väsby
