id;v7502;v7503
0001;2021;Vansbro
0002;1281;Lund
0003;2132;Nordanstig
0004;483;Katrineholm
0005;2482;Skellefteå
0006;1384;Kungsbacka
0007;1292;Ängelholm
0008;127;Botkyrka
0009;1480;Göteborg
0010;1484;Lysekil
0011;1280;Malmö
0012;1490;Borås
0013;184;Solna
0014;180;Stockholm
0015;580;Linköping
0016;884;Vimmerby
0017;1980;Västerås
0018;781;Ljungby
0019;680;Jönköping
0020;1080;Karlskrona
0021;180;Stockholm
0022;1290;Kristianstad
0023;1382;Falkenberg
0024;1293;Hässleholm
0025;1280;Malmö
0026;2183;Bollnäs
0027;160;Täby
0028;780;Växjö
0029;128;Salem
0030;1060;Olofström
0031;480;Nyköping
0032;180;Stockholm
0033;2281;Sundsvall
0034;781;Ljungby
0035;117;Österåker
0036;1383;Varberg
0037;1981;Sala
0038;127;Botkyrka
0039;461;Gnesta
0040;1490;Borås
0041;2582;Boden
0042;1480;Göteborg
0043;2262;Timrå
0044;680;Jönköping
0045;583;Motala
0046;780;Växjö
0047;180;Stockholm
0048;380;Uppsala
0049;1283;Helsingborg
0050;1280;Malmö
0051;580;Linköping
0052;381;Enköping
0053;1485;Uddevalla
0054;683;Värnamo
0055;883;Västervik
0056;1480;Göteborg
0057;1260;Bjuv
0058;2282;Kramfors
0059;480;Nyköping
0060;114;Upplands Väsby
0061;1415;Stenungsund
0062;580;Linköping
0063;484;Eskilstuna
0064;127;Botkyrka
0065;1480;Göteborg
0066;1280;Malmö
0067;1487;Vänersborg
0068;2581;Piteå
0069;1260;Bjuv
0070;1293;Hässleholm
0071;1761;Hammarö
0072;486;Strängnäs
0073;1489;Alingsås
0074;582;Söderköping
0075;1496;Skövde
0076;180;Stockholm
0077;1287;Trelleborg
0078;125;Ekerö
0079;1284;Höganäs
0080;2181;Sandviken
0081;484;Eskilstuna
0082;136;Haninge
0083;180;Stockholm
0084;2039;Älvdalen
0085;484;Eskilstuna
0086;382;Östhammar
0087;428;Vingåker
0088;182;Nacka
0089;1480;Göteborg
0090;1233;Vellinge
0091;1984;Arboga
0092;187;Vaxholm
0093;1286;Ystad
0094;2284;Örnsköldsvik
0095;680;Jönköping
0096;2026;Gagnef
0097;1490;Borås
0098;1214;Svalöv
0099;2080;Falun
0100;2029;Leksand
0101;1470;Vara
0102;1980;Västerås
0103;1784;Arvika
0104;1480;Göteborg
0105;1280;Malmö
0106;2514;Kalix
0107;1082;Karlshamn
