"Population per month by sex, month, region and age"

"sex","month","region","total, all ages"
"total, all men and women","2025M12","0114 Upplands Väsby",50495
"total, all men and women","2025M12","0115 Vallentuna",35361
"total, all men and women","2025M12","0117 Österåker",49943
"total, all men and women","2025M12","0120 Värmdö",46601
"total, all men and women","2025M12","0123 Järfälla",90180
"total, all men and women","2025M12","0125 Ekerö",29062
"total, all men and women","2025M12","0126 Huddinge",114686
"total, all men and women","2025M12","0127 Botkyrka",96750
"total, all men and women","2025M12","0128 Salem",17370
"total, all men and women","2025M12","0136 Haninge",101408
"total, all men and women","2025M12","0138 Tyresö",49645
"total, all men and women","2025M12","0139 Upplands-Bro",33333
"total, all men and women","2025M12","0140 Nykvarn",12384
"total, all men and women","2025M12","0160 Täby",78514
"total, all men and women","2025M12","0162 Danderyd",32500
"total, all men and women","2025M12","0163 Sollentuna",78033
"total, all men and women","2025M12","0180 Stockholm",999239
"total, all men and women","2025M12","0181 Södertälje",102772
"total, all men and women","2025M12","0182 Nacka",113730
"total, all men and women","2025M12","0183 Sundbyberg",57000
"total, all men and women","2025M12","0184 Solna",86435
"total, all men and women","2025M12","0186 Lidingö",48369
"total, all men and women","2025M12","0187 Vaxholm",11636
"total, all men and women","2025M12","0188 Norrtälje",66832
"total, all men and women","2025M12","0191 Sigtuna",53365
"total, all men and women","2025M12","0192 Nynäshamn",30610
"total, all men and women","2025M12","0305 Håbo",23252
"total, all men and women","2025M12","0319 Älvkarleby",9573
"total, all men and women","2025M12","0330 Knivsta",21733
"total, all men and women","2025M12","0331 Heby",14275
"total, all men and women","2025M12","0360 Tierp",21028
"total, all men and women","2025M12","0380 Uppsala",249726
"total, all men and women","2025M12","0381 Enköping",48804
"total, all men and women","2025M12","0382 Östhammar",22181
"total, all men and women","2025M12","0428 Vingåker",8666
"total, all men and women","2025M12","0461 Gnesta",11343
"total, all men and women","2025M12","0480 Nyköping",58310
"total, all men and women","2025M12","0481 Oxelösund",11962
"total, all men and women","2025M12","0482 Flen",15095
"total, all men and women","2025M12","0483 Katrineholm",33984
"total, all men and women","2025M12","0484 Eskilstuna",106789
"total, all men and women","2025M12","0486 Strängnäs",39387
"total, all men and women","2025M12","0488 Trosa",14900
"total, all men and women","2025M12","0509 Ödeshög",5221
"total, all men and women","2025M12","0512 Ydre",3619
"total, all men and women","2025M12","0513 Kinda",9924
"total, all men and women","2025M12","0560 Boxholm",5451
"total, all men and women","2025M12","0561 Åtvidaberg",11490
"total, all men and women","2025M12","0562 Finspång",21502
"total, all men and women","2025M12","0563 Valdemarsvik",7526
"total, all men and women","2025M12","0580 Linköping",168714
"total, all men and women","2025M12","0581 Norrköping",144904
"total, all men and women","2025M12","0582 Söderköping",14741
"total, all men and women","2025M12","0583 Motala",43131
"total, all men and women","2025M12","0584 Vadstena",7484
"total, all men and women","2025M12","0586 Mjölby",28823
"total, all men and women","2025M12","0604 Aneby",6851
"total, all men and women","2025M12","0617 Gnosjö",9010
"total, all men and women","2025M12","0642 Mullsjö",7546
"total, all men and women","2025M12","0643 Habo",13511
"total, all men and women","2025M12","0662 Gislaved",28641
"total, all men and women","2025M12","0665 Vaggeryd",14943
"total, all men and women","2025M12","0680 Jönköping",148152
"total, all men and women","2025M12","0682 Nässjö",31474
"total, all men and women","2025M12","0683 Värnamo",34534
"total, all men and women","2025M12","0684 Sävsjö",11531
"total, all men and women","2025M12","0685 Vetlanda",27313
"total, all men and women","2025M12","0686 Eksjö",17660
"total, all men and women","2025M12","0687 Tranås",18555
"total, all men and women","2025M12","0760 Uppvidinge",8911
"total, all men and women","2025M12","0761 Lessebo",8115
"total, all men and women","2025M12","0763 Tingsryd",11896
"total, all men and women","2025M12","0764 Alvesta",19687
"total, all men and women","2025M12","0765 Älmhult",17579
"total, all men and women","2025M12","0767 Markaryd",9862
"total, all men and women","2025M12","0780 Växjö",98940
"total, all men and women","2025M12","0781 Ljungby",28132
"total, all men and women","2025M12","0821 Högsby",5134
"total, all men and women","2025M12","0834 Torsås",6919
"total, all men and women","2025M12","0840 Mörbylånga",16306
"total, all men and women","2025M12","0860 Hultsfred",13484
"total, all men and women","2025M12","0861 Mönsterås",12978
"total, all men and women","2025M12","0862 Emmaboda",8807
"total, all men and women","2025M12","0880 Kalmar",73068
"total, all men and women","2025M12","0881 Nybro",19803
"total, all men and women","2025M12","0882 Oskarshamn",26762
"total, all men and women","2025M12","0883 Västervik",36269
"total, all men and women","2025M12","0884 Vimmerby",15327
"total, all men and women","2025M12","0885 Borgholm",10626
"total, all men and women","2025M12","0980 Gotland",60852
"total, all men and women","2025M12","1060 Olofström",12844
"total, all men and women","2025M12","1080 Karlskrona",66021
"total, all men and women","2025M12","1081 Ronneby",28708
"total, all men and women","2025M12","1082 Karlshamn",31642
"total, all men and women","2025M12","1083 Sölvesborg",17405
"total, all men and women","2025M12","1214 Svalöv",14474
"total, all men and women","2025M12","1230 Staffanstorp",27482
"total, all men and women","2025M12","1231 Burlöv",20444
"total, all men and women","2025M12","1233 Vellinge",37833
"total, all men and women","2025M12","1256 Östra Göinge",13718
"total, all men and women","2025M12","1257 Örkelljunga",10293
"total, all men and women","2025M12","1260 Bjuv",16052
"total, all men and women","2025M12","1261 Kävlinge",32655
"total, all men and women","2025M12","1262 Lomma",24677
"total, all men and women","2025M12","1263 Svedala",23714
"total, all men and women","2025M12","1264 Skurup",17139
"total, all men and women","2025M12","1265 Sjöbo",19397
"total, all men and women","2025M12","1266 Hörby",15559
"total, all men and women","2025M12","1267 Höör",17680
"total, all men and women","2025M12","1270 Tomelilla",13669
"total, all men and women","2025M12","1272 Bromölla",12497
"total, all men and women","2025M12","1273 Osby",12861
"total, all men and women","2025M12","1275 Perstorp",7115
"total, all men and women","2025M12","1276 Klippan",17713
"total, all men and women","2025M12","1277 Åstorp",16491
"total, all men and women","2025M12","1278 Båstad",16046
"total, all men and women","2025M12","1280 Malmö",367924
"total, all men and women","2025M12","1281 Lund",132333
"total, all men and women","2025M12","1282 Landskrona",47571
"total, all men and women","2025M12","1283 Helsingborg",152776
"total, all men and women","2025M12","1284 Höganäs",28489
"total, all men and women","2025M12","1285 Eslöv",35126
"total, all men and women","2025M12","1286 Ystad",32188
"total, all men and women","2025M12","1287 Trelleborg",47405
"total, all men and women","2025M12","1290 Kristianstad",85908
"total, all men and women","2025M12","1291 Simrishamn",18779
"total, all men and women","2025M12","1292 Ängelholm",45159
"total, all men and women","2025M12","1293 Hässleholm",51915
"total, all men and women","2025M12","1315 Hylte",10094
"total, all men and women","2025M12","1380 Halmstad",106315
"total, all men and women","2025M12","1381 Laholm",26565
"total, all men and women","2025M12","1382 Falkenberg",47321
"total, all men and women","2025M12","1383 Varberg",69460
"total, all men and women","2025M12","1384 Kungsbacka",86332
"total, all men and women","2025M12","1401 Härryda",40011
"total, all men and women","2025M12","1402 Partille",41164
"total, all men and women","2025M12","1407 Öckerö",12863
"total, all men and women","2025M12","1415 Stenungsund",27854
"total, all men and women","2025M12","1419 Tjörn",16003
"total, all men and women","2025M12","1421 Orust",15363
"total, all men and women","2025M12","1427 Sotenäs",9036
"total, all men and women","2025M12","1430 Munkedal",10272
"total, all men and women","2025M12","1435 Tanum",12677
"total, all men and women","2025M12","1438 Dals-Ed",4571
"total, all men and women","2025M12","1439 Färgelanda",6288
"total, all men and women","2025M12","1440 Ale",32620
"total, all men and women","2025M12","1441 Lerum",43752
"total, all men and women","2025M12","1442 Vårgårda",12472
"total, all men and women","2025M12","1443 Bollebygd",9784
"total, all men and women","2025M12","1444 Grästorp",5602
"total, all men and women","2025M12","1445 Essunga",5559
"total, all men and women","2025M12","1446 Karlsborg",7047
"total, all men and women","2025M12","1447 Gullspång",4949
"total, all men and women","2025M12","1452 Tranemo",11873
