municipality_code,municipality,age_group,gender,education_level,N
0114,Upplands Väsby,18-22,Men,"Primary school, 9/10 years",1138.3
0114,Upplands Väsby,18-22,Men,"Primary school, shorter than 9 years",19.2
0114,Upplands Väsby,18-22,Men,"Tertiary education, 2 years or longer",50.8
0114,Upplands Väsby,18-22,Men,"Tertiary education, shorter than 2 years",227.4
0114,Upplands Väsby,18-22,Men,Upper secondary school,965.4
0114,Upplands Väsby,18-22,Women,"Primary school, 9/10 years",944.2
0114,Upplands Väsby,18-22,Women,"Primary school, shorter than 9 years",6.8
0114,Upplands Väsby,18-22,Women,"Tertiary education, 2 years or longer",80.8
0114,Upplands Väsby,18-22,Women,"Tertiary education, shorter than 2 years",263.5
0114,Upplands Väsby,18-22,Women,Upper secondary school,927.7
0114,Upplands Väsby,23-30,Men,Postgraduate education,4.3
0114,Upplands Väsby,23-30,Men,"Primary school, 9/10 years",141.6
0114,Upplands Väsby,23-30,Men,"Primary school, shorter than 9 years",32.0
0114,Upplands Väsby,23-30,Men,"Tertiary education, 2 years or longer",206.0
0114,Upplands Väsby,23-30,Men,"Tertiary education, shorter than 2 years",223.1
0114,Upplands Väsby,23-30,Men,Upper secondary school,613.6
0114,Upplands Väsby,23-30,Women,Postgraduate education,2.1
0114,Upplands Väsby,23-30,Women,"Primary school, 9/10 years",60.8
0114,Upplands Väsby,23-30,Women,"Primary school, shorter than 9 years",17.5
0114,Upplands Väsby,23-30,Women,"Tertiary education, 2 years or longer",371.6
0114,Upplands Väsby,23-30,Women,"Tertiary education, shorter than 2 years",206.1
0114,Upplands Väsby,23-30,Women,Upper secondary school,400.6
0114,Upplands Väsby,31-40,Men,Postgraduate education,31.8
0114,Upplands Väsby,31-40,Men,"Primary school, 9/10 years",313.5
0114,Upplands Väsby,31-40,Men,"Primary school, shorter than 9 years",92.3
0114,Upplands Väsby,31-40,Men,"Tertiary education, 2 years or longer",752.4
0114,Upplands Väsby,31-40,Men,"Tertiary education, shorter than 2 years",579.8
0114,Upplands Väsby,31-40,Men,Upper secondary school,1340.4
0114,Upplands Väsby,31-40,Women,Postgraduate education,26.1
0114,Upplands Väsby,31-40,Women,"Primary school, 9/10 years",162.7
0114,Upplands Väsby,31-40,Women,"Primary school, shorter than 9 years",73.8
0114,Upplands Väsby,31-40,Women,"Tertiary education, 2 years or longer",1257.4
0114,Upplands Väsby,31-40,Women,"Tertiary education, shorter than 2 years",614.8
0114,Upplands Väsby,31-40,Women,Upper secondary school,1114.1
0114,Upplands Väsby,41-50,Men,Postgraduate education,48.6
0114,Upplands Väsby,41-50,Men,"Primary school, 9/10 years",279.1
0114,Upplands Väsby,41-50,Men,"Primary school, shorter than 9 years",107.2
