municipality_code,municipality,party,vote_pct
0114,Upplands Väsby,Moderate Party (M),0.1538834804233767
0115,Vallentuna,Moderate Party (M),0.2163954434499593
0117,Österåker,Moderate Party (M),0.2284915234690347
0120,Värmdö,Moderate Party (M),0.20055603206057201
0123,Järfälla,Moderate Party (M),0.1554424771102688
0125,Ekerö,Moderate Party (M),0.22189960629921263
0126,Huddinge,Moderate Party (M),0.1630974590745461
0127,Botkyrka,Moderate Party (M),0.11728274013792202
0128,Salem,Moderate Party (M),0.18442383220523104
0136,Haninge,Moderate Party (M),0.15714727722772276
0138,Tyresö,Moderate Party (M),0.19787705057614804
0139,Upplands-Bro,Moderate Party (M),0.16489153801055306
0140,Nykvarn,Moderate Party (M),0.210373594486761
0160,Täby,Moderate Party (M),0.28720953802495075
0162,Danderyd,Moderate Party (M),0.34731502103439743
0163,Sollentuna,Moderate Party (M),0.20095145297185762
0180,Stockholm,Moderate Party (M),0.15094308525468728
0181,Södertälje,Moderate Party (M),0.1394773326972674
0182,Nacka,Moderate Party (M),0.22401859504132232
0183,Sundbyberg,Moderate Party (M),0.14991366228873423
0184,Solna,Moderate Party (M),0.16409865158476108
0186,Lidingö,Moderate Party (M),0.28374724754020686
0187,Vaxholm,Moderate Party (M),0.24439313984168864
0188,Norrtälje,Moderate Party (M),0.1691957808885229
0191,Sigtuna,Moderate Party (M),0.16415379957614293
0192,Nynäshamn,Moderate Party (M),0.14103874384465298
0305,Håbo,Moderate Party (M),0.1974514488758194
0319,Älvkarleby,Moderate Party (M),0.11050328227571116
0330,Knivsta,Moderate Party (M),0.1768677528254807
0331,Heby,Moderate Party (M),0.12115931395028891
0360,Tierp,Moderate Party (M),0.11875193080012357
0380,Uppsala,Moderate Party (M),0.14432390214980814
0381,Enköping,Moderate Party (M),0.17603863077890164
0382,Östhammar,Moderate Party (M),0.15162599302737614
0428,Vingåker,Moderate Party (M),0.13635040745052388
0461,Gnesta,Moderate Party (M),0.15298897272199652
0480,Nyköping,Moderate Party (M),0.16045812389543027
0481,Oxelösund,Moderate Party (M),0.13657407407407407
0482,Flen,Moderate Party (M),0.12118946756375115
0483,Katrineholm,Moderate Party (M),0.13404206147446268
0484,Eskilstuna,Moderate Party (M),0.14469523080846722
0486,Strängnäs,Moderate Party (M),0.1977172834254927
0488,Trosa,Moderate Party (M),0.20715973105578775
0509,Ödeshög,Moderate Party (M),0.13531272815770262
0512,Ydre,Moderate Party (M),0.14054426455390975
0513,Kinda,Moderate Party (M),0.13844172569220864
0560,Boxholm,Moderate Party (M),0.12444857209194335
0561,Åtvidaberg,Moderate Party (M),0.1322314049586777
0562,Finspång,Moderate Party (M),0.12523263492825837
0563,Valdemarsvik,Moderate Party (M),0.13523654159869494
0580,Linköping,Moderate Party (M),0.1732344876938787
0581,Norrköping,Moderate Party (M),0.16264627291992997
0582,Söderköping,Moderate Party (M),0.1852176197565461
0583,Motala,Moderate Party (M),0.152217590787777
0584,Vadstena,Moderate Party (M),0.1767178658043654
0586,Mjölby,Moderate Party (M),0.16657326982347997
0604,Aneby,Moderate Party (M),0.1357324467044788
0617,Gnosjö,Moderate Party (M),0.16425120772946858
0642,Mullsjö,Moderate Party (M),0.13401142041399
0643,Habo,Moderate Party (M),0.17033147358057105
0662,Gislaved,Moderate Party (M),0.15238451818224366
0665,Vaggeryd,Moderate Party (M),0.13500047005734697
0680,Jönköping,Moderate Party (M),0.15951777595587688
0682,Nässjö,Moderate Party (M),0.12389496145973959
0683,Värnamo,Moderate Party (M),0.16818984716995622
0684,Sävsjö,Moderate Party (M),0.14481852913085005
0685,Vetlanda,Moderate Party (M),0.14581619319556696
0686,Eksjö,Moderate Party (M),0.1484800956008664
0687,Tranås,Moderate Party (M),0.14974655026753028
0760,Uppvidinge,Moderate Party (M),0.1286120676748016
0761,Lessebo,Moderate Party (M),0.12395169406239516
0763,Tingsryd,Moderate Party (M),0.12222464083587287
0764,Alvesta,Moderate Party (M),0.1458361915214707
0765,Älmhult,Moderate Party (M),0.15652818991097922
0767,Markaryd,Moderate Party (M),0.1212615551930397
0780,Växjö,Moderate Party (M),0.1792753868745058
0781,Ljungby,Moderate Party (M),0.15709499315747252
0821,Högsby,Moderate Party (M),0.09077231695085256
0834,Torsås,Moderate Party (M),0.11907347086500182
0840,Mörbylånga,Moderate Party (M),0.17131408945948157
0860,Hultsfred,Moderate Party (M),0.09948458621024993
0861,Mönsterås,Moderate Party (M),0.11771665187814256
0862,Emmaboda,Moderate Party (M),0.11737361998837885
0880,Kalmar,Moderate Party (M),0.1729009737277237
0881,Nybro,Moderate Party (M),0.12398387416562025
0882,Oskarshamn,Moderate Party (M),0.15765506662831943
0883,Västervik,Moderate Party (M),0.14276448298228248
0884,Vimmerby,Moderate Party (M),0.14440192979537514
0885,Borgholm,Moderate Party (M),0.14671857619577308
0980,Gotland,Moderate Party (M),0.139453950366657
1060,Olofström,Moderate Party (M),0.10159323367427221
1080,Karlskrona,Moderate Party (M),0.1577600629859266
1081,Ronneby,Moderate Party (M),0.13486527150868555
1082,Karlshamn,Moderate Party (M),0.1451212679100296
1083,Sölvesborg,Moderate Party (M),0.15665251493128013
1214,Svalöv,Moderate Party (M),0.1165583776333924
1230,Staffanstorp,Moderate Party (M),0.2251220029705071
1231,Burlöv,Moderate Party (M),0.1257325124248943
1233,Vellinge,Moderate Party (M),0.3141960237181723
1256,Östra Göinge,Moderate Party (M),0.14147909967845662
1257,Örkelljunga,Moderate Party (M),0.10338517840805124
1260,Bjuv,Moderate Party (M),0.11285180799708534
1261,Kävlinge,Moderate Party (M),0.21272273246709272
1262,Lomma,Moderate Party (M),0.25991975033437364
1263,Svedala,Moderate Party (M),0.18809079414775123
1264,Skurup,Moderate Party (M),0.16689711264741763
1265,Sjöbo,Moderate Party (M),0.14475005019072473
1266,Hörby,Moderate Party (M),0.13363476513438835
1267,Höör,Moderate Party (M),0.14557950640424866
1270,Tomelilla,Moderate Party (M),0.13657740666090798
1272,Bromölla,Moderate Party (M),0.12752168913975123
1273,Osby,Moderate Party (M),0.12651699029126215
1275,Perstorp,Moderate Party (M),0.09780283881003304
1276,Klippan,Moderate Party (M),0.1214197720973206
1277,Åstorp,Moderate Party (M),0.12616106051041573
1278,Båstad,Moderate Party (M),0.2153968253968254
1280,Malmö,Moderate Party (M),0.13344242192601086
1281,Lund,Moderate Party (M),0.1381880795268601
1282,Landskrona,Moderate Party (M),0.1316338831554497
1283,Helsingborg,Moderate Party (M),0.16791497060153776
1284,Höganäs,Moderate Party (M),0.21254927726675424
1285,Eslöv,Moderate Party (M),0.14087102848671823
1286,Ystad,Moderate Party (M),0.18255006940313306
1287,Trelleborg,Moderate Party (M),0.16143640034612056
1290,Kristianstad,Moderate Party (M),0.1753017300720481
1291,Simrishamn,Moderate Party (M),0.15383634160341858
1292,Ängelholm,Moderate Party (M),0.1864386861742758
1293,Hässleholm,Moderate Party (M),0.14262917933130698
1315,Hylte,Moderate Party (M),0.10978231658156411
1380,Halmstad,Moderate Party (M),0.16761654429883865
1381,Laholm,Moderate Party (M),0.15189243027888447
1382,Falkenberg,Moderate Party (M),0.16190900981266726
1383,Varberg,Moderate Party (M),0.1769901287305894
1384,Kungsbacka,Moderate Party (M),0.2520296121185729
1401,Härryda,Moderate Party (M),0.19496011858544507
1402,Partille,Moderate Party (M),0.17595276815385705
1407,Öckerö,Moderate Party (M),0.1694682001376192
1415,Stenungsund,Moderate Party (M),0.1870004814636495
1419,Tjörn,Moderate Party (M),0.17073170731707318
1421,Orust,Moderate Party (M),0.14587670136108885
1427,Sotenäs,Moderate Party (M),0.182116166251475
1430,Munkedal,Moderate Party (M),0.12042796715600897
1435,Tanum,Moderate Party (M),0.17714619427681524
1438,Dals-Ed,Moderate Party (M),0.12100456621004567
1439,Färgelanda,Moderate Party (M),0.10635331607249551
1440,Ale,Moderate Party (M),0.1494803122439298
1441,Lerum,Moderate Party (M),0.18729683217540952
1442,Vårgårda,Moderate Party (M),0.12670586929990013
1443,Bollebygd,Moderate Party (M),0.16564843099139126
1444,Grästorp,Moderate Party (M),0.1600441501103753
1445,Essunga,Moderate Party (M),0.16415525114155252
1446,Karlsborg,Moderate Party (M),0.1356847219722872
1447,Gullspång,Moderate Party (M),0.10275502606105733
1452,Åmål,Moderate Party (M),0.15365772185725418
1460,Lilla Edet,Moderate Party (M),0.11032531824611033
1461,Mellerud,Moderate Party (M),0.14033819916172857
1462,Bengtsfors,Moderate Party (M),0.1056504103386473
1463,Mariestad,Moderate Party (M),0.13685393258426967
1465,Lidköping,Moderate Party (M),0.13955773955773956
1466,Götene,Moderate Party (M),0.12484616436482975
1470,Tibro,Moderate Party (M),0.17734675505360503
1471,Töreboda,Moderate Party (M),0.13664233576642337
1472,Vara,Moderate Party (M),0.12938317324383752
1473,Skara,Moderate Party (M),0.1342310418143161
1480,Göteborg,Moderate Party (M),0.14208113329633665
1481,Mölndal,Moderate Party (M),0.17699149340205786
1482,Kungälv,Moderate Party (M),0.17444757365684574
1484,Lysekil,Moderate Party (M),0.13158822492508374
1485,Uddevalla,Moderate Party (M),0.14325855742882354
1486,Strömstad,Moderate Party (M),0.1328794201625302
1487,Västra Götaland,Moderate Party (M),0.12905470329014943
1488,Trollhättan,Moderate Party (M),0.1518180369299424
1489,Alingsås,Moderate Party (M),0.1523642182548398
1490,Borås,Moderate Party (M),0.16061155801685245
1491,Ulricehamn,Moderate Party (M),0.16276618174151383
1492,Tranemo,Moderate Party (M),0.1238393322900365
1493,Bengtsfors,Moderate Party (M),0.1675684031535013
1494,Lidköping,Moderate Party (M),0.15064885617285909
1495,Skara,Moderate Party (M),0.1513722730471499
1496,Skövde,Moderate Party (M),0.1715162198667613
1497,Hjo,Moderate Party (M),0.15691710562794567
1498,Tidaholm,Moderate Party (M),0.11117800521774032
1499,Falköping,Moderate Party (M),0.14313276257084287
1715,Kil,Moderate Party (M),0.1404754221791976
1730,Eda,Moderate Party (M),0.10040307805056799
1737,Torsby,Moderate Party (M),0.12616929044033767
1760,Storfors,Moderate Party (M),0.11028460543337645
1761,Hammarö,Moderate Party (M),0.17192186106833104
1762,Munkfors,Moderate Party (M),0.08179808400884303
1763,Forshaga,Moderate Party (M),0.11729374433363556
1764,Grums,Moderate Party (M),0.1119102416570771
1765,Årjäng,Moderate Party (M),0.09599767981438516
1766,Sunne,Moderate Party (M),0.15625902049456364
1780,Karlstad,Moderate Party (M),0.16134550362836944
1781,Kristinehamn,Moderate Party (M),0.12277645816838216
1782,Filipstad,Moderate Party (M),0.11361587015329125
1783,Hagfors,Moderate Party (M),0.07501129688206055
1784,Arvika,Moderate Party (M),0.13718883580588384
1785,Säffle,Moderate Party (M),0.13484783540505788
1814,Lekeberg,Moderate Party (M),0.14860827174083976
1860,Laxå,Moderate Party (M),0.09485157699443413
1861,Hallsberg,Moderate Party (M),0.11986588432523052
1862,Degerfors,Moderate Party (M),0.09924892703862662
1863,Hällefors,Moderate Party (M),0.10179640718562874
1864,Ljusnarsberg,Moderate Party (M),0.09557174887892377
1880,Örebro,Moderate Party (M),0.14181787349499747
1881,Kumla,Moderate Party (M),0.1435342732134176
1882,Askersund,Moderate Party (M),0.12478127734033247
1883,Karlskoga,Moderate Party (M),0.15267272881788052
1884,Nora,Moderate Party (M),0.12033345415005436
1885,Lindesberg,Moderate Party (M),0.12567912185386407
1904,Skinnskatteberg,Moderate Party (M),0.08286805759623861
1907,Surahammar,Moderate Party (M),0.10700466977985323
1960,Kungsör,Moderate Party (M),0.12452077902162245
1961,Hallstahammar,Moderate Party (M),0.11645281793081047
1962,Norberg,Moderate Party (M),0.1091452205882353
1980,Västerås,Moderate Party (M),0.1769369894482398
1981,Sala,Moderate Party (M),0.1380315500685871
1982,Fagersta,Moderate Party (M),0.1124180285208702
1983,Köping,Moderate Party (M),0.11601307189542484
1984,Arboga,Moderate Party (M),0.14313134082807788
2021,Vansbro,Moderate Party (M),0.11234684260131951
2023,Malung-Sälen,Moderate Party (M),0.1501941625955155
2026,Gagnef,Moderate Party (M),0.12270014917951269
2029,Leksand,Moderate Party (M),0.15567593028732926
2031,Rättvik,Moderate Party (M),0.13515004413062665
2034,Orsa,Moderate Party (M),0.10256877391145927
2039,Älvdalen,Moderate Party (M),0.08447363619777414
2061,Smedjebacken,Moderate Party (M),0.1127297953520638
2062,Mora,Moderate Party (M),0.13175820803927585
2080,Falun,Moderate Party (M),0.1551019520890396
2081,Borlänge,Moderate Party (M),0.13509612906551208
2082,Säter,Moderate Party (M),0.1400614404369098
2083,Hedemora,Moderate Party (M),0.1254222972972973
2084,Avesta,Moderate Party (M),0.12299310264881469
2085,Ludvika,Moderate Party (M),0.1136664966853646
2101,Ockelbo,Moderate Party (M),0.09540558364475708
2104,Hofors,Moderate Party (M),0.09816949152542372
2121,Ovanåker,Moderate Party (M),0.113477537437604
2132,Nordanstig,Moderate Party (M),0.1037467875016908
2161,Ljusdal,Moderate Party (M),0.12683388547089444
2180,Gävle,Moderate Party (M),0.1552087031495664
2181,Sandviken,Moderate Party (M),0.12538835607186277
2182,Söderhamn,Moderate Party (M),0.11325460653568158
2183,Bollnäs,Moderate Party (M),0.11192615982511536
2184,Hudiksvall,Moderate Party (M),0.11789181692094312
2260,Ånge,Moderate Party (M),0.09558420186505759
2262,Timrå,Moderate Party (M),0.10299074804561428
2280,Härnösand,Moderate Party (M),0.09987960006281736
2281,Sundsvall,Moderate Party (M),0.13716819930868063
2282,Kramfors,Moderate Party (M),0.07588617074388418
2283,Sollefteå,Moderate Party (M),0.05901028366346883
2284,Örnsköldsvik,Moderate Party (M),0.11701410676520486
2303,Ragunda,Moderate Party (M),0.0705498368064273
2305,Bräcke,Moderate Party (M),0.0987551867219917
2309,Krokom,Moderate Party (M),0.12906915361604784
2313,Strömsund,Moderate Party (M),0.09183557920960253
2321,Åre,Moderate Party (M),0.12670780079330102
2326,Berg,Moderate Party (M),0.12592726614800073
2361,Härjedalen,Moderate Party (M),0.10363076923076923
2380,Östersund,Moderate Party (M),0.1250931802155737
2401,Nordmaling,Moderate Party (M),0.10773130544993663
2403,Bjurholm,Moderate Party (M),0.14792576419213974
2404,Vindeln,Moderate Party (M),0.1297971156196529
2409,Robertsfors,Moderate Party (M),0.10382830626450117
2417,Norsjö,Moderate Party (M),0.10564304461942257
2418,Malå,Moderate Party (M),0.0628596724214254
2421,Storuman,Moderate Party (M),0.09413067552602437
2422,Sorsele,Moderate Party (M),0.08138903960933261
2425,Dorotea,Moderate Party (M),0.04697986577181208
2460,Vännäs,Moderate Party (M),0.11598746081504702
2462,Vilhelmina,Moderate Party (M),0.07598664834086001
2463,Åsele,Moderate Party (M),0.08466603951081844
2480,Umeå,Moderate Party (M),0.12605567089270958
2481,Lycksele,Moderate Party (M),0.11437236001299686
2482,Skellefteå,Moderate Party (M),0.10947827309801715
2505,Arvidsjaur,Moderate Party (M),0.08445096395641241
2506,Arjeplog,Moderate Party (M),0.07102539981185324
2510,Jokkmokk,Moderate Party (M),0.07500662602703419
2513,Överkalix,Moderate Party (M),0.07964257964257965
2514,Kalix,Moderate Party (M),0.10155057443560697
2518,Kiruna,Moderate Party (M),0.06903043614684656
2521,Gällivare,Moderate Party (M),0.06592226755421945
2523,Pajala,Moderate Party (M),0.10123058892469969
